timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
434689209140411,1689209,5,7071,droid.ugc.aweme,9875,0.024917033
434689210898264,13835,5,7071,droid.ugc.aweme,9875,0.026674886
434689210941436,21159,5,7071,droid.ugc.aweme,9875,0.026718058
434689211017201,5046,5,7071,droid.ugc.aweme,9875,0.026793823
434689211036733,3865,5,7071,droid.ugc.aweme,9875,0.026813355
434689211057200,4028,5,7071,droid.ugc.aweme,9875,0.026833822
434689211525746,10946,5,7071,droid.ugc.aweme,9875,0.027302368
434689211702341,7028890,5,7071,droid.ugc.aweme,9875,0.027478963
434689218800201,1337362,4,7071,droid.ugc.aweme,9875,0.034576823
434689220147003,3237589,4,7071,droid.ugc.aweme,9875,0.035923625
434689223426991,118368,7,7071,droid.ugc.aweme,9875,0.039203613
434689223655385,833984,7,7071,droid.ugc.aweme,9875,0.039432007
434689224489369,128174,7,7072,Signal Catcher,9876,0.040265991
434689224632029,474650,6,7071,droid.ugc.aweme,9875,0.040408651
434689225013824,85287,7,7073,perfetto_hprof_,9877,0.040790446
434689225124054,5205525,7,7071,droid.ugc.aweme,9875,0.040900676
434689230400136,298136,7,7071,droid.ugc.aweme,9875,0.046176758
434689231079417,132975,7,7071,droid.ugc.aweme,9875,0.046856039
434689231500763,236206,7,7071,droid.ugc.aweme,9875,0.047277385
434689231825470,389445,7,7071,droid.ugc.aweme,9875,0.047602092
434689232256337,202474,7,7071,droid.ugc.aweme,9875,0.048032959
434689232573394,427938,7,7071,droid.ugc.aweme,9875,0.048350016
434689233028961,94035,7,7071,droid.ugc.aweme,9875,0.048805583
434689233181183,182047,7,7071,droid.ugc.aweme,9875,0.048957805
434689233411570,79549,7,7071,droid.ugc.aweme,9875,0.049188192
434689233507761,44759,7,7071,droid.ugc.aweme,9875,0.049284383
434689233588979,1793660,7,7071,droid.ugc.aweme,9875,0.049365601
434689235347076,70719,4,7074,Jit thread pool,9878,0.051123698
434689235404856,51636,5,7071,droid.ugc.aweme,9875,0.051181478
434689235433665,142781,4,7074,Jit thread pool,9878,0.051210287
434689235469757,5426351,5,7071,droid.ugc.aweme,9875,0.051246379
434689240725087,23316,4,7074,Jit thread pool,9878,0.056501709
434689240853261,92814,7,7075,HeapTaskDaemon,9879,0.056629883
434689240912750,3049398,5,7071,droid.ugc.aweme,9875,0.056689372
434689240954823,25269,7,7076,ReferenceQueueD,9880,0.056731445
434689241010284,177612,6,7076,ReferenceQueueD,9880,0.056786906
434689241034495,40893,7,7077,FinalizerDaemon,9881,0.056811117
434689241130767,50334,7,7078,FinalizerWatchd,9882,0.056907389
434689241147654,32471,4,7077,FinalizerDaemon,9881,0.056924276
434689242728302,115437,7,7079,binder:9875_1,9883,0.058504924
434689242845937,178589,4,7080,binder:9875_2,9884,0.058622559
434689244011423,153402,5,7071,droid.ugc.aweme,9875,0.059788045
434689244257558,142985,5,7071,droid.ugc.aweme,9875,0.06003418
434689245901113,615356,4,7080,binder:9875_2,9884,0.061677735
434689246855458,37883,5,7071,droid.ugc.aweme,9875,0.06263208
434689246935862,21932,7,7071,droid.ugc.aweme,9875,0.062712484
434689247722768,169311,7,7080,binder:9875_2,9884,0.06349939
434689247872833,154093,5,7081,binder:9875_3,9885,0.063649455
434689247892079,776368,7,7071,droid.ugc.aweme,9875,0.063668701
434689249130971,795207,7,7071,droid.ugc.aweme,9875,0.064907593
434689249992014,23356,7,7071,droid.ugc.aweme,9875,0.065768636
434689250058217,88094,7,7071,droid.ugc.aweme,9875,0.065834839
434689250390696,352498,7,7071,droid.ugc.aweme,9875,0.066167318
434689250743194,3500,7,7079,binder:9875_1,9883,0.066519816
434689250796417,647542,7,7071,droid.ugc.aweme,9875,0.066573039
434689251454254,5005,7,7071,droid.ugc.aweme,9875,0.067230876
434689252469024,305420,7,7071,droid.ugc.aweme,9875,0.068245646
434689252997141,55746,7,7071,droid.ugc.aweme,9875,0.068773763
434689253322011,54443,7,7071,droid.ugc.aweme,9875,0.069098633
434689253626414,57983,7,7071,droid.ugc.aweme,9875,0.069403036
434689253951650,39713,7,7071,droid.ugc.aweme,9875,0.069728272
434689254250966,52572,7,7071,droid.ugc.aweme,9875,0.070027588
434689254556427,41056,7,7071,droid.ugc.aweme,9875,0.070333049
434689254867625,54931,7,7071,droid.ugc.aweme,9875,0.070644247
434689255168528,38696,7,7071,droid.ugc.aweme,9875,0.07094515
434689255442576,48299,7,7071,droid.ugc.aweme,9875,0.071219198
434689255721954,37354,7,7071,droid.ugc.aweme,9875,0.071498576
434689255982493,47933,7,7071,droid.ugc.aweme,9875,0.071759115
434689256255401,38086,7,7071,droid.ugc.aweme,9875,0.072032023
434689256624054,52042,7,7071,droid.ugc.aweme,9875,0.072400676
434689256920115,58065,7,7071,droid.ugc.aweme,9875,0.072696737
434689257176951,49520,7,7071,droid.ugc.aweme,9875,0.072953573
434689257445953,42643,7,7071,droid.ugc.aweme,9875,0.073222575
434689257675486,48991,7,7071,droid.ugc.aweme,9875,0.073452108
434689257924184,35888,7,7071,droid.ugc.aweme,9875,0.073700806
434689258213002,48381,7,7071,droid.ugc.aweme,9875,0.073989624
434689258465647,35523,7,7071,droid.ugc.aweme,9875,0.074242269
434689258730784,48380,7,7071,droid.ugc.aweme,9875,0.074507406
434689259032420,38045,7,7071,droid.ugc.aweme,9875,0.074809042
434689259288930,46916,7,7071,droid.ugc.aweme,9875,0.075065552
434689259629506,36825,7,7071,droid.ugc.aweme,9875,0.075406128
434689259902089,58919,7,7071,droid.ugc.aweme,9875,0.075678711
434689260135976,37638,7,7071,droid.ugc.aweme,9875,0.075912598
434689260376210,44922,7,7071,droid.ugc.aweme,9875,0.076152832
