time_100ms,cpu,cpu_util,time_relative_s
4491475,0,0.04492064,-0.556746424
4491475,1,0.04330608,-0.556746424
4491475,2,0.02268394,-0.556746424
4491475,3,0.03388591,-0.556746424
4491476,0,0.16280844,-0.456746424
4491476,1,0.13220337,-0.456746424
4491476,2,0.15974118,-0.456746424
4491476,3,0.1067432,-0.456746424
4491476,4,0.00602945,-0.456746424
4491476,5,0.05944173,-0.456746424
4491476,6,0.00641399,-0.456746424
4491477,0,0.03061277,-0.356746424
4491477,1,0.00405842,-0.356746424
4491477,2,0.08188638,-0.356746424
4491477,3,0.15590451,-0.356746424
4491478,0,0.03197754,-0.256746424
4491478,1,0.0544987,-0.256746424
4491478,2,0.0209733,-0.256746424
4491478,3,0.12421266,-0.256746424
4491478,4,0.21312785,-0.256746424
4491478,5,0.0031136,-0.256746424
4491478,6,0.00244914,-0.256746424
4491479,0,0.12921385,-0.156746424
4491479,1,0.03455527,-0.156746424
4491479,2,0.02493898,-0.156746424
4491479,3,0.16640667,-0.156746424
4491479,4,0.00345541,-0.156746424
4491479,5,0.00118612,-0.156746424
4491479,6,0.00012655,-0.156746424
4491479,7,1.05489868,-0.156746424
4491480,0,0.43349407,-0.056746424
4491480,1,0.22870401,-0.056746424
4491480,2,0.35460332,-0.056746424
4491480,3,0.21969197,-0.056746424
4491480,4,0.2870817,-0.056746424
4491480,5,0.22611572,-0.056746424
4491480,6,0.37434656,-0.056746424
4491480,7,0.45142538,-0.056746424
4491481,0,0.13752808,0.043253576
4491481,1,0.33260133,0.043253576
4491481,2,0.10625892,0.043253576
4491481,3,0.22044639,0.043253576
4491481,4,0.27366977,0.043253576
4491481,5,0.12137978,0.043253576
4491481,6,0.13433922,0.043253576
4491481,7,0.88717163,0.043253576
4491482,0,0.48016318,0.143253576
4491482,1,0.49333936,0.143253576
4491482,2,0.49030798,0.143253576
4491482,3,0.45717894,0.143253576
4491482,4,0.81122075,0.143253576
4491482,5,0.61937505,0.143253576
4491482,6,0.62625693,0.143253576
4491482,7,0.75913743,0.143253576
4491483,0,0.85600422,0.243253576
4491483,1,0.8414075,0.243253576
4491483,2,0.88215859,0.243253576
4491483,3,0.88882695,0.243253576
4491483,4,0.93953652,0.243253576
4491483,5,0.98497521,0.243253576
4491483,6,0.9907198,0.243253576
4491483,7,0.95266437,0.243253576
4491484,0,0.85568689,0.343253576
4491484,1,0.8788086,0.343253576
4491484,2,0.81850543,0.343253576
4491484,3,0.86090295,0.343253576
4491484,4,0.94103482,0.343253576
4491484,5,0.98577114,0.343253576
4491484,6,0.92784188,0.343253576
4491484,7,0.90212524,0.343253576
4491485,0,0.59459884,0.443253576
4491485,1,0.55493729,0.443253576
4491485,2,0.50708614,0.443253576
4491485,3,0.61694252,0.443253576
4491485,4,0.89753339,0.443253576
4491485,5,0.83454471,0.443253576
4491485,6,0.85598353,0.443253576
4491485,7,0.93171507,0.443253576
4491486,0,0.42524134,0.543253576
4491486,1,0.36376869,0.543253576
4491486,2,0.33299038,0.543253576
4491486,3,0.39027745,0.543253576
4491486,4,0.62878133,0.543253576
4491486,5,0.66585539,0.543253576
4491486,6,0.57114179,0.543253576
4491486,7,0.51964524,0.543253576
4491487,0,0.54362961,0.643253576
4491487,1,0.32165607,0.643253576
4491487,2,0.25556681,0.643253576
4491487,3,0.23688517,0.643253576
4491487,4,0.28538495,0.643253576
4491487,5,0.30207799,0.643253576
4491487,6,0.37060509,0.643253576
4491487,7,0.18433354,0.643253576
4491488,0,0.22824378,0.743253576
4491488,1,0.17528564,0.743253576
4491488,2,0.23960002,0.743253576
4491488,3,0.19853221,0.743253576
4491488,4,0.24067143,0.743253576
4491488,5,0.16268921,0.743253576
4491488,6,0.78196532,0.743253576
4491488,7,0.05774289,0.743253576
4491489,0,0.30047363,0.843253576
4491489,1,0.28675577,0.843253576
4491489,2,0.38808798,0.843253576
4491489,3,0.3219646,0.843253576
4491489,4,0.51978062,0.843253576
4491489,5,0.44569662,0.843253576
4491489,6,0.48690515,0.843253576
4491489,7,0.11353274,0.843253576
4491490,0,0.08185224,0.943253576
4491490,1,0.1007145,0.943253576
4491490,2,0.13920363,0.943253576
4491490,3,0.12708824,0.943253576
4491490,4,0.01431071,0.943253576
4491490,5,0.07592527,0.943253576
4491490,6,0.19769895,0.943253576
4491490,7,0.0031425,0.943253576
