timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
904740605274487,1663859,5,7128,ogle.android.gm,29617,0.024229167
904740607009716,14323,5,7128,ogle.android.gm,29617,0.025964396
904740607055452,21728,5,7128,ogle.android.gm,29617,0.026010132
904740607169872,12655,5,7128,ogle.android.gm,29617,0.026124552
904740607614127,20874,4,7128,ogle.android.gm,29617,0.026568807
904740608280631,5974609,5,7128,ogle.android.gm,29617,0.027235311
904740614466951,845744,5,7128,ogle.android.gm,29617,0.033421631
904740615374137,823730,5,7128,ogle.android.gm,29617,0.034328817
904740616287182,528809,5,7128,ogle.android.gm,29617,0.035241862
904740616976269,55949,5,7128,ogle.android.gm,29617,0.035930949
904740617038810,1232503,5,7128,ogle.android.gm,29617,0.03599349
904740618447745,293986,5,7128,ogle.android.gm,29617,0.037402425
904740618756135,22095,7,7128,ogle.android.gm,29617,0.037710815
904740618907136,106649,7,7128,ogle.android.gm,29617,0.037861816
904740619021231,11556,7,7128,ogle.android.gm,29617,0.037975911
904740619042146,52368,7,7128,ogle.android.gm,29617,0.037996826
904740619130159,33447,7,7128,ogle.android.gm,29617,0.038084839
904740619166414,70923,7,7128,ogle.android.gm,29617,0.038121094
904740619242952,2376912,7,7128,ogle.android.gm,29617,0.038197632
904740621619864,121135,7,7130,Signal Catcher,29619,0.040574544
904740621745759,499349,6,7128,ogle.android.gm,29617,0.040700439
904740622158479,73568,7,7131,perfetto_hprof_,29620,0.041113159
904740622256827,1596029,7,7128,ogle.android.gm,29617,0.041211507
904740623852856,127929,7,7132,ADB-JDWP Connec,29621,0.042807536
904740623980785,5896281,7,7128,ogle.android.gm,29617,0.042935465
904740629858593,53996,5,7133,Jit thread pool,29622,0.048813273
904740629898754,47730,6,7128,ogle.android.gm,29617,0.048853434
904740629927481,119996,5,7133,Jit thread pool,29622,0.048882161
904740629958365,4543986,6,7128,ogle.android.gm,29617,0.048913045
904740634361401,35726,5,7133,Jit thread pool,29622,0.053316081
904740634463940,143595,5,7134,HeapTaskDaemon,29623,0.05341862
904740634519400,2882813,6,7128,ogle.android.gm,29617,0.05347408
904740634607535,134969,5,7135,ReferenceQueueD,29624,0.053562215
904740634711051,113973,4,7137,FinalizerWatchd,29626,0.053665731
904740634766023,11800,5,7135,ReferenceQueueD,29624,0.053720703
904740634777823,43417,5,7132,ADB-JDWP Connec,29621,0.053732503
904740634821240,18188,5,7135,ReferenceQueueD,29624,0.05377592
904740634866121,17781,7,7135,ReferenceQueueD,29624,0.053820801
904740634939119,31982,4,7137,FinalizerWatchd,29626,0.053893799
904740634965038,16643,0,7135,ReferenceQueueD,29624,0.053919718
904740634971101,108399,4,7136,FinalizerDaemon,29625,0.053925781
904740634997428,50537,5,7135,ReferenceQueueD,29624,0.053952108
904740635032828,17212,0,7137,FinalizerWatchd,29626,0.053987508
904740635064973,11556,5,7137,FinalizerWatchd,29626,0.054019653
904740636266430,229980,5,7138,binder:29617_1,29627,0.05522111
904740636490999,116170,4,7139,binder:29617_2,29628,0.055445679
904740637239452,31779,5,7132,ADB-JDWP Connec,29621,0.056194132
904740637460318,159953,6,7128,ogle.android.gm,29617,0.056414998
904740637704947,129151,6,7128,ogle.android.gm,29617,0.056659627
904740638663728,5819,7,7128,ogle.android.gm,29617,0.057618408
904740639226879,713990,4,7139,binder:29617_2,29628,0.058181559
904740639926383,112996,7,7138,binder:29617_1,29627,0.058881063
904740639978710,5412,4,7139,binder:29617_2,29628,0.05893339
904740640036124,137288,4,7140,binder:29617_3,29629,0.058990804
904740640470287,1390259,7,7128,ogle.android.gm,29617,0.059424967
904740640887524,44311,6,7132,ADB-JDWP Connec,29621,0.059842204
904740641268424,165731,6,7140,binder:29617_3,29629,0.060223104
904740641931022,21525,7,7128,ogle.android.gm,29617,0.060885702
904740641992057,71167,7,7128,ogle.android.gm,29617,0.060946737
904740642182161,289144,7,7128,ogle.android.gm,29617,0.061136841
904740642512849,7547526,7,7128,ogle.android.gm,29617,0.061467529
904740650080069,2326254,7,7128,ogle.android.gm,29617,0.069034749
904740652406323,45410,7,7142,Profile Saver,29631,0.071361003
904740652511466,343994,4,7128,ogle.android.gm,29617,0.071466146
904740654357372,17416,7,7142,Profile Saver,29631,0.073312052
904740654374788,492350,7,7128,ogle.android.gm,29617,0.073329468
904740654867138,46631,7,7142,Profile Saver,29631,0.073821818
904740654967927,245280,5,7128,ogle.android.gm,29617,0.073922607
904740655250317,67138,7,7128,ogle.android.gm,29617,0.074204997
904740655420483,187785,7,7128,ogle.android.gm,29617,0.074375163
904740655652783,17863,7,7128,ogle.android.gm,29617,0.074607463
904740655703767,111084,7,7128,ogle.android.gm,29617,0.074658447
904740655924267,122152,7,7128,ogle.android.gm,29617,0.074878947
904740656145784,2621134,7,7128,ogle.android.gm,29617,0.075100464
904740658466666,48543,6,7132,ADB-JDWP Connec,29621,0.077421346
904740658819693,712810,7,7128,ogle.android.gm,29617,0.077774373
904740659532503,97127,7,7143,SharedPreferenc,29632,0.078487183
904740659629630,188965,7,7128,ogle.android.gm,29617,0.07858431
904740659818595,349528,7,7143,SharedPreferenc,29632,0.078773275
904740660168123,483561,7,7128,ogle.android.gm,29617,0.079122803
904740660651684,9888,7,7143,SharedPreferenc,29632,0.079606364
904740660661572,80810,7,7144,BackgroundOneTi,29633,0.079616252
904740660742382,534180,7,7128,ogle.android.gm,29617,0.079697062
904740661276562,14201,7,7144,BackgroundOneTi,29633,0.080231242
904740661682975,43375,6,7144,BackgroundOneTi,29633,0.080637655
