time_100ms,cpu,cpu_util,time_relative_s
9047403,0,0.00537151,-0.28104532
9047403,1,0.00094523,-0.28104532
9047403,2,0.0776359,-0.28104532
9047403,3,0.00670002,-0.28104532
9047403,4,0.00577352,-0.28104532
9047403,5,0.12985677,-0.28104532
9047403,6,0.00128621,-0.28104532
9047403,7,0.00235473,-0.28104532
9047404,0,0.02850341,-0.18104532
9047404,1,0.0321891,-0.18104532
9047404,2,0.07689739,-0.18104532
9047404,3,0.14592446,-0.18104532
9047404,4,0.00376952,-0.18104532
9047404,5,0.0102539,-0.18104532
9047404,6,0.69677043,-0.18104532
9047404,7,0.71409831,-0.18104532
9047405,0,0.19091061,-0.08104532
9047405,1,0.17881751,-0.08104532
9047405,2,0.15152871,-0.08104532
9047405,3,0.29298789,-0.08104532
9047405,4,0.22249388,-0.08104532
9047405,5,0.16748735,-0.08104532
9047405,6,0.2021806,-0.08104532
9047405,7,0.39481042,-0.08104532
9047406,0,0.50388592,0.01895468
9047406,1,0.66499555,0.01895468
9047406,2,0.7069446,0.01895468
9047406,3,0.49496503,0.01895468
9047406,4,0.57472693,0.01895468
9047406,5,0.60862629,0.01895468
9047406,6,0.66968056,0.01895468
9047406,7,0.85024579,0.01895468
9047407,0,0.67265864,0.11895468
9047407,1,0.7068819,0.11895468
9047407,2,0.79059611,0.11895468
9047407,3,0.69200971,0.11895468
9047407,4,0.82183921,0.11895468
9047407,5,0.88720749,0.11895468
9047407,6,0.87143027,0.11895468
9047407,7,0.8699911,0.11895468
9047408,0,0.88238166,0.21895468
9047408,1,0.93874025,0.21895468
9047408,2,0.94098186,0.21895468
9047408,3,0.94549847,0.21895468
9047408,4,0.97808029,0.21895468
9047408,5,0.95694093,0.21895468
9047408,6,0.92602378,0.21895468
9047408,7,0.90382566,0.21895468
9047409,0,0.95266157,0.31895468
9047409,1,0.95675495,0.31895468
9047409,2,0.95372638,0.31895468
9047409,3,0.94595215,0.31895468
9047409,4,0.97065021,0.31895468
9047409,5,0.96799886,0.31895468
9047409,6,0.99262654,0.31895468
9047409,7,0.9284822,0.31895468
9047410,0,0.31344442,0.41895468
9047410,1,0.33856444,0.41895468
9047410,2,0.30813641,0.41895468
9047410,3,0.31294637,0.41895468
9047410,4,0.30581667,0.41895468
9047410,5,0.29709514,0.41895468
9047410,6,0.30127607,0.41895468
9047410,7,0.31309854,0.41895468
