timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
904782174385387,1976522,4,7123,ogle.android.gm,31313,0.026567789
904782177694754,21241,6,7123,ogle.android.gm,31313,0.029877156
904782177722790,17822,6,7123,ogle.android.gm,31313,0.029905192
904782177753877,7487,6,7123,ogle.android.gm,31313,0.029936279
904782177768444,7040,6,7123,ogle.android.gm,31313,0.029950846
904782177780244,6104,6,7123,ogle.android.gm,31313,0.029962646
904782178216279,300009,6,7123,ogle.android.gm,31313,0.030398681
904782178544933,2086548,5,7123,ogle.android.gm,31313,0.030727335
904782180653413,5811727,4,7123,ogle.android.gm,31313,0.032835815
904782186485973,17090,4,7123,ogle.android.gm,31313,0.038668375
904782186566418,1390259,4,7123,ogle.android.gm,31313,0.03874882
904782188030977,59082,4,7123,ogle.android.gm,31313,0.040213379
904782188099906,52490,4,7123,ogle.android.gm,31313,0.040282308
904782188160086,2619589,4,7123,ogle.android.gm,31313,0.040342488
904782190914522,1246175,4,7123,ogle.android.gm,31313,0.043096924
904782192169038,463664,4,7123,ogle.android.gm,31313,0.04435144
904782192648897,752400,7,7123,ogle.android.gm,31313,0.044831299
904782193401297,139364,7,7124,Signal Catcher,31314,0.045583699
904782193535249,14242,5,7123,ogle.android.gm,31313,0.045717651
904782193564261,623373,7,7123,ogle.android.gm,31313,0.045746663
904782194311983,1416259,7,7123,ogle.android.gm,31313,0.046494385
904782195751354,27181,7,7123,ogle.android.gm,31313,0.047933756
904782195754406,44718,1,7125,perfetto_hprof_,31315,0.047936808
904782195766450,28483,4,7126,ADB-JDWP Connec,31316,0.047948852
904782195784191,31616,7,7123,ogle.android.gm,31313,0.047966593
904782195821301,22135,7,7125,perfetto_hprof_,31315,0.048003703
904782195837780,133993,4,7126,ADB-JDWP Connec,31316,0.048020182
904782195855521,4761,7,7125,perfetto_hprof_,31315,0.048037923
904782195860282,19531,7,7123,ogle.android.gm,31313,0.048042684
904782195883556,1831,7,7125,perfetto_hprof_,31315,0.048065958
904782195885387,6307,7,7123,ogle.android.gm,31313,0.048067789
904782195891694,100993,7,7125,perfetto_hprof_,31315,0.048074096
904782195982271,131673,4,7126,ADB-JDWP Connec,31316,0.048164673
904782195992687,111532,7,7123,ogle.android.gm,31313,0.048175089
904782196128714,58431,7,7126,ADB-JDWP Connec,31316,0.048311116
904782196153291,1014567,5,7123,ogle.android.gm,31313,0.048335693
904782196235607,21932,7,7126,ADB-JDWP Connec,31316,0.048418009
904782196377372,11881,7,7126,ADB-JDWP Connec,31316,0.048559774
904782197186983,30558,7,7123,ogle.android.gm,31313,0.049369385
904782197562267,580323,7,7123,ogle.android.gm,31313,0.049744669
904782198160331,231404,7,7123,ogle.android.gm,31313,0.050342733
904782198406628,23112,7,7123,ogle.android.gm,31313,0.05058903
904782198439709,5505086,7,7123,ogle.android.gm,31313,0.050622111
904782203918224,212566,5,7127,Jit thread pool,31317,0.056100626
904782203958874,21444,7,7123,ogle.android.gm,31313,0.056141276
904782203988862,10905,7,7123,ogle.android.gm,31313,0.056171264
904782204008760,1462484,7,7123,ogle.android.gm,31313,0.056191162
904782205646943,1987102,7,7123,ogle.android.gm,31313,0.057829345
904782207560111,19328,5,7127,Jit thread pool,31317,0.059742513
904782207619396,93465,5,7128,HeapTaskDaemon,31318,0.059801798
904782207646292,38290,7,7123,ogle.android.gm,31313,0.059828694
904782207669079,231486,4,7129,ReferenceQueueD,31319,0.059851481
904782207698172,34546,7,7123,ogle.android.gm,31313,0.059880574
904782207716442,102336,6,7130,FinalizerDaemon,31320,0.059898844
904782207725964,54565,5,7128,HeapTaskDaemon,31318,0.059908366
904782207750418,32797,7,7123,ogle.android.gm,31313,0.05993282
904782207806896,59286,7,7123,ogle.android.gm,31313,0.059989298
904782207828421,137777,5,7131,FinalizerWatchd,31321,0.060010823
904782207829968,43904,6,7130,FinalizerDaemon,31320,0.06001237
904782207866182,17822,7,7126,ADB-JDWP Connec,31316,0.060048584
904782207884004,581299,7,7123,ogle.android.gm,31313,0.060066406
904782207884614,66244,6,7130,FinalizerDaemon,31320,0.060067016
904782208528901,119629,7,7123,ogle.android.gm,31313,0.060711303
904782208973970,206502,7,7123,ogle.android.gm,31313,0.061156372
904782209484305,265544,7,7123,ogle.android.gm,31313,0.061666707
904782209700899,276733,6,7133,binder:31313_1,31323,0.061883301
904782209785046,96191,7,7123,ogle.android.gm,31313,0.061967448
904782209903779,39592,7,7123,ogle.android.gm,31313,0.062086181
904782209968762,181559,4,7134,binder:31313_2,31324,0.062151164
904782210015962,21200,7,7123,ogle.android.gm,31313,0.062198364
904782210055594,414307,7,7123,ogle.android.gm,31313,0.062237996
904782210518892,124105,7,7123,ogle.android.gm,31313,0.062701294
904782210642997,13834,7,7126,ADB-JDWP Connec,31316,0.062825399
904782210656831,74382,7,7123,ogle.android.gm,31313,0.062839233
904782211186372,48381,7,7123,ogle.android.gm,31313,0.063368774
904782211294038,77556,7,7123,ogle.android.gm,31313,0.06347644
904782211460339,63802,7,7123,ogle.android.gm,31313,0.063642741
904782212988374,496501,4,7134,binder:31313_2,31324,0.065170776
904782213561779,124512,4,7134,binder:31313_2,31324,0.065744181
904782213760591,419108,4,7134,binder:31313_2,31324,0.065942993
904782214179699,133993,4,7135,binder:31313_3,31325,0.066362101
904782214548433,52938,4,7135,binder:31313_3,31325,0.066730835
904782215003063,1167888,5,7123,ogle.android.gm,31313,0.067185465
904782215112398,298136,4,7135,binder:31313_3,31325,0.0672948
904782215211926,22867,3,7133,binder:31313_1,31323,0.067394328
904782215698376,28646,7,7126,ADB-JDWP Connec,31316,0.067880778
904782216212129,8464,5,7123,ogle.android.gm,31313,0.068394531
904782216232067,1078736,4,7123,ogle.android.gm,31313,0.068414469
904782217416353,46305,7,7123,ogle.android.gm,31313,0.069598755
904782218469657,119791,7,7123,ogle.android.gm,31313,0.070652059
904782218866467,384074,7,7123,ogle.android.gm,31313,0.071048869
904782219302298,11193970,7,7123,ogle.android.gm,31313,0.0714847
904782228963146,143067,4,7138,Profile Saver,31329,0.081145548
904782230669038,706380,7,7123,ogle.android.gm,31313,0.08285144
904782231473482,134480,7,7123,ogle.android.gm,31313,0.083655884
904782231689627,64576,7,7123,ogle.android.gm,31313,0.083872029
904782232019787,187703,7,7123,ogle.android.gm,31313,0.084202189
904782232271415,12898,7,7123,ogle.android.gm,31313,0.084453817
904782232329439,129842,7,7123,ogle.android.gm,31313,0.084511841
904782232590466,124755,7,7123,ogle.android.gm,31313,0.084772868
904782232844657,2728475,7,7123,ogle.android.gm,31313,0.085027059
904782235261934,57861,6,7126,ADB-JDWP Connec,31316,0.087444336
904782235637544,776449,7,7123,ogle.android.gm,31313,0.087819946
904782236413993,107299,7,7140,SharedPreferenc,31331,0.088596395
904782236521292,196574,7,7123,ogle.android.gm,31313,0.088703694
904782236717866,341187,7,7140,SharedPreferenc,31331,0.088900268
904782237059053,536784,7,7123,ogle.android.gm,31313,0.089241455
904782237595837,9765,7,7140,SharedPreferenc,31331,0.089778239
904782237605602,99935,7,7141,BackgroundOneTi,31332,0.089788004
904782237705537,316569,7,7123,ogle.android.gm,31313,0.089887939
904782238022106,11149,7,7141,BackgroundOneTi,31332,0.090204508
904782238488293,51880,6,7141,BackgroundOneTi,31332,0.090670695
904782238697643,310751,6,7141,BackgroundOneTi,31332,0.090880045
904782238854463,409098,7,7123,ogle.android.gm,31313,0.091036865
904782239235078,574341,6,7141,BackgroundOneTi,31332,0.09141748
904782239358207,1173828,7,7123,ogle.android.gm,31313,0.091540609
904782240532035,92488,7,7143,GoogleApiHandle,31334,0.092714437
904782240618501,88460,6,7123,ogle.android.gm,31313,0.092800903
904782240624523,82886,7,7142,Blocking Thread,31333,0.092806925
904782240785615,241578,7,7123,ogle.android.gm,31313,0.092968017
904782240812064,211344,4,7143,GoogleApiHandle,31334,0.092994466
904782241116060,234375,4,7143,GoogleApiHandle,31334,0.093298462
904782241160412,87036,7,7123,ogle.android.gm,31313,0.093342814
904782241340873,24658,7,7123,ogle.android.gm,31313,0.093523275
904782241402762,43457,4,7143,GoogleApiHandle,31334,0.093585164
904782241458386,532674,7,7123,ogle.android.gm,31313,0.093640788
904782241485485,34546,4,7143,GoogleApiHandle,31334,0.093667887
904782241553112,35034,4,7143,GoogleApiHandle,31334,0.093735514
904782241763846,108439,4,7143,GoogleApiHandle,31334,0.093946248
904782241971691,177490,4,7143,GoogleApiHandle,31334,0.094154093
904782241991060,2000569,7,7145,Primes-nativecr,31336,0.094173462
904782242155488,247234,0,7123,ogle.android.gm,31313,0.09433789
904782242289806,230144,4,7143,GoogleApiHandle,31334,0.094472208
904782242418794,11393,0,7123,ogle.android.gm,31313,0.094601196
904782242519950,935221,4,7123,ogle.android.gm,31313,0.094702352
904782242541231,97859,0,7143,GoogleApiHandle,31334,0.094723633
904782242663504,679810,6,7143,GoogleApiHandle,31334,0.094845906
904782243666760,471150,6,7143,GoogleApiHandle,31334,0.095849162
904782243991629,5941,7,7144,Primes-1,31335,0.096174031
904782243997570,182739,7,7145,Primes-nativecr,31336,0.096179972
904782244017020,11149,5,7144,Primes-1,31335,0.096199422
904782244037609,122884,5,7144,Primes-1,31335,0.096220011
904782244176485,135253,6,7143,GoogleApiHandle,31334,0.096358887
904782244180309,41545,7,7144,Primes-1,31335,0.096362711
904782244221854,477417,7,7145,Primes-nativecr,31336,0.096404256
904782244699271,88298,7,7146,Lite Thread #0,31337,0.096881673
904782244787569,287801,7,7123,ogle.android.gm,31313,0.096969971
904782244811413,207031,0,3860,binder:11869_3,11882,0.096993815
904782245075370,6225,7,7146,Lite Thread #0,31337,0.097257772
904782245081595,1081421,7,7123,ogle.android.gm,31313,0.097263997
904782245574841,214884,6,7143,GoogleApiHandle,31334,0.097757243
904782245789725,333049,6,3860,binder:11869_3,11882,0.097972127
904782245811372,83659,5,3868,binder:11869_4,11905,0.097993774
904782245895031,38005,5,3925,highpool[191],13100,0.098077433
904782246122774,156453,6,7143,GoogleApiHandle,31334,0.098305176
904782246163016,13265,7,7146,Lite Thread #0,31337,0.098345418
904782246176281,119670,7,7149,BG Thread #1,31340,0.098358683
904782246293143,263794,4,7140,SharedPreferenc,31331,0.098475545
904782246295951,143636,7,7148,BG Thread #0,31339,0.098478353
904782246306245,830323,5,7123,ogle.android.gm,31313,0.098488647
904782246342622,61239,6,7143,GoogleApiHandle,31334,0.098525024
904782246439587,147501,7,7147,Blocking Thread,31338,0.098621989
904782246500541,210530,6,7143,GoogleApiHandle,31334,0.098682943
904782246587088,32308,7,7150,Scheduler Threa,31341,0.09876949
904782246619396,71818,7,7149,BG Thread #1,31340,0.098801798
904782246678804,212443,4,7151,BG Thread #2,31342,0.098861206
904782246691214,11556,7,7148,BG Thread #0,31339,0.098873616
904782246702770,19735,7,7150,Scheduler Threa,31341,0.098885172
904782246722505,98307,7,7147,Blocking Thread,31338,0.098904907
904782246820812,3500,7,7148,BG Thread #0,31339,0.099003214
904782246824312,148112,7,7149,BG Thread #1,31340,0.099006714
