time_100ms,cpu,cpu_util,time_relative_s
9047818,0,0.08517699,-0.347817598
9047818,1,0.01680704,-0.347817598
9047818,2,0.03989298,-0.347817598
9047818,3,0.01227131,-0.347817598
9047819,0,0.02432414,-0.247817598
9047819,1,0.02518513,-0.247817598
9047819,2,0.1369759,-0.247817598
9047819,3,0.29740845,-0.247817598
9047819,4,0.02265133,-0.247817598
9047819,5,0.09857543,-0.247817598
9047819,6,0.73060302,-0.247817598
9047819,7,0.00415283,-0.247817598
9047820,0,0.06832767,-0.147817598
9047820,1,0.02508301,-0.147817598
9047820,2,0.00689898,-0.147817598
9047820,3,0.08919394,-0.147817598
9047820,7,0.86529134,-0.147817598
9047821,0,0.3690258,-0.047817598
9047821,1,0.33324626,-0.047817598
9047821,2,0.31857582,-0.047817598
9047821,3,0.38763553,-0.047817598
9047821,4,0.43141683,-0.047817598
9047821,5,0.38379551,-0.047817598
9047821,6,0.44697838,-0.047817598
9047821,7,0.69797412,-0.047817598
9047822,0,0.74006791,0.052182402
9047822,1,0.78688637,0.052182402
9047822,2,0.88010012,0.052182402
9047822,3,0.72924835,0.052182402
9047822,4,0.69859947,0.052182402
9047822,5,0.67048503,0.052182402
9047822,6,0.76803345,0.052182402
9047822,7,0.87802413,0.052182402
9047823,0,0.86076579,0.152182402
9047823,1,0.73916378,0.152182402
9047823,2,0.8698792,0.152182402
9047823,3,0.66872273,0.152182402
9047823,4,0.87507524,0.152182402
9047823,5,0.96690674,0.152182402
9047823,6,0.97924971,0.152182402
9047823,7,0.92925907,0.152182402
9047824,0,0.98028725,0.252182402
9047824,1,1.00458536,0.252182402
9047824,2,0.97303142,0.252182402
9047824,3,0.93724289,0.252182402
9047824,4,1.01523395,0.252182402
9047824,5,0.97215537,0.252182402
9047824,6,0.96251017,0.252182402
9047824,7,0.91319501,0.252182402
9047825,0,1.00955119,0.352182402
9047825,1,0.9947571,0.352182402
9047825,2,1.00245769,0.352182402
9047825,3,1.06304077,0.352182402
9047825,4,0.95564491,0.352182402
9047825,5,0.99267578,0.352182402
9047825,6,0.99914225,0.352182402
9047825,7,0.97072144,0.352182402
9047826,0,0.9849349,0.452182402
9047826,1,0.99400596,0.452182402
9047826,2,0.98311319,0.452182402
9047826,3,0.96482829,0.452182402
9047826,4,0.99533894,0.452182402
9047826,5,0.99052125,0.452182402
9047826,6,0.99428139,0.452182402
9047826,7,0.99532224,0.452182402
9047827,0,0.33425659,0.552182402
9047827,1,0.31310791,0.552182402
9047827,2,0.35455973,0.552182402
9047827,3,0.31976928,0.552182402
9047827,4,0.33178304,0.552182402
9047827,5,0.33332031,0.552182402
9047827,6,0.33249756,0.552182402
9047827,7,0.30505982,0.552182402
