timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
904700994013440,1715983,4,7147,ogle.android.gm,28077,0.026864054
904700995798800,13346,4,7147,ogle.android.gm,28077,0.028649414
904700995851819,20549,4,7147,ogle.android.gm,28077,0.028702433
904700995939751,10335,6,7147,ogle.android.gm,28077,0.028790365
904700995965670,4354,6,7147,ogle.android.gm,28077,0.028816284
904700995985527,4679,6,7147,ogle.android.gm,28077,0.028836141
904700996494682,29378,6,7147,ogle.android.gm,28077,0.029345296
904700996649467,146078,6,7147,ogle.android.gm,28077,0.029500081
904700996817843,6986043,5,7147,ogle.android.gm,28077,0.029668457
904701003858004,1371826,5,7147,ogle.android.gm,28077,0.036708618
904701005244235,2919962,5,7147,ogle.android.gm,28077,0.038094849
904701008180351,1046794,7,7147,ogle.android.gm,28077,0.041030965
904701009227145,144938,7,7148,Signal Catcher,28078,0.042077759
904701009365939,18066,4,7147,ogle.android.gm,28077,0.042216553
904701009403577,1458089,7,7147,ogle.android.gm,28077,0.042254191
904701011093803,171428,7,7150,ADB-JDWP Connec,28081,0.043944417
904701011265231,84310,7,7149,perfetto_hprof_,28080,0.044115845
904701011349541,923217,7,7147,ogle.android.gm,28077,0.044200155
904701012382825,313477,7,7147,ogle.android.gm,28077,0.045233439
904701012757093,293213,7,7147,ogle.android.gm,28077,0.045607707
904701013061617,214885,7,7147,ogle.android.gm,28077,0.045912231
904701013483085,30762,7,7147,ogle.android.gm,28077,0.046333699
904701016314344,172159,7,7147,ogle.android.gm,28077,0.049164958
904701016562716,986287,7,7147,ogle.android.gm,28077,0.04941333
904701017567558,394613,7,7147,ogle.android.gm,28077,0.050418172
904701018546440,31901,7,7147,ogle.android.gm,28077,0.051397054
904701019402275,33447,7,7147,ogle.android.gm,28077,0.052252889
904701019499362,128540,7,7147,ogle.android.gm,28077,0.052349976
904701021619153,115031,7,7147,ogle.android.gm,28077,0.054469767
904701022219454,444499,7,7147,ogle.android.gm,28077,0.055070068
904701022683037,53466,7,7147,ogle.android.gm,28077,0.055533651
904701022780164,421712,7,7147,ogle.android.gm,28077,0.055630778
904701023218681,60099,7,7147,ogle.android.gm,28077,0.056069295
904701023293103,42277,7,7147,ogle.android.gm,28077,0.056143717
904701023350761,116211,7,7147,ogle.android.gm,28077,0.056201375
904701023475802,4139811,7,7147,ogle.android.gm,28077,0.056326416
904701027596204,65877,6,7152,Jit thread pool,28083,0.060446818
904701027640963,103882,4,7147,ogle.android.gm,28077,0.060491577
904701027693006,80241,5,7152,Jit thread pool,28083,0.06054362
904701027767062,99813,4,7147,ogle.android.gm,28077,0.060617676
904701027845146,93180,5,7152,Jit thread pool,28083,0.06069576
904701028313774,58553,4,7147,ogle.android.gm,28077,0.061164388
904701028352877,23885,1,7152,Jit thread pool,28083,0.061203491
904701028401746,111409,4,7152,Jit thread pool,28083,0.06125236
904701028513155,5161744,4,7147,ogle.android.gm,28077,0.061363769
904701033508964,34709,5,7152,Jit thread pool,28083,0.066359578
904701033631197,182048,6,7153,HeapTaskDaemon,28084,0.066481811
904701033698987,64372,4,7147,ogle.android.gm,28077,0.066549601
