time_100ms,cpu,cpu_util,time_relative_s
9047006,3,0.00147786,-0.367149386
9047007,0,0.05916626,-0.267149386
9047007,1,0.07589886,-0.267149386
9047007,2,0.03969401,-0.267149386
9047007,3,0.10373737,-0.267149386
9047007,4,0.02187948,-0.267149386
9047007,5,1.14065593,-0.267149386
9047007,7,0.00315185,-0.267149386
9047008,0,0.10623859,-0.167149386
9047008,1,0.07376506,-0.167149386
9047008,2,0.11671063,-0.167149386
9047008,3,0.20579956,-0.167149386
9047008,4,0.00038005,-0.167149386
9047008,5,0.00091389,-0.167149386
9047008,6,0.0018514,-0.167149386
9047008,7,0.61951864,-0.167149386
9047009,0,0.44975829,-0.067149386
9047009,1,0.31458822,-0.067149386
9047009,2,0.32991947,-0.067149386
9047009,3,0.46700806,-0.067149386
9047009,4,0.548905,-0.067149386
9047009,5,0.47640095,-0.067149386
9047009,6,0.27671266,-0.067149386
9047009,7,0.28412885,-0.067149386
9047010,0,0.40090171,0.032850614
9047010,1,0.29197064,0.032850614
9047010,2,0.28638264,0.032850614
9047010,3,0.37167969,0.032850614
9047010,4,0.46157635,0.032850614
9047010,5,0.43308268,0.032850614
9047010,6,0.39576622,0.032850614
9047010,7,0.74747392,0.032850614
9047011,0,0.65870926,0.132850614
9047011,1,0.66533983,0.132850614
9047011,2,0.69691979,0.132850614
9047011,3,0.68536489,0.132850614
9047011,4,0.8187476,0.132850614
9047011,5,0.85667567,0.132850614
9047011,6,0.91874554,0.132850614
9047011,7,0.83730343,0.132850614
9047012,0,0.672596,0.232850614
9047012,1,0.73509695,0.232850614
9047012,2,0.81689257,0.232850614
9047012,3,0.80692388,0.232850614
9047012,4,0.93358277,0.232850614
9047012,5,0.90970536,0.232850614
9047012,6,0.92229254,0.232850614
9047012,7,0.89417113,0.232850614
9047013,0,0.92741986,0.332850614
9047013,1,0.93295906,0.332850614
9047013,2,0.8682548,0.332850614
9047013,3,0.96547524,0.332850614
9047013,4,0.94467855,0.332850614
9047013,5,0.98006427,0.332850614
9047013,6,0.96503996,0.332850614
9047013,7,0.95116576,0.332850614
9047014,0,0.84766645,0.432850614
9047014,1,0.91136674,0.432850614
9047014,2,0.92289793,0.432850614
9047014,3,0.92055538,0.432850614
9047014,4,0.94219041,0.432850614
9047014,5,0.95004151,0.432850614
9047014,6,1.01230753,0.432850614
9047014,7,0.85892497,0.432850614
9047015,0,0.10156942,0.532850614
9047015,1,0.05458377,0.532850614
9047015,2,0.07459351,0.532850614
9047015,3,0.06742513,0.532850614
9047015,4,0.06194581,0.532850614
9047015,5,0.08625976,0.532850614
9047015,6,0.08313599,0.532850614
9047015,7,0.03112429,0.532850614
