timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
905349099114872,1710937,5,6937,encent.mobileqq,27934,0.021299927
905349100896488,13306,5,6937,encent.mobileqq,27934,0.023081543
905349100939335,18961,5,6937,encent.mobileqq,27934,0.02312439
905349101013635,2889,5,6937,encent.mobileqq,27934,0.02319869
905349101030847,2441,5,6937,encent.mobileqq,27934,0.023215902
905349101500532,6185,5,6937,encent.mobileqq,27934,0.023685587
905349101677128,7228800,5,6937,encent.mobileqq,27934,0.023862183
905349108974816,1239584,5,6937,encent.mobileqq,27934,0.031159871
905349110271569,61157,5,6937,encent.mobileqq,27934,0.032456624
905349110343672,1822673,5,6937,encent.mobileqq,27934,0.032528727
905349112176924,111939,5,6937,encent.mobileqq,27934,0.034361979
905349112300948,1800374,7,6937,encent.mobileqq,27934,0.034486003
905349114493900,387980,7,6937,encent.mobileqq,27934,0.036678955
905349114881880,126872,7,6938,Signal Catcher,27935,0.037066935
905349115003869,11149,6,6937,encent.mobileqq,27934,0.037188924
905349115029260,1805664,7,6937,encent.mobileqq,27934,0.037214315
905349116834924,15584,7,6939,perfetto_hprof_,27936,0.039019979
905349116850508,11271,7,6937,encent.mobileqq,27934,0.039035563
905349116861779,74219,7,6939,perfetto_hprof_,27936,0.039046834
905349116935998,4802450,7,6937,encent.mobileqq,27934,0.039121053
905349121820316,429891,7,6937,encent.mobileqq,27934,0.044005371
905349122418583,515096,7,6937,encent.mobileqq,27934,0.044603638
905349122908288,60791,5,6940,Jit thread pool,27937,0.045093343
905349122954146,1266601,6,6937,encent.mobileqq,27934,0.045139201
905349122982059,60303,7,6940,Jit thread pool,27937,0.045167114
905349124246301,4140258,6,6937,encent.mobileqq,27934,0.046431356
905349128057580,33407,4,6940,Jit thread pool,27937,0.050242635
905349128206221,22135,7,6941,HeapTaskDaemon,27938,0.050391276
905349128248091,24780,7,6941,HeapTaskDaemon,27938,0.050433146
905349128288293,15218,7,6942,ReferenceQueueD,27939,0.050473348
905349128314009,35645,7,6942,ReferenceQueueD,27939,0.050499064
905349128349654,101766,5,6943,FinalizerDaemon,27940,0.050534709
905349128404545,2138224,6,6937,encent.mobileqq,27934,0.0505896
905349128428633,35441,7,6944,FinalizerWatchd,27941,0.050613688
905349128462406,77270,5,6943,FinalizerDaemon,27940,0.050647461
905349128490848,16439,7,6944,FinalizerWatchd,27941,0.050675903
905349128524906,14648,4,6944,FinalizerWatchd,27941,0.050709961
905349129930546,211425,5,6945,binder:27934_1,27942,0.052115601
905349130141971,127523,5,6946,binder:27934_2,27943,0.052327026
905349130309167,29744,5,6946,binder:27934_2,27943,0.052494222
905349130627038,558024,6,6937,encent.mobileqq,27934,0.052812093
905349131241011,157389,6,6937,encent.mobileqq,27934,0.053426066
905349131484867,122274,6,6937,encent.mobileqq,27934,0.053669922
905349132150598,4923,7,6937,encent.mobileqq,27934,0.054335653
905349133050459,538737,5,6946,binder:27934_2,27943,0.055235514
905349134201948,37964,7,6937,encent.mobileqq,27934,0.056387003
905349135191654,334879,5,6946,binder:27934_2,27943,0.057376709
905349135348677,1357259,7,6937,encent.mobileqq,27934,0.057533732
905349135396203,12004,6,6945,binder:27934_1,27942,0.057581258
905349135470910,187093,6,6947,binder:27934_3,27944,0.057655965
905349135513146,9603,4,6945,binder:27934_1,27942,0.057698201
905349136775150,16764,7,6937,encent.mobileqq,27934,0.058960205
905349136837487,75887,7,6937,encent.mobileqq,27934,0.059022542
905349137099613,310058,7,6937,encent.mobileqq,27934,0.059284668
905349137452518,14594442,7,6937,encent.mobileqq,27934,0.059637573
905349147592126,1791951,4,6948,nt.mobileqq:MSF,27945,0.069777181
905349149440677,10987,4,6948,nt.mobileqq:MSF,27945,0.071625732
905349149480472,18799,4,6948,nt.mobileqq:MSF,27945,0.071665527
905349150807946,340088,6,6948,nt.mobileqq:MSF,27945,0.072993001
905349151171716,1014852,4,6948,nt.mobileqq:MSF,27945,0.073356771
905349152046960,87728,7,6950,Profile Saver,27948,0.074232015
905349152259159,637654,7,6937,encent.mobileqq,27934,0.074444214
905349152275964,5483805,4,6948,nt.mobileqq:MSF,27945,0.074461019
905349152976892,104207,7,6937,encent.mobileqq,27934,0.075161947
905349153125207,55135,7,6937,encent.mobileqq,27934,0.075310262
905349153312056,188761,7,6937,encent.mobileqq,27934,0.075497111
905349153539351,15706,7,6937,encent.mobileqq,27934,0.075724406
905349153584842,108602,7,6937,encent.mobileqq,27934,0.075769897
905349153798832,110555,7,6937,encent.mobileqq,27934,0.075983887
905349154000777,2059773,7,6937,encent.mobileqq,27934,0.076185832
905349156175866,1826742,7,6937,encent.mobileqq,27934,0.078360921
905349157814741,1237631,4,6948,nt.mobileqq:MSF,27945,0.079999796
905349158002608,79142,7,6951,QMethodPandoraE,27949,0.080187663
905349158081750,102620,7,6937,encent.mobileqq,27934,0.080266805
905349158184370,41708,7,6951,QMethodPandoraE,27949,0.080369425
905349158244592,2859253,7,6937,encent.mobileqq,27934,0.080429647
905349159096846,59611,4,6948,nt.mobileqq:MSF,27945,0.081281901
905349159165490,3482463,4,6948,nt.mobileqq:MSF,27945,0.081350545
905349160974898,50049,6,6951,QMethodPandoraE,27949,0.083159953
905349161103845,122192,7,6952,CrashDefendLoad,27952,0.0832889
905349161226037,45166,7,6937,encent.mobileqq,27934,0.083411092
905349161271203,58757,7,6952,CrashDefendLoad,27952,0.083456258
905349161329960,244832,7,6937,encent.mobileqq,27934,0.083515015
905349161574792,73690,7,6952,CrashDefendLoad,27952,0.083759847
905349161648482,198893,7,6957,NtStartup_pool_,27957,0.083833537
905349161847375,57902,7,6956,NtStartup_pool_,27956,0.08403243
905349161901574,187175,6,6957,NtStartup_pool_,27957,0.084086629
905349161905277,38452,7,6955,NtStartup_pool_,27955,0.084090332
905349161943729,251221,7,6954,NtStartup_pool_,27954,0.084128784
905349162194950,54891,7,6953,NtStartup_pool_,27953,0.084380005
905349162388838,1306234,6,6957,NtStartup_pool_,27957,0.084573893
905349162582360,142456,5,6954,NtStartup_pool_,27954,0.084767415
905349162613488,37842,2,6953,NtStartup_pool_,27953,0.084798543
905349162636031,369588,1,6958,Signal Catcher,27958,0.084821086
905349162706872,1843669,4,6953,NtStartup_pool_,27953,0.084891927
905349162991052,618815,5,6948,nt.mobileqq:MSF,27945,0.085176107
905349163356612,255330,1,6959,perfetto_hprof_,27959,0.085541667
905349163639082,192749,5,6948,nt.mobileqq:MSF,27945,0.085824137
905349163712731,134603,6,6957,NtStartup_pool_,27957,0.085897786
905349163885949,10468628,5,6948,nt.mobileqq:MSF,27945,0.086071004
905349163946089,113037,6,6957,NtStartup_pool_,27957,0.086131144
905349164284509,780558,6,6957,NtStartup_pool_,27957,0.086469564
905349164650720,1901123,4,6953,NtStartup_pool_,27953,0.086835775
905349165026940,48951,7,6960,NtStartup_pool_,27960,0.087211995
905349165148726,129516,6,6957,NtStartup_pool_,27957,0.087333781
905349165344852,287842,6,6957,NtStartup_pool_,27957,0.087529907
905349165649092,384115,6,6957,NtStartup_pool_,27957,0.087834147
905349166523522,68034,6,6961,NtStartup_pool_,27961,0.088708577
905349166572066,1235311,4,6953,NtStartup_pool_,27953,0.088757121
905349167396203,102173,6,6961,NtStartup_pool_,27961,0.089581258
905349167787601,1051677,7,6955,NtStartup_pool_,27955,0.089972656
905349168839278,808309,7,6937,encent.mobileqq,27934,0.091024333
905349169647587,32389,7,6955,NtStartup_pool_,27955,0.091832642
905349169799971,273560,7,6937,encent.mobileqq,27934,0.091985026
905349170073531,215698,7,6962,SharedPreferenc,27962,0.092258586
905349170289229,360067,7,6937,encent.mobileqq,27934,0.092474284
905349170649296,57373,7,6962,SharedPreferenc,27962,0.092834351
905349170706669,359090,7,6937,encent.mobileqq,27934,0.092891724
905349171065759,8504,7,6962,SharedPreferenc,27962,0.093250814
905349171200077,1206665,7,6937,encent.mobileqq,27934,0.093385132
905349172406742,131225,7,6965,NtStartup_pool_,27965,0.094591797
905349172537967,615316,7,6964,NtStartup_pool_,27964,0.094723022
905349172589115,50008,6,6956,NtStartup_pool_,27956,0.09477417
905349172620731,21281,0,6954,NtStartup_pool_,27954,0.094805786
905349172663415,21240,6,6954,NtStartup_pool_,27954,0.09484847
905349172679528,32878,4,6957,NtStartup_pool_,27957,0.094864583
905349172700402,16114,6,6953,NtStartup_pool_,27953,0.094885457
905349172716394,44392,0,6955,NtStartup_pool_,27955,0.094901449
905349173147139,195882,6,6966,QQ_DISPATCHER,27966,0.095332194
905349173153283,155029,7,6963,NtStartup_pool_,27963,0.095338338
905349173305017,162760,4,6964,NtStartup_pool_,27964,0.095490072
905349173460005,125977,6,6967,QQ_SUB,27967,0.09564506
905349173570601,4651611,4,6964,NtStartup_pool_,27964,0.095755656
905349173585209,139323,7,6963,NtStartup_pool_,27963,0.095770264
905349173725712,135416,6,6968,ipc,27968,0.095910767
905349173835941,77677,7,6963,NtStartup_pool_,27963,0.096020996
905349174320438,70760,1,6969,Jit thread pool,27969,0.096505493
905349174378544,41463,5,6948,nt.mobileqq:MSF,27945,0.096563599
905349174409102,251098,1,6969,Jit thread pool,27969,0.096594157
905349174433638,34302,5,6948,nt.mobileqq:MSF,27945,0.096618693
905349174476932,65511,5,6948,nt.mobileqq:MSF,27945,0.096661987
905349174552005,4541179,5,6948,nt.mobileqq:MSF,27945,0.09673706
905349178606164,1887533,4,6964,NtStartup_pool_,27964,0.100791219
905349178873132,49194,3,6969,Jit thread pool,27969,0.101058187
905349179014326,95500,1,6970,HeapTaskDaemon,27970,0.101199381
905349179067468,51635,0,6971,ReferenceQueueD,27971,0.101252523
905349179115726,69987,5,6948,nt.mobileqq:MSF,27945,0.101300781
905349179132165,35482,1,6970,HeapTaskDaemon,27970,0.10131722
905349179155074,116943,0,6972,FinalizerDaemon,27972,0.101340129
905349179164514,8138,6,6971,ReferenceQueueD,27971,0.101349569
905349179185754,2604,6,6971,ReferenceQueueD,27971,0.101370809
905349179198124,2360,6,6971,ReferenceQueueD,27971,0.101383179
905349179208907,2156,6,6971,ReferenceQueueD,27971,0.101393962
905349179222578,2157,6,6971,ReferenceQueueD,27971,0.101407633
905349179238407,33488,6,6971,ReferenceQueueD,27971,0.101423462
905349179262699,98470,1,6970,HeapTaskDaemon,27970,0.101447754
905349179281660,198243,6,6971,ReferenceQueueD,27971,0.101466715
905349179322676,10417,0,6948,nt.mobileqq:MSF,27945,0.101507731
905349179360681,70760,0,6972,FinalizerDaemon,27972,0.101545736
905349179376143,18799,1,6970,HeapTaskDaemon,27970,0.101561198
905349179447025,106812,0,6972,FinalizerDaemon,27972,0.10163208
905349179481734,452352,1,6948,nt.mobileqq:MSF,27945,0.101666789
905349179604618,186930,3,6973,FinalizerWatchd,27973,0.101789673
905349179611006,24129,6,6971,ReferenceQueueD,27971,0.101796061
905349179631148,52612,0,6972,FinalizerDaemon,27972,0.101816203
905349179836918,35970,3,6973,FinalizerWatchd,27973,0.102021973
905349179956994,2455200,6,6948,nt.mobileqq:MSF,27945,0.102142049
905349180563643,1369792,4,6964,NtStartup_pool_,27964,0.102748698
905349181156945,156657,5,6974,Cache-Size-Calc,27974,0.103342
905349181277022,369222,3,6975,binder:27945_1,27975,0.103462077
