time_100ms,cpu,cpu_util,time_relative_s
9053488,0,0.13689699,-0.277814945
9053488,1,0.13608561,-0.277814945
9053488,2,0.08541993,-0.277814945
9053488,3,0.1224691,-0.277814945
9053488,4,0.13652914,-0.277814945
9053488,5,0.01425007,-0.277814945
9053488,6,0.12337404,-0.277814945
9053488,7,0.00242187,-0.277814945
9053489,0,0.12710654,-0.177814945
9053489,1,0.04329592,-0.177814945
9053489,2,0.06525552,-0.177814945
9053489,3,0.09114378,-0.177814945
9053489,4,0.00246053,-0.177814945
9053489,5,0.52233399,-0.177814945
9053489,6,0.16066283,-0.177814945
9053489,7,0.65811971,-0.177814945
9053490,0,0.16657516,-0.077814945
9053490,1,0.39425132,-0.077814945
9053490,2,0.18075072,-0.077814945
9053490,3,0.18404504,-0.077814945
9053490,4,0.21383178,-0.077814945
9053490,5,0.126436,-0.077814945
9053490,6,0.17218705,-0.077814945
9053490,7,0.33293418,-0.077814945
9053491,0,0.43748004,0.022185055
9053491,1,0.36452179,0.022185055
9053491,2,0.36030028,0.022185055
9053491,3,0.27901129,0.022185055
9053491,4,0.68450319,0.022185055
9053491,5,0.59478076,0.022185055
9053491,6,0.47375611,0.022185055
9053491,7,0.63325842,0.022185055
9053492,0,0.39727507,0.122185055
9053492,1,0.49762248,0.122185055
9053492,2,0.43683558,0.122185055
9053492,3,0.29941493,0.122185055
9053492,4,0.63541986,0.122185055
9053492,5,0.72326171,0.122185055
9053492,6,0.64899904,0.122185055
9053492,7,0.84870194,0.122185055
9053493,0,0.95603556,0.222185055
9053493,1,0.98327351,0.222185055
9053493,2,0.98095988,0.222185055
9053493,3,0.99011597,0.222185055
9053493,4,0.87966026,0.222185055
9053493,5,0.92118446,0.222185055
9053493,6,0.93768064,0.222185055
9053493,7,0.80113531,0.222185055
9053494,0,0.32840775,0.322185055
9053494,1,0.49417033,0.322185055
9053494,2,0.40612753,0.322185055
9053494,3,0.40119627,0.322185055
9053494,4,0.29180261,0.322185055
9053494,5,0.36130612,0.322185055
9053494,6,0.37378055,0.322185055
9053494,7,0.10725959,0.322185055
9053495,0,0.185271,0.422185055
9053495,1,0.15217526,0.422185055
9053495,2,0.1862101,0.422185055
9053495,3,0.30755407,0.422185055
9053495,4,0.08626544,0.422185055
9053495,5,0.1208435,0.422185055
9053495,6,0.09965898,0.422185055
9053495,7,0.01968871,0.422185055
9053496,0,0.0678723,0.522185055
9053496,1,0.02978802,0.522185055
9053496,2,0.06399615,0.522185055
9053496,3,0.06784464,0.522185055
9053496,4,0.0028894,0.522185055
9053496,5,0.01148439,0.522185055
9053496,6,0.01347575,0.522185055
9053496,7,0.00196452,0.522185055
