time_100ms,cpu,cpu_util,time_relative_s
9053884,0,0.04823161,-0.363595278
9053884,2,0.00053426,-0.363595278
9053884,3,0.00015217,-0.363595278
9053885,0,0.18514445,-0.263595278
9053885,1,0.1539518,-0.263595278
9053885,2,0.11716347,-0.263595278
9053885,3,0.08767702,-0.263595278
9053885,4,0.01093789,-0.263595278
9053885,5,0.69798136,-0.263595278
9053885,6,0.22871949,-0.263595278
9053885,7,0.00298503,-0.263595278
9053886,0,0.01589275,-0.163595278
9053886,1,0.03560343,-0.163595278
9053886,2,0.05217326,-0.163595278
9053886,3,0.03314293,-0.163595278
9053886,4,0.00014527,-0.163595278
9053886,5,0.00035807,-0.163595278
9053886,7,0.76785563,-0.163595278
9053887,0,0.20831014,-0.063595278
9053887,1,0.28527464,-0.063595278
9053887,2,0.29783405,-0.063595278
9053887,3,0.21492592,-0.063595278
9053887,4,0.34327352,-0.063595278
9053887,5,0.27250857,-0.063595278
9053887,6,0.26102787,-0.063595278
9053887,7,0.34661045,-0.063595278
9053888,0,0.5682898,0.036404722
9053888,1,0.51792481,0.036404722
9053888,2,0.71587437,0.036404722
9053888,3,0.75341431,0.036404722
9053888,4,0.6888322,0.036404722
9053888,5,0.5771354,0.036404722
9053888,6,0.55466841,0.036404722
9053888,7,0.77651002,0.036404722
9053889,0,0.80051967,0.136404722
9053889,1,0.89984864,0.136404722
9053889,2,0.88674848,0.136404722
9053889,3,0.70300413,0.136404722
9053889,4,0.99466676,0.136404722
9053889,5,0.90586794,0.136404722
9053889,6,0.85970703,0.136404722
9053889,7,0.90888377,0.136404722
9053890,0,0.9553821,0.236404722
9053890,1,0.99577435,0.236404722
9053890,2,0.95744868,0.236404722
9053890,3,0.98131226,0.236404722
9053890,4,0.99419921,0.236404722
9053890,5,0.98314085,0.236404722
9053890,6,0.98129479,0.236404722
9053890,7,0.99620929,0.236404722
9053891,0,1.0618917,0.336404722
9053891,1,0.8582182,0.336404722
9053891,2,0.92129757,0.336404722
9053891,3,0.96124268,0.336404722
9053891,4,0.99892823,0.336404722
9053891,5,0.9060803,0.336404722
9053891,6,0.9894808,0.336404722
9053891,7,0.84525918,0.336404722
9053892,0,0.84913004,0.436404722
9053892,1,0.66081419,0.436404722
9053892,2,0.36327432,0.436404722
9053892,3,0.46943968,0.436404722
9053892,4,0.39504231,0.436404722
9053892,5,0.74675048,0.436404722
9053892,6,0.65541221,0.436404722
9053892,7,1.02196249,0.436404722
9053893,0,0.18215738,0.536404722
9053893,1,0.19435018,0.536404722
9053893,2,0.1673596,0.536404722
9053893,3,0.12408442,0.536404722
9053893,4,0.0999756,0.536404722
9053893,5,0.2448527,0.536404722
9053893,6,0.24131185,0.536404722
9053893,7,0.30013509,0.536404722
