timestamp_ns,frequency,cpu,time_relative_s
905312776206081,2147000.0,7,-0.150895467
905312788293077,2294000.0,7,-0.138808471
905312800218858,2363000.0,7,-0.12688269
905312808207343,2499000.0,7,-0.118894205
905312820242336,2687000.0,7,-0.106859212
905312844228217,2802000.0,7,-0.082873331
905312861114162,700000.0,7,-0.065987386
905312918449408,2130000.0,4,-0.00865214
905312918451605,2130000.0,5,-0.008649943
905312918453192,2130000.0,6,-0.008648356
905312923055406,1945000.0,4,-0.004046142
905312923057440,1945000.0,5,-0.004044108
905312923059027,1945000.0,6,-0.004042521
905312924186957,2130000.0,4,-0.002914591
905312924188503,2130000.0,5,-0.002913045
905312924190009,2130000.0,6,-0.002911539
905312936288194,2245000.0,4,0.009186646
905312936289903,2245000.0,5,0.009188355
905312936291571,2245000.0,6,0.009190023
905312938575914,1945000.0,4,0.011474366
905312938578070,1945000.0,5,0.011476522
905312938579779,1945000.0,6,0.011478231
905312940500718,2245000.0,4,0.01339917
905312940501084,2245000.0,5,0.013399536
905312940501491,2245000.0,6,0.013399943
905312940615261,1885000.0,7,0.013513713
905312940708197,2499000.0,7,0.013606649
905312941133816,2600000.0,4,0.014032268
905312941136338,2600000.0,5,0.01403479
905312941138454,2600000.0,6,0.014036906
905312957571031,1425000.0,0,0.030469483
905312957572903,1425000.0,1,0.030471355
905312957574449,1425000.0,2,0.030472901
905312957575995,1425000.0,3,0.030474447
905312958485215,1425000.0,0,0.031383667
905312958485215,1425000.0,1,0.031383667
905312958485215,1425000.0,2,0.031383667
905312958485215,1425000.0,3,0.031383667
905312958485215,2600000.0,4,0.031383667
905312958485215,2600000.0,5,0.031383667
905312958485215,2600000.0,6,0.031383667
905312958485215,2499000.0,7,0.031383667
905312960568793,1945000.0,4,0.033467245
905312960570339,1945000.0,5,0.033468791
905312960571967,1945000.0,6,0.033470419
905312962621161,2600000.0,4,0.035519613
905312962622260,2600000.0,5,0.035520712
905312962623155,2600000.0,6,0.035521607
905312968203925,1548000.0,0,0.041102377
905312968204901,1548000.0,1,0.041103353
905312968205878,1548000.0,2,0.04110433
905312968206773,1548000.0,3,0.041105225
905312978490953,1197000.0,0,0.051389405
905312978491807,1197000.0,1,0.051390259
905312978492621,1197000.0,2,0.051391073
905312978493557,1197000.0,3,0.051392009
905312978505805,1945000.0,4,0.051404257
905312978507188,1945000.0,5,0.05140564
905312978508409,1945000.0,6,0.051406861
905312980186265,2600000.0,4,0.053084717
905312980187852,2600000.0,5,0.053086304
905312980189358,2600000.0,6,0.05308781
