time_100ms,cpu,cpu_util,time_relative_s
9053124,0,0.0349577,-0.527101548
9053124,1,0.00147338,-0.527101548
9053124,2,0.1211194,-0.527101548
9053124,3,0.03615033,-0.527101548
9053124,6,0.00051229,-0.527101548
9053125,0,0.13187785,-0.427101548
9053125,1,0.09351154,-0.427101548
9053125,2,0.03689165,-0.427101548
9053125,3,0.15766723,-0.427101548
9053125,7,0.0006075,-0.427101548
9053126,0,0.06003296,-0.327101548
9053126,1,0.10418743,-0.327101548
9053126,2,0.19881183,-0.327101548
9053126,3,0.14765419,-0.327101548
9053126,4,0.01292276,-0.327101548
9053126,5,0.23069255,-0.327101548
9053126,6,0.00379435,-0.327101548
9053126,7,0.58026001,-0.327101548
9053127,0,0.07029296,-0.227101548
9053127,1,0.12514527,-0.227101548
9053127,2,0.04305668,-0.227101548
9053127,3,0.12401047,-0.227101548
9053127,4,0.00462199,-0.227101548
9053127,5,0.00252645,-0.227101548
9053127,7,0.98758057,-0.227101548
9053128,0,0.05254845,-0.127101548
9053128,1,0.09728676,-0.127101548
9053128,2,0.08080403,-0.127101548
9053128,3,0.07858809,-0.127101548
9053128,4,0.17577882,-0.127101548
9053128,5,0.26458537,-0.127101548
9053128,6,0.00519816,-0.127101548
9053128,7,0.04862591,-0.127101548
9053129,0,0.63575394,-0.027101548
9053129,1,0.31404823,-0.027101548
9053129,2,0.57689332,-0.027101548
9053129,3,0.33191937,-0.027101548
9053129,4,0.58247933,-0.027101548
9053129,5,0.42440957,-0.027101548
9053129,6,0.32653889,-0.027101548
9053129,7,0.18637571,-0.027101548
9053130,0,0.6997205,0.072898452
9053130,1,0.32611001,0.072898452
9053130,2,0.58903073,0.072898452
9053130,3,0.56001503,0.072898452
9053130,4,0.24555175,0.072898452
9053130,5,0.34780156,0.072898452
9053130,6,0.18045815,0.072898452
9053130,7,0.69682004,0.072898452
9053131,0,0.39545402,0.172898452
9053131,1,0.22049068,0.172898452
9053131,2,0.3272875,0.172898452
9053131,3,0.2727453,0.172898452
9053131,4,0.6917887,0.172898452
9053131,5,0.66436397,0.172898452
9053131,6,0.67892585,0.172898452
9053131,7,0.70146198,0.172898452
9053132,0,0.10330692,0.272898452
9053132,1,0.18705905,0.272898452
9053132,2,0.19088379,0.272898452
9053132,3,0.3742114,0.272898452
9053132,4,0.34177818,0.272898452
9053132,5,0.19965414,0.272898452
9053132,6,0.43409511,0.272898452
9053132,7,0.22252032,0.272898452
9053133,0,0.32117552,0.372898452
9053133,1,0.34763119,0.372898452
9053133,2,0.26901816,0.372898452
9053133,3,0.19073649,0.372898452
9053133,4,0.24999713,0.372898452
9053133,5,0.25107261,0.372898452
9053133,6,0.69376909,0.372898452
9053133,7,0.23948324,0.372898452
9053134,0,0.64633992,0.472898452
9053134,1,0.69100512,0.472898452
9053134,2,0.72362833,0.472898452
9053134,3,0.60808228,0.472898452
9053134,4,0.86603271,0.472898452
9053134,5,0.83319337,0.472898452
9053134,6,0.77237832,0.472898452
9053134,7,0.74226679,0.472898452
9053135,0,0.62731489,0.572898452
9053135,1,0.29179641,0.572898452
9053135,2,0.43290644,0.572898452
9053135,3,0.20028935,0.572898452
9053135,4,0.28500079,0.572898452
9053135,5,0.3958142,0.572898452
9053135,6,0.375419,0.572898452
9053135,7,0.26866784,0.572898452
9053136,0,0.17605674,0.672898452
9053136,1,0.33531656,0.672898452
9053136,2,0.2797338,0.672898452
9053136,3,0.22236978,0.672898452
9053136,4,0.16079997,0.672898452
9053136,5,0.17611857,0.672898452
9053136,6,0.16704502,0.672898452
9053136,7,0.0281144,0.672898452
9053137,0,0.28346674,0.772898452
9053137,1,0.3772957,0.772898452
9053137,2,0.52591912,0.772898452
9053137,3,0.41353186,0.772898452
9053137,4,0.33971602,0.772898452
9053137,5,0.20143883,0.772898452
9053137,6,0.28069743,0.772898452
9053137,7,0.03655028,0.772898452
9053138,0,0.36432051,0.872898452
9053138,1,0.19518151,0.872898452
9053138,2,0.27712518,0.872898452
9053138,3,0.37043455,0.872898452
9053138,4,0.09681477,0.872898452
9053138,5,0.135472,0.872898452
9053138,6,0.07670777,0.872898452
9053138,7,0.01282675,0.872898452
9053139,0,0.13971034,0.972898452
9053139,1,0.20470339,0.972898452
9053139,2,0.12021731,0.972898452
9053139,3,0.19425416,0.972898452
9053139,4,0.0008016,0.972898452
9053139,5,0.00602661,0.972898452
9053139,6,0.03551152,0.972898452
