timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
904621422863662,1749959,4,7061,android.vending,24812,0.021029745
904621424679865,11515,4,7061,android.vending,24812,0.022845948
904621424729913,18311,4,7061,android.vending,24812,0.022895996
904621424786107,10253,4,7061,android.vending,24812,0.02295219
904621425032526,23804,4,7061,android.vending,24812,0.023198609
904621425143325,7303345,4,7061,android.vending,24812,0.023309408
904621432506932,1256998,4,7061,android.vending,24812,0.030673015
904621433818374,57536,4,7061,android.vending,24812,0.031984457
904621433886489,1257690,4,7061,android.vending,24812,0.032052572
904621435160822,2330119,7,7061,android.vending,24812,0.033326905
904621437490941,125406,7,7062,Signal Catcher,24813,0.035657024
904621437618260,59814,6,7061,android.vending,24812,0.035784343
904621437698867,395793,4,7061,android.vending,24812,0.03586495
904621438019302,66894,7,7063,perfetto_hprof_,24814,0.036185385
904621438111098,1534953,7,7061,android.vending,24812,0.036277181
904621439720718,355102,7,7061,android.vending,24812,0.037886801
904621440207982,207071,7,7061,android.vending,24812,0.038374065
904621440533014,91512,7,7061,android.vending,24812,0.038699097
904621440654352,84351,7,7061,android.vending,24812,0.038820435
904621440781346,1703817,7,7061,android.vending,24812,0.038947429
904621442655451,3570841,7,7061,android.vending,24812,0.040821534
904621446205581,49927,6,7064,Jit thread pool,24815,0.044371664
904621446243830,100097,4,7061,android.vending,24812,0.044409913
904621446269424,143351,6,7064,Jit thread pool,24815,0.044435507
904621446358820,4592651,4,7061,android.vending,24812,0.044524903
904621450768935,29501,6,7064,Jit thread pool,24815,0.048935018
904621450912978,61442,7,7065,HeapTaskDaemon,24816,0.049079061
904621450967137,95622,4,7061,android.vending,24812,0.04913322
904621450987807,59367,7,7065,HeapTaskDaemon,24816,0.04915389
904621451015355,65755,6,7066,ReferenceQueueD,24818,0.049181438
904621451079686,56640,4,7061,android.vending,24812,0.049245769
904621451094619,205973,6,7066,ReferenceQueueD,24818,0.049260702
904621451107070,27507,7,7067,FinalizerDaemon,24819,0.049273153
904621451158095,24089,7,7067,FinalizerDaemon,24819,0.049324178
904621451178603,2636231,4,7061,android.vending,24812,0.049344686
904621451231663,40365,7,7068,FinalizerWatchd,24820,0.049397746
904621451260960,125855,1,7067,FinalizerDaemon,24819,0.049427043
904621451285008,6510,7,7068,FinalizerWatchd,24820,0.049451091
904621451327041,16032,7,7068,FinalizerWatchd,24820,0.049493124
904621452724258,105102,7,7069,binder:24812_1,24821,0.050890341
904621452832046,158650,6,7070,binder:24812_2,24822,0.050998129
904621453861180,128703,4,7061,android.vending,24812,0.052027263
904621454074721,111613,4,7061,android.vending,24812,0.052240804
904621455369277,609985,6,7070,binder:24812_2,24822,0.05353536
904621455963556,52694,7,7069,binder:24812_1,24821,0.054129639
904621455994887,138998,6,7071,binder:24812_3,24823,0.05416097
904621456016250,2726,7,7061,android.vending,24812,0.054182333
904621456356582,1305745,7,7061,android.vending,24812,0.054522665
904621456679132,161743,4,7071,binder:24812_3,24823,0.054845215
904621457737563,19572,7,7061,android.vending,24812,0.055903646
904621457802708,72835,7,7061,android.vending,24812,0.055968791
904621458007298,296956,7,7061,android.vending,24812,0.056173381
904621458347020,17632649,7,7061,android.vending,24812,0.056513103
904621475979669,81299,7,7073,Profile Saver,24826,0.074145752
904621476060968,604492,7,7061,android.vending,24812,0.074227051
904621476736261,93669,7,7061,android.vending,24812,0.074902344
904621476867080,171793,7,7061,android.vending,24812,0.075033163
904621477134170,160156,7,7061,android.vending,24812,0.075300253
904621477330255,11841,7,7061,android.vending,24812,0.075496338
904621477365737,110392,7,7061,android.vending,24812,0.07553182
904621477606053,180867,7,7061,android.vending,24812,0.075772136
904621477880467,994954,7,7061,android.vending,24812,0.07604655
904621479277480,280192,7,7061,android.vending,24812,0.077443563
904621479611220,124797,7,7061,android.vending,24812,0.077777303
904621479736017,283854,7,7074,SharedPreferenc,24827,0.0779021
904621480019871,598633,7,7061,android.vending,24812,0.078185954
904621480618504,10457,7,7074,SharedPreferenc,24827,0.078784587
904621480708226,362711,7,7061,android.vending,24812,0.078874309
904621481468235,18962,5,7061,android.vending,24812,0.079634318
904621481500625,957357,4,7061,android.vending,24812,0.079666708
904621482350560,91268,7,7075,Monitor Thread ,24828,0.080516643
904621482472752,670817,7,7061,android.vending,24812,0.080638835
904621483143569,75521,7,7078,LightweightExec,24831,0.081309652
904621483219090,1031250,7,7077,LightweightExec,24830,0.081385173
904621484250340,116740,7,7076,LightweightExec,24829,0.082416423
904621484366836,251709,4,7079,LightweightExec,24832,0.082532919
904621484367080,381754,7,7077,LightweightExec,24830,0.082533163
904621484490493,283244,5,7078,LightweightExec,24831,0.082656576
904621484512954,16805,6,7076,LightweightExec,24829,0.082679037
904621484607925,572469,6,7080,BlockingExecuto,24834,0.082774008
904621484768773,1309814,4,7077,LightweightExec,24830,0.082934856
904621484793594,404215,5,7078,LightweightExec,24831,0.082959677
904621485144627,86955,7,7081,BlockingExecuto,24835,0.08331071
904621485180394,13387,6,7076,LightweightExec,24829,0.083346477
904621485193781,321574,6,7080,BlockingExecuto,24834,0.083359864
904621485226658,8952,2,7074,SharedPreferenc,24827,0.083392741
904621485229873,15340,5,7078,LightweightExec,24831,0.083395956
904621485258152,236939,7,7074,SharedPreferenc,24827,0.083424235
904621485330418,199097,5,7078,LightweightExec,24831,0.083496501
904621485498509,17781,3,7081,BlockingExecuto,24835,0.083664592
904621485531834,145874,7,7081,BlockingExecuto,24835,0.083697917
904621485545303,210327,6,7080,BlockingExecuto,24834,0.083711386
904621485561538,995605,5,7078,LightweightExec,24831,0.083727621
904621485978042,33284,6,7079,LightweightExec,24832,0.084144125
904621485995416,3622,7,7076,LightweightExec,24829,0.084161499
904621486006199,102132,7,7080,BlockingExecuto,24834,0.084172282
904621486225804,211426,4,7080,BlockingExecuto,24834,0.084391887
904621486482192,74992,4,7080,BlockingExecuto,24834,0.084648275
904621486524144,5574,7,7076,LightweightExec,24829,0.084690227
904621486535496,37639,7,7061,android.vending,24812,0.084701579
904621486579808,120402,4,7080,BlockingExecuto,24834,0.084745891
904621486605036,44515,7,7061,android.vending,24812,0.084771119
