timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
904660987009637,1773396,4,7060,android.vending,26330,0.023630412
904660988855258,15788,4,7060,android.vending,26330,0.025476033
904660988899773,19816,4,7060,android.vending,26330,0.025520548
904660988987013,5290,4,7060,android.vending,26330,0.025607788
904660989005934,3581,4,7060,android.vending,26330,0.025626709
904660989468092,7161,4,7060,android.vending,26330,0.026088867
904660989654493,7203776,4,7060,android.vending,26330,0.026275268
904660996929721,1286947,4,7060,android.vending,26330,0.033550496
904660998294996,62256,4,7060,android.vending,26330,0.034915771
904660998367303,3040079,4,7060,android.vending,26330,0.034988078
904661001426954,120565,7,7060,android.vending,26330,0.038047729
904661001616896,1170532,7,7060,android.vending,26330,0.038237671
904661002787428,125651,7,7061,Signal Catcher,26331,0.039408203
904661002912550,160360,6,7060,android.vending,26330,0.039533325
904661003090447,1463705,7,7060,android.vending,26330,0.039711222
904661004702304,82683,7,7062,perfetto_hprof_,26332,0.041323079
904661004784987,6578694,7,7060,android.vending,26330,0.041405762
904661011342278,162069,6,7063,Jit thread pool,26333,0.047963053
904661011375970,24576,7,7060,android.vending,26330,0.047996745
904661011406935,959798,7,7060,android.vending,26330,0.04802771
904661012429070,397909,7,7060,android.vending,26330,0.049049845
904661013189161,115397,7,7060,android.vending,26330,0.049809936
904661013571445,219889,7,7060,android.vending,26330,0.05019222
904661013890821,251587,7,7060,android.vending,26330,0.050511596
904661014165276,72876,7,7060,android.vending,26330,0.050786051
904661014275709,173747,7,7060,android.vending,26330,0.050896484
904661014782993,266601,7,7060,android.vending,26330,0.051403768
904661015071811,189046,7,7060,android.vending,26330,0.051692586
904661015276604,41423,7,7060,android.vending,26330,0.051897379
904661015330885,697917,7,7060,android.vending,26330,0.05195166
904661015888624,35889,6,7063,Jit thread pool,26333,0.052509399
904661016007724,51188,6,7064,HeapTaskDaemon,26334,0.052628499
904661016050083,55745,4,7060,android.vending,26330,0.052670858
904661016072706,126750,6,7064,HeapTaskDaemon,26334,0.052693481
904661016108229,15665,5,7065,ReferenceQueueD,26335,0.052729004
904661016118320,37313,7,7060,android.vending,26330,0.052739095
904661016146030,81787,5,7065,ReferenceQueueD,26335,0.052766805
904661016168938,163086,4,7060,android.vending,26330,0.052789713
904661016270053,55339,5,7065,ReferenceQueueD,26335,0.052890828
904661016285882,43050,7,7066,FinalizerDaemon,26336,0.052906657
904661016337233,84391,5,7065,ReferenceQueueD,26335,0.052958008
904661016413527,55582,7,7066,FinalizerDaemon,26336,0.053034302
904661016426018,49235,4,7060,android.vending,26330,0.053046793
904661016430779,52572,5,7065,ReferenceQueueD,26335,0.053051554
904661016484409,1820556,7,7060,android.vending,26330,0.053105184
904661016506707,84432,6,7067,FinalizerWatchd,26337,0.053127482
904661016512892,38493,5,7066,FinalizerDaemon,26336,0.053133667
904661016534051,27750,4,7065,ReferenceQueueD,26335,0.053154826
904661017565260,222860,6,7068,binder:26330_1,26338,0.054186035
904661017778802,163777,5,7069,binder:26330_2,26339,0.054399577
904661018837436,35116,7,7060,android.vending,26330,0.055458211
904661019042880,65430,7,7060,android.vending,26330,0.055663655
904661019197543,60954,7,7060,android.vending,26330,0.055818318
904661020925937,470134,5,7069,binder:26330_2,26339,0.057546712
904661022064080,24007,7,7060,android.vending,26330,0.058684855
904661023916578,669515,5,7069,binder:26330_2,26339,0.060537353
904661024270094,1544189,7,7060,android.vending,26330,0.060890869
904661024309848,12044,6,7068,binder:26330_1,26338,0.060930623
904661024384921,163412,6,7071,binder:26330_3,26341,0.061005696
904661024432732,11800,4,7068,binder:26330_1,26338,0.061053507
904661025889519,23031,7,7060,android.vending,26330,0.062510294
904661025962924,79143,7,7060,android.vending,26330,0.062583699
904661026186801,311890,7,7060,android.vending,26330,0.062807576
904661026546665,18273437,7,7060,android.vending,26330,0.06316744
904661044897210,616862,7,7060,android.vending,26330,0.081517985
904661045587273,96883,7,7060,android.vending,26330,0.082208048
904661045729241,65674,7,7060,android.vending,26330,0.082350016
904661045907708,187744,7,7060,android.vending,26330,0.082528483
904661046192946,78776,6,7074,Profile Saver,26344,0.082813721
904661046261915,78776,5,7060,android.vending,26330,0.08288269
904661046394809,45329,6,7074,Profile Saver,26344,0.083015584
904661046440138,255412,6,7060,android.vending,26330,0.083060913
904661046695550,57373,6,7074,Profile Saver,26344,0.083316325
904661046833123,221883,7,7060,android.vending,26330,0.083453898
904661047179884,1150350,7,7060,android.vending,26330,0.083800659
904661048871250,338216,7,7060,android.vending,26330,0.085492025
904661049268222,133586,7,7060,android.vending,26330,0.085888997
904661049401808,307739,7,7075,SharedPreferenc,26345,0.086022583
904661049709547,648438,7,7060,android.vending,26330,0.086330322
