time_100ms,cpu,cpu_util,time_relative_s
9046606,0,0.00072631,-0.363379225
9046606,1,0.00081747,-0.363379225
9046606,2,0.00237628,-0.363379225
9046606,3,0.00411741,-0.363379225
9046607,0,0.11965497,-0.263379225
9046607,1,0.14013427,-0.263379225
9046607,2,0.11477337,-0.263379225
9046607,3,0.16520513,-0.263379225
9046607,4,0.01914224,-0.263379225
9046607,5,0.12967528,-0.263379225
9046607,6,0.67718872,-0.263379225
9046607,7,0.00220459,-0.263379225
9046608,0,0.04229614,-0.163379225
9046608,1,0.03144898,-0.163379225
9046608,2,0.01574503,-0.163379225
9046608,3,0.10005779,-0.163379225
9046608,4,0.00014038,-0.163379225
9046608,5,0.00080525,-0.163379225
9046608,6,0.12093424,-0.163379225
9046608,7,0.59766317,-0.163379225
9046609,0,0.25202354,-0.063379225
9046609,1,0.3660641,-0.063379225
9046609,2,0.26101112,-0.063379225
9046609,3,0.22705283,-0.063379225
9046609,4,0.35197874,-0.063379225
9046609,5,0.28773565,-0.063379225
9046609,6,0.37752847,-0.063379225
9046609,7,0.47893026,-0.063379225
9046610,0,0.66836428,0.036620775
9046610,1,0.54530481,0.036620775
9046610,2,0.66265137,0.036620775
9046610,3,0.46656781,0.036620775
9046610,4,0.45606569,0.036620775
9046610,5,0.48725873,0.036620775
9046610,6,0.47070479,0.036620775
9046610,7,0.86425256,0.036620775
9046611,0,0.93133343,0.136620775
9046611,1,0.95647949,0.136620775
9046611,2,0.95786338,0.136620775
9046611,3,0.93848387,0.136620775
9046611,4,0.99200964,0.136620775
9046611,5,0.97026122,0.136620775
9046611,6,0.95357744,0.136620775
9046611,7,0.93891195,0.136620775
9046612,0,0.7680294,0.236620775
9046612,1,0.92064943,0.236620775
9046612,2,0.87144042,0.236620775
9046612,3,0.94345417,0.236620775
9046612,4,0.97227579,0.236620775
9046612,5,0.99321939,0.236620775
9046612,6,0.99059897,0.236620775
9046612,7,0.92640707,0.236620775
9046613,0,1.22053183,0.336620775
9046613,1,1.19459189,0.336620775
9046613,2,0.99199421,0.336620775
9046613,3,1.01596151,0.336620775
9046613,4,0.95623536,0.336620775
9046613,5,0.96611572,0.336620775
9046613,6,0.94591189,0.336620775
9046613,7,1.03939168,0.336620775
9046614,0,0.68238485,0.436620775
9046614,1,0.61349854,0.436620775
9046614,2,0.92452681,0.436620775
9046614,3,0.92618123,0.436620775
9046614,4,0.91321449,0.436620775
9046614,5,1.09293701,0.436620775
9046614,6,1.10518758,0.436620775
9046614,7,1.03587403,0.436620775
9046615,0,0.78274168,0.536620775
9046615,1,0.7415153,0.536620775
9046615,2,0.92835654,0.536620775
9046615,3,0.87549072,0.536620775
9046615,4,0.92320639,0.536620775
9046615,5,0.94387776,0.536620775
9046615,6,0.72889487,0.536620775
9046615,7,1.04631469,0.536620775
9046616,0,0.27271973,0.636620775
9046616,1,0.13491456,0.636620775
9046616,2,0.24174926,0.636620775
9046616,3,0.20249472,0.636620775
9046616,4,0.27053142,0.636620775
9046616,5,0.20759847,0.636620775
9046616,6,0.12608072,0.636620775
9046616,7,0.1371932,0.636620775
