time_100ms,cpu,cpu_util,time_relative_s
9045819,0,0.31046956,-0.362263179
9045819,1,0.19480517,-0.362263179
9045819,2,0.32071942,-0.362263179
9045819,3,0.22524696,-0.362263179
9045819,4,0.08509811,-0.362263179
9045819,5,0.12854987,-0.362263179
9045819,6,0.08899211,-0.362263179
9045819,7,0.04272132,-0.362263179
9045820,0,0.52082683,-0.262263179
9045820,1,0.22958175,-0.262263179
9045820,2,0.24983976,-0.262263179
9045820,3,0.46497566,-0.262263179
9045820,4,0.12629188,-0.262263179
9045820,5,0.12737508,-0.262263179
9045820,6,0.60033691,-0.262263179
9045820,7,0.04459067,-0.262263179
9045821,0,0.44290689,-0.162263179
9045821,1,0.17097659,-0.162263179
9045821,2,0.15745196,-0.162263179
9045821,3,0.30725674,-0.162263179
9045821,4,0.33504396,-0.162263179
9045821,5,0.05725503,-0.162263179
9045821,6,0.04300011,-0.162263179
9045821,7,0.55453044,-0.162263179
9045822,0,0.45981163,-0.062263179
9045822,1,0.46831621,-0.062263179
9045822,2,0.44777307,-0.062263179
9045822,3,0.38688508,-0.062263179
9045822,4,0.46483198,-0.062263179
9045822,5,0.42597128,-0.062263179
9045822,6,0.44567017,-0.062263179
9045822,7,0.71288694,-0.062263179
9045823,0,0.50749997,0.037736821
9045823,1,0.56599162,0.037736821
9045823,2,0.45575519,0.037736821
9045823,3,0.47451162,0.037736821
9045823,4,0.58929081,0.037736821
9045823,5,0.48460859,0.037736821
9045823,6,0.49810181,0.037736821
9045823,7,0.86914845,0.037736821
9045824,0,1.09232379,0.137736821
9045824,1,0.97104492,0.137736821
9045824,2,0.97610876,0.137736821
9045824,3,0.93776614,0.137736821
9045824,4,0.99266927,0.137736821
9045824,5,0.98200075,0.137736821
9045824,6,0.97372439,0.137736821
9045824,7,0.95106162,0.137736821
9045825,0,0.30905192,0.237736821
9045825,1,0.61802245,0.237736821
9045825,2,0.50032348,0.237736821
9045825,3,0.80381547,0.237736821
9045825,4,0.97233154,0.237736821
9045825,5,0.88230715,0.237736821
9045825,6,0.69380822,0.237736821
9045825,7,0.54869469,0.237736821
9045826,0,0.87510745,0.337736821
9045826,1,0.82190757,0.337736821
9045826,2,0.85510091,0.337736821
9045826,3,0.81660647,0.337736821
9045826,4,0.89534914,0.337736821
9045826,5,0.83325762,0.337736821
9045826,6,0.8281494,0.337736821
9045826,7,0.33077712,0.337736821
9045827,0,0.55000284,0.437736821
9045827,1,0.42148924,0.437736821
9045827,2,0.33635421,0.437736821
9045827,3,0.3219149,0.437736821
9045827,4,0.62670738,0.437736821
9045827,5,0.73786254,0.437736821
9045827,6,0.50575476,0.437736821
9045827,7,0.10542279,0.437736821
9045828,0,0.42624065,0.537736821
9045828,1,0.310201,0.537736821
9045828,2,0.53184976,0.537736821
9045828,3,0.43375772,0.537736821
9045828,4,0.45813721,0.537736821
9045828,5,0.70709675,0.537736821
9045828,6,0.33807656,0.537736821
9045828,7,0.09308102,0.537736821
9045829,0,0.15198204,0.637736821
9045829,1,0.05820966,0.637736821
9045829,2,0.2749707,0.637736821
9045829,3,0.13800991,0.637736821
9045829,4,0.06777345,0.637736821
9045829,5,0.23877076,0.637736821
9045829,6,0.21347979,0.637736821
9045829,7,0.03538289,0.637736821
