timestamp_ns,current_ma,power_source,time_relative_s
904582209659460,4642500.0,batt.charge_uah,-0.052603719
904582209659460,100.0,batt.capacity_pct,-0.052603719
904582209659460,-1039.062,batt.current_ua,-0.052603719
904582209659460,4.411,batt.voltage_uv,-0.052603719
904582209659460,4583.0,batt.power_mw,-0.052603719
904582308223954,4642500.0,batt.charge_uah,0.045960775
904582308223954,100.0,batt.capacity_pct,0.045960775
904582308223954,-1039.062,batt.current_ua,0.045960775
904582308223954,4.411,batt.voltage_uv,0.045960775
904582308223954,4583.0,batt.power_mw,0.045960775
904582409014807,4642500.0,batt.charge_uah,0.146751628
904582409014807,100.0,batt.capacity_pct,0.146751628
904582409014807,-1428.125,batt.current_ua,0.146751628
904582409014807,4.401,batt.voltage_uv,0.146751628
904582409014807,6285.0,batt.power_mw,0.146751628
904582509044673,4642500.0,batt.charge_uah,0.246781494
904582509044673,100.0,batt.capacity_pct,0.246781494
904582509044673,-1428.125,batt.current_ua,0.246781494
904582509044673,4.401,batt.voltage_uv,0.246781494
904582509044673,6285.0,batt.power_mw,0.246781494
904582608315466,4642500.0,batt.charge_uah,0.346052287
904582608315466,100.0,batt.capacity_pct,0.346052287
904582608315466,-1120.312,batt.current_ua,0.346052287
904582608315466,4.392,batt.voltage_uv,0.346052287
904582608315466,4920.0,batt.power_mw,0.346052287
904582710223099,4642500.0,batt.charge_uah,0.44795992
904582710223099,100.0,batt.capacity_pct,0.44795992
904582710223099,-1120.312,batt.current_ua,0.44795992
904582710223099,4.392,batt.voltage_uv,0.44795992
904582710223099,4920.0,batt.power_mw,0.44795992
