timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
904863801255992,1673218,4,7161,android.youtube,3510,0.02254187
904863803069957,533854,4,7161,android.youtube,3510,0.024355835
904863803660167,13224,4,7161,android.youtube,3510,0.024946045
904863803717581,19938,4,7161,android.youtube,3510,0.025003459
904863803792735,4842,4,7161,android.youtube,3510,0.025078613
904863803810395,3662,4,7161,android.youtube,3510,0.025096273
904863803826427,3214,4,7161,android.youtube,3510,0.025112305
904863805294526,7018554,4,7161,android.youtube,3510,0.026580404
904863812352021,1445801,5,7161,android.youtube,3510,0.033637899
904863813854381,64860,5,7161,android.youtube,3510,0.035140259
904863813930146,4129069,5,7161,android.youtube,3510,0.035216024
904863818101329,126912,7,7161,android.youtube,3510,0.039387207
904863818367198,345541,7,7161,android.youtube,3510,0.039653076
904863818712739,135335,7,7163,Signal Catcher,3512,0.039998617
904863818851085,536092,5,7161,android.youtube,3510,0.040136963
904863819259532,86263,7,7164,perfetto_hprof_,3513,0.04054541
904863819398936,3325888,7,7161,android.youtube,3510,0.040684814
904863823166352,3188354,7,7161,android.youtube,3510,0.04445223
904863826437673,351522,7,7161,android.youtube,3510,0.047723551
904863826972626,226197,7,7161,android.youtube,3510,0.048258504
904863827312022,183147,7,7161,android.youtube,3510,0.0485979
904863827523285,87769,7,7161,android.youtube,3510,0.048809163
904863827658661,663371,7,7161,android.youtube,3510,0.048944539
904863828299978,53996,4,7165,Jit thread pool,3520,0.049585856
904863828340343,50822,5,7161,android.youtube,3510,0.049626221
904863828367931,148600,4,7165,Jit thread pool,3520,0.049653809
904863828403087,37679,5,7161,android.youtube,3510,0.049688965
904863828451508,1372844,5,7161,android.youtube,3510,0.049737386
904863829944794,3597494,5,7161,android.youtube,3510,0.051230672
904863833365326,27670,4,7165,Jit thread pool,3520,0.054651204
904863833498139,80851,7,7166,HeapTaskDaemon,3521,0.054784017
904863833556204,116048,5,7161,android.youtube,3510,0.054842082
904863833587454,52856,7,7167,ReferenceQueueD,3523,0.054873332
904863833640514,84391,4,7168,FinalizerDaemon,3525,0.054926392
904863833687592,2783122,5,7161,android.youtube,3510,0.05497347
904863833710501,115234,7,7169,FinalizerWatchd,3526,0.054996379
904863833732066,45939,4,7168,FinalizerDaemon,3525,0.055017944
904863835439260,122111,7,7170,binder:3510_1,3529,0.056725138
904863835835541,22339,7,7170,binder:3510_1,3529,0.057121419
904863835857880,105510,7,7171,binder:3510_2,3530,0.057143758
904863836528982,144938,5,7161,android.youtube,3510,0.05781486
904863836897838,141479,5,7161,android.youtube,3510,0.058183716
904863837592459,11149,7,7161,android.youtube,3510,0.058878337
904863838397512,653280,6,7171,binder:3510_2,3530,0.05968339
904863839237844,175253,6,7171,binder:3510_2,3530,0.060523722
904863839397594,113322,7,7170,binder:3510_1,3529,0.060683472
904863839447032,6511,6,7171,binder:3510_2,3530,0.06073291
904863839509410,190145,6,7172,binder:3510_3,3531,0.060795288
904863839510916,1419067,7,7161,android.youtube,3510,0.060796794
904863840993297,32918,7,7161,android.youtube,3510,0.062279175
904863841026215,89762,7,7172,binder:3510_3,3531,0.062312093
904863841115977,74911,7,7161,android.youtube,3510,0.062401855
904863841333792,297810,7,7161,android.youtube,3510,0.06261967
904863841679617,11713826,7,7161,android.youtube,3510,0.062965495
904863853851573,4153321,7,7161,android.youtube,3510,0.075137451
904863858004894,99609,7,7173,Profile Saver,3532,0.079290772
904863858119192,652384,7,7161,android.youtube,3510,0.07940507
904863858836070,114177,7,7161,android.youtube,3510,0.080121948
904863858982636,54769,7,7161,android.youtube,3510,0.080268514
904863859131725,160685,7,7161,android.youtube,3510,0.080417603
904863859322439,14567,7,7161,android.youtube,3510,0.080608317
904863859366100,120808,7,7161,android.youtube,3510,0.080651978
904863859600800,131388,7,7161,android.youtube,3510,0.080886678
904863859828950,19171101,7,7161,android.youtube,3510,0.081114828
904863879222057,750447,7,7161,android.youtube,3510,0.100507935
904863880107148,333577,7,7161,android.youtube,3510,0.101393026
904863880790050,1660522,7,7161,android.youtube,3510,0.102075928
904863882542166,1705403,7,7161,android.youtube,3510,0.103828044
904863884163015,108684,6,7174,Blocking Thread,3533,0.105448893
904863884247569,28117,7,7175,BG Thread #0,3534,0.105533447
904863884314586,142456,4,7174,Blocking Thread,3533,0.105600464
904863884343923,160889,7,7175,BG Thread #0,3534,0.105629801
904863884372610,366821,6,7161,android.youtube,3510,0.105658488
904863884670584,56762,7,7176,Scheduler Threa,3535,0.105956462
904863884714814,262776,5,7175,BG Thread #0,3534,0.106000692
904863884750580,1245118,7,7161,android.youtube,3510,0.106036458
904863885954641,86182,0,7177,anrV34-1,3539,0.107240519
904863886010672,147094,7,7161,android.youtube,3510,0.10729655
