time_100ms,cpu,cpu_util,time_relative_s
9048634,0,0.40746343,-0.378714122
9048634,1,0.41309602,-0.378714122
9048634,2,0.7888452,-0.378714122
9048634,3,0.31140787,-0.378714122
9048634,4,0.03689576,-0.378714122
9048634,5,0.0034843,-0.378714122
9048634,6,0.00423828,-0.378714122
9048634,7,0.00020345,-0.378714122
9048635,0,0.59902172,-0.278714122
9048635,1,0.44294354,-0.278714122
9048635,2,0.49990189,-0.278714122
9048635,3,0.28498164,-0.278714122
9048635,4,0.00351156,-0.278714122
9048635,5,0.00549398,-0.278714122
9048635,6,0.10142131,-0.278714122
9048635,7,0.00379355,-0.278714122
9048636,0,0.50837362,-0.178714122
9048636,1,0.53653726,-0.178714122
9048636,2,0.5058715,-0.178714122
9048636,3,0.24894079,-0.178714122
9048636,4,0.57434774,-0.178714122
9048636,5,0.22399821,-0.178714122
9048636,6,0.00240723,-0.178714122
9048636,7,0.58085978,-0.178714122
9048637,0,0.55806725,-0.078714122
9048637,1,0.57704867,-0.078714122
9048637,2,0.57950519,-0.078714122
9048637,3,0.52071814,-0.078714122
9048637,4,0.13734088,-0.078714122
9048637,5,0.22023642,-0.078714122
9048637,6,0.19577519,-0.078714122
9048637,7,0.38615397,-0.078714122
9048638,0,0.63753336,0.021285878
9048638,1,0.52990393,0.021285878
9048638,2,0.67634596,0.021285878
9048638,3,0.57691576,0.021285878
9048638,4,0.45807578,0.021285878
9048638,5,0.5597729,0.021285878
9048638,6,0.4150069,0.021285878
9048638,7,0.76071609,0.021285878
9048639,0,0.92434695,0.121285878
9048639,1,0.88241212,0.121285878
9048639,2,0.88216473,0.121285878
9048639,3,0.99571005,0.121285878
9048639,4,0.85643968,0.121285878
9048639,5,0.89373207,0.121285878
9048639,6,0.84577313,0.121285878
9048639,7,0.85328942,0.121285878
9048640,0,0.72413452,0.221285878
9048640,1,0.73566686,0.221285878
9048640,2,0.77701458,0.221285878
9048640,3,0.8167301,0.221285878
9048640,4,0.7425346,0.221285878
9048640,5,0.82080814,0.221285878
9048640,6,0.82175449,0.221285878
9048640,7,0.81183024,0.221285878
9048641,0,0.96124759,0.321285878
9048641,1,0.95987875,0.321285878
9048641,2,0.95269408,0.321285878
9048641,3,0.91992313,0.321285878
9048641,4,0.98500325,0.321285878
9048641,5,0.9882519,0.321285878
9048641,6,0.96406294,0.321285878
9048641,7,0.74020307,0.321285878
9048642,0,0.73756298,0.421285878
9048642,1,0.65507535,0.421285878
9048642,2,0.54541216,0.421285878
9048642,3,0.67213335,0.421285878
9048642,4,0.76257848,0.421285878
9048642,5,0.75751836,0.421285878
9048642,6,0.67319617,0.421285878
9048642,7,0.27078209,0.421285878
9048643,0,0.62366938,0.521285878
9048643,1,0.40269407,0.521285878
9048643,2,0.43615598,0.521285878
9048643,3,0.52249429,0.521285878
9048643,4,0.15313716,0.521285878
9048643,5,0.18245848,0.521285878
9048643,6,0.19666385,0.521285878
9048643,7,0.01829914,0.521285878
9048644,0,0.59052422,0.621285878
9048644,1,0.56996218,0.621285878
9048644,2,0.20960738,0.621285878
9048644,3,0.5639265,0.621285878
9048644,4,0.18458336,0.621285878
9048644,5,0.17755939,0.621285878
9048644,6,0.15617985,0.621285878
9048644,7,0.00591268,0.621285878
