timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
904904117769236,300130,6,7174,android.youtube,5369,0.024786133
904904118214101,491130,6,7174,android.youtube,5369,0.025230998
904904118814687,1116618,4,7174,android.youtube,5369,0.025831584
904904120002716,14364,4,7174,android.youtube,5369,0.027019613
904904120051788,25431,4,7174,android.youtube,5369,0.027068685
904904120115753,9562,6,7174,android.youtube,5369,0.02713265
904904120147980,14119,6,7174,android.youtube,5369,0.027164877
904904120183950,9887,5,7174,android.youtube,5369,0.027200847
904904120636139,18025,6,7174,android.youtube,5369,0.027653036
904904120694529,7610718,4,7174,android.youtube,5369,0.027711426
904904128514353,1407756,4,7174,android.youtube,5369,0.03553125
904904129993642,63761,4,7174,android.youtube,5369,0.037010539
904904130067617,4166504,4,7174,android.youtube,5369,0.037084514
904904134251495,596354,7,7174,android.youtube,5369,0.041268392
904904134847849,126628,7,7176,Signal Catcher,5371,0.041864746
904904134979848,1334717,5,7174,android.youtube,5369,0.041996745
904904135371775,77596,7,7177,perfetto_hprof_,5372,0.042388672
904904136329132,3650146,7,7174,android.youtube,5369,0.043346029
904904140060577,454183,7,7174,android.youtube,5369,0.047077474
904904140693186,31291,7,7174,android.youtube,5369,0.047710083
904904140892527,56722,7,7174,android.youtube,5369,0.047909424
904904141070872,111043,7,7174,android.youtube,5369,0.048087769
904904141220896,95988,7,7174,android.youtube,5369,0.048237793
904904141359283,2952922,7,7174,android.youtube,5369,0.04837618
904904144283233,214722,4,7178,Jit thread pool,5373,0.05130013
904904144327789,28117,7,7174,android.youtube,5369,0.051344686
904904144365061,55990,7,7174,android.youtube,5369,0.051381958
904904144429840,3033162,7,7174,android.youtube,5369,0.051446737
904904147361521,13916,4,7178,Jit thread pool,5373,0.054378418
904904147439768,105347,4,7179,HeapTaskDaemon,5374,0.054456665
904904147472605,36052,7,7174,android.youtube,5369,0.054489502
904904147505320,246541,5,7180,ReferenceQueueD,5375,0.054522217
904904147518341,23193,7,7174,android.youtube,5369,0.054535238
904904147554514,50619,7,7174,android.youtube,5369,0.054571411
904904147593333,45329,4,7181,FinalizerDaemon,5376,0.05461023
904904147619456,1828572,7,7174,android.youtube,5369,0.054636353
904904147649363,21037,4,7181,FinalizerDaemon,5376,0.05466626
904904147667185,126424,6,7182,FinalizerWatchd,5377,0.054684082
904904147704010,45858,4,7181,FinalizerDaemon,5376,0.054720907
904904148692332,229980,4,7183,binder:5369_1,5378,0.055709229
904904148915883,168091,5,7184,binder:5369_2,5379,0.05593278
904904149500803,75888,7,7174,android.youtube,5369,0.0565177
904904149779327,76823,7,7174,android.youtube,5369,0.056796224
904904151213613,52287,1,7184,binder:5369_2,5379,0.05823051
904904151297272,514567,4,7184,binder:5369_2,5379,0.058314169
904904152223378,214600,4,7184,binder:5369_2,5379,0.059240275
904904152471100,120687,7,7184,binder:5369_2,5379,0.059487997
904904152638173,26774,7,7184,binder:5369_2,5379,0.05965507
904904152655141,17700,3,7183,binder:5369_1,5378,0.059672038
904904152685333,12207,7,7184,binder:5369_2,5379,0.05970223
904904152725250,49317,7,7184,binder:5369_2,5379,0.059742147
904904152774567,106282,7,7185,binder:5369_3,5380,0.059791464
904904152828969,17822,2,7183,binder:5369_1,5378,0.059845866
904904152897003,10905,7,7185,binder:5369_3,5380,0.0599139
904904153816192,1414104,7,7174,android.youtube,5369,0.060833089
904904154413523,204142,5,7185,binder:5369_3,5380,0.06143042
904904155292755,19206,7,7174,android.youtube,5369,0.062309652
904904155359975,74951,7,7174,android.youtube,5369,0.062376872
904904155574046,307291,7,7174,android.youtube,5369,0.062590943
904904156407460,7246135,7,7174,android.youtube,5369,0.063424357
904904163841176,4351278,7,7174,android.youtube,5369,0.070858073
904904168738678,4412353,7,7174,android.youtube,5369,0.075755575
904904173151031,78247,7,7189,Profile Saver,5384,0.080167928
904904173229278,626709,7,7174,android.youtube,5369,0.080246175
904904173926219,98714,7,7174,android.youtube,5369,0.080943116
904904174074982,54077,7,7174,android.youtube,5369,0.081091879
904904174238474,155355,7,7174,android.youtube,5369,0.081255371
904904174433665,20996,7,7174,android.youtube,5369,0.081450562
904904174484894,111491,7,7174,android.youtube,5369,0.081501791
904904174706370,107056,7,7174,android.youtube,5369,0.081723267
904904174921824,17431030,7,7174,android.youtube,5369,0.081938721
904904192559194,589762,7,7174,android.youtube,5369,0.099576091
904904193252350,289184,7,7174,android.youtube,5369,0.100269247
904904193995839,1418539,7,7174,android.youtube,5369,0.101012736
904904195501902,1581828,7,7174,android.youtube,5369,0.102518799
904904197042999,90576,5,7196,BG Thread #0,5392,0.104059896
904904197083730,40975,7,7195,Blocking Thread,5390,0.104100627
904904197151316,151693,7,7196,BG Thread #0,5392,0.104168213
904904197180206,135783,5,7195,Blocking Thread,5390,0.104197103
904904197193186,132650,4,7174,android.youtube,5369,0.104210083
904904197347158,279459,5,7174,android.youtube,5369,0.104364055
904904197425974,215373,6,7196,BG Thread #0,5392,0.104442871
904904197561310,49479,7,7197,Scheduler Threa,5393,0.104578207
904904197638906,3357503,7,7174,android.youtube,5369,0.104655803
904904199935170,67546,5,7199,Primes-nativecr,5395,0.106952067
904904199970774,36255,3,7198,anrV34-1,5394,0.106987671
904904200027049,151774,5,7198,anrV34-1,5394,0.107043946
904904200043447,213135,6,7199,Primes-nativecr,5395,0.107060344
904904200332794,483480,6,7199,Primes-nativecr,5395,0.107349691
904904200438100,102336,4,7201,yt-critical Thr,5397,0.107454997
904904200540436,61727,4,7202,yt-critical Thr,5398,0.107557333
904904200602163,111124,4,7203,yt-critical Thr,5399,0.10761906
904904200713287,130941,4,7202,yt-critical Thr,5398,0.107730184
904904200816274,33040,6,7204,SharedPreferenc,5400,0.107833171
904904200849314,16032,6,7200,yt-critical Thr,5396,0.107866211
904904200850209,39592,1,7199,Primes-nativecr,5395,0.107867106
904904200885854,63273,6,7204,SharedPreferenc,5400,0.107902751
904904200913686,83903,1,7199,Primes-nativecr,5395,0.107930583
904904200934641,110718,4,7196,BG Thread #0,5392,0.107951538
904904201017242,892701,7,7174,android.youtube,5369,0.108034139
904904201027618,134481,1,7199,Primes-nativecr,5395,0.108044515
904904201029978,117432,6,7204,SharedPreferenc,5400,0.108046875
904904201045359,820313,4,7203,yt-critical Thr,5399,0.108062256
904904201243439,146443,3,7199,Primes-nativecr,5395,0.108260336
904904201413930,120361,5,7199,Primes-nativecr,5395,0.108430827
904904201577626,720907,5,7199,Primes-nativecr,5395,0.108594523
904904201865672,45735,4,7200,yt-critical Thr,5396,0.108882569
904904201930084,58512,7,7201,yt-critical Thr,5397,0.108946981
904904201933258,161255,4,7200,yt-critical Thr,5396,0.108950155
904904202094513,165934,4,7202,yt-critical Thr,5398,0.10911141
904904202223094,337687,3,7203,yt-critical Thr,5399,0.109239991
904904202260447,33488,4,7205,yt-critical Thr,5401,0.109277344
904904202281443,81258,7,7202,yt-critical Thr,5398,0.10929834
904904202308990,15341,4,7205,yt-critical Thr,5401,0.109325887
904904202325388,104981,5,7199,Primes-nativecr,5395,0.109342285
904904202345530,253906,4,7205,yt-critical Thr,5401,0.109362427
904904202454539,255981,5,7199,Primes-nativecr,5395,0.109471436
904904202630442,64291,4,7204,SharedPreferenc,5400,0.109647339
904904202663930,22827,7,7174,android.youtube,5369,0.109680827
904904202699249,58716,7,7174,android.youtube,5369,0.109716146
904904202728180,247965,3,7206,yt-critical Thr,5402,0.109745077
904904202764720,8504,5,7199,Primes-nativecr,5395,0.109781617
904904202794220,35278,5,7199,Primes-nativecr,5395,0.109811117
904904202892731,32470,4,7204,SharedPreferenc,5400,0.109909628
904904202911082,399699,5,7199,Primes-nativecr,5395,0.109927979
904904202918243,126791,6,7201,yt-critical Thr,5397,0.10993514
