timestamp_ns,frequency,cpu,time_relative_s
904823904204662,2802000.0,7,-0.090465455
904823924212882,2914000.0,7,-0.070457235
904823928502514,2147000.0,7,-0.066167603
904823929830598,2600000.0,4,-0.064839519
904823929832633,2600000.0,5,-0.064837484
904823929834057,2600000.0,6,-0.06483606
904823930572175,2450000.0,4,-0.064097942
904823930573966,2450000.0,5,-0.064096151
904823930575512,2450000.0,6,-0.064094605
904823936251253,2600000.0,4,-0.058418864
904823936252840,2600000.0,5,-0.058417277
904823936254386,2600000.0,6,-0.058415731
904823937162467,700000.0,7,-0.05750765
904823940197379,2294000.0,7,-0.054472738
904823944595776,357000.0,4,-0.050074341
904823944597403,357000.0,5,-0.050072714
904823944599601,357000.0,6,-0.050070516
904823950867341,2363000.0,7,-0.043802776
904823951451000,2147000.0,7,-0.043219117
904823956046500,2245000.0,4,-0.038623617
904823956048941,2245000.0,5,-0.038621176
904823956051301,2245000.0,6,-0.038618816
904823956421459,2367000.0,4,-0.038248658
904823956423819,2367000.0,5,-0.038246298
904823956425935,2367000.0,6,-0.038244182
904823959093416,820000.0,0,-0.035576701
904823959093416,820000.0,1,-0.035576701
904823959093416,820000.0,2,-0.035576701
904823959093416,820000.0,3,-0.035576701
904823959093416,2367000.0,4,-0.035576701
904823959093416,2367000.0,5,-0.035576701
904823959093416,2367000.0,6,-0.035576701
904823959093416,2147000.0,7,-0.035576701
904823964289339,2450000.0,4,-0.030380778
904823964291007,2450000.0,5,-0.03037911
904823964292553,2450000.0,6,-0.030377564
904823972241568,2600000.0,4,-0.022428549
904823972244050,2600000.0,5,-0.022426067
904823972245963,2600000.0,6,-0.022424154
904823976235872,2450000.0,4,-0.018434245
904823976238028,2450000.0,5,-0.018432089
904823976240226,2450000.0,6,-0.018429891
904823976884350,700000.0,7,-0.017785767
904823980263216,2600000.0,4,-0.014406901
904823980265413,2600000.0,5,-0.014404704
904823980267569,2600000.0,6,-0.014402548
904823984316479,357000.0,4,-0.010353638
904823984318635,357000.0,5,-0.010351482
904823984320711,357000.0,6,-0.010349406
904823984809317,2294000.0,7,-0.0098608
904823985283032,910000.0,4,-0.009387085
904823985284537,910000.0,5,-0.00938558
904823985286043,910000.0,6,-0.009384074
904823986854483,357000.0,4,-0.007815634
904823986856681,357000.0,5,-0.007813436
904823986858837,357000.0,6,-0.00781128
904823988255566,2600000.0,4,-0.006414551
904823988257844,2600000.0,5,-0.006412273
904823988260042,2600000.0,6,-0.006410075
904823998009391,700000.0,7,0.003339274
904824003204378,2499000.0,7,0.008534261
904824006007885,1950000.0,0,0.011337768
904824006009920,1950000.0,1,0.011339803
904824006011507,1950000.0,2,0.01134139
904824006013134,1950000.0,3,0.011343017
904824006243522,2245000.0,4,0.011573405
904824006245108,2245000.0,5,0.011574991
904824006246736,2245000.0,6,0.011576619
904824006788484,2600000.0,4,0.012118367
904824006789339,2600000.0,5,0.012119222
904824006790071,2600000.0,6,0.012119954
904824023385286,910000.0,4,0.028715169
904824023386181,910000.0,5,0.028716064
904824023386913,910000.0,6,0.028716796
904824023914298,2600000.0,4,0.029244181
904824023915356,2600000.0,5,0.029245239
904824023916332,2600000.0,6,0.029246215
904824039233471,1328000.0,4,0.044563354
904824039233797,1328000.0,5,0.04456368
904824039234122,1328000.0,6,0.044564005
904824039759187,2600000.0,4,0.04508907
904824039759676,2600000.0,5,0.045089559
904824039760042,2600000.0,6,0.045089925
904824048178417,1849000.0,0,0.0535083
904824048179109,1849000.0,1,0.053508992
904824048179760,1849000.0,2,0.053509643
904824048180452,1849000.0,3,0.053510335
904824048210766,2687000.0,7,0.053540649
904824052192049,1328000.0,4,0.057521932
904824052192781,1328000.0,5,0.057522664
904824052193554,1328000.0,6,0.057523437
904824052200471,2802000.0,7,0.057530354
904824053556510,2245000.0,4,0.058886393
904824053556876,2245000.0,5,0.058886759
904824053557202,2245000.0,6,0.058887085
904824054240510,2914000.0,7,0.059570393
904824054396598,2600000.0,4,0.059726481
904824054397371,2600000.0,5,0.059727254
904824054398063,2600000.0,6,0.059727946
904824058214794,1950000.0,0,0.063544677
904824058215486,1950000.0,1,0.063545369
904824058216137,1950000.0,2,0.06354602
904824058216829,1950000.0,3,0.063546712
904824064197542,1221000.0,4,0.069527425
904824064198233,1221000.0,5,0.069528116
904824064199047,1221000.0,6,0.06952893
904824064213777,3105000.0,7,0.06954366
904824068187084,1098000.0,0,0.073516967
904824068187735,1098000.0,1,0.073517618
904824068188386,1098000.0,2,0.073518269
904824068188997,1098000.0,3,0.07351888
904824070878491,2245000.0,4,0.076208374
904824070879711,2245000.0,5,0.076209594
904824070881013,2245000.0,6,0.076210896
904824071381054,2600000.0,4,0.076710937
904824071382153,2600000.0,5,0.076712036
904824071383251,2600000.0,6,0.076713134
904824078252880,1950000.0,0,0.083582763
904824078254264,1950000.0,1,0.083584147
904824078256787,1950000.0,2,0.08358667
904824078258048,1950000.0,3,0.083587931
904824081810213,1221000.0,4,0.087140096
904824081811230,1221000.0,5,0.087141113
904824081812573,1221000.0,6,0.087142456
904824082371533,2600000.0,4,0.087701416
904824082372468,2600000.0,5,0.087702351
904824082373364,2600000.0,6,0.087703247
904824088216585,1197000.0,0,0.093546468
904824088217439,1197000.0,1,0.093547322
904824088218090,1197000.0,2,0.093547973
904824088218741,1197000.0,3,0.093548624
904824090789013,1065000.0,4,0.096118896
904824090790437,1065000.0,5,0.09612032
904824090791536,1065000.0,6,0.096121419
904824093238273,2245000.0,4,0.098568156
904824093240348,2245000.0,5,0.098570231
904824093241487,2245000.0,6,0.09857137
904824098582185,1098000.0,0,0.103912068
904824098583284,1098000.0,1,0.103913167
904824098584342,1098000.0,2,0.103914225
904824098585400,1098000.0,3,0.103915283
904824101235017,2600000.0,4,0.1065649
904824101236279,2600000.0,5,0.106566162
904824101237418,2600000.0,6,0.106567301
904824111560823,1328000.0,4,0.116890706
904824111561230,1328000.0,5,0.116891113
904824111561433,1328000.0,6,0.116891316
904824112283520,2245000.0,4,0.117613403
904824112284822,2245000.0,5,0.117614705
904824112286002,2245000.0,6,0.117615885
904824113201367,2600000.0,4,0.11853125
904824113202506,2600000.0,5,0.118532389
904824113203645,2600000.0,6,0.118533528
904824119130973,1950000.0,0,0.124460856
904824119132438,1950000.0,1,0.124462321
904824119133577,1950000.0,2,0.12446346
904824119134716,1950000.0,3,0.124464599
904824130714754,2245000.0,4,0.136044637
904824130716259,2245000.0,5,0.136046142
904824130717276,2245000.0,6,0.136047159
904824133522208,2600000.0,4,0.138852091
904824133522900,2600000.0,5,0.138852783
