timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
904824021472363,1706380,4,7120,android.youtube,682,0.026802246
904824023246858,11027,4,7120,android.youtube,682,0.028576741
904824023290152,19857,4,7120,android.youtube,682,0.028620035
904824025076326,15950,6,7120,android.youtube,682,0.030406209
904824025717032,2576701,6,7120,android.youtube,682,0.031046915
904824028413606,2104981,6,7120,android.youtube,682,0.033743489
904824030532747,105469,6,7120,android.youtube,682,0.03586263
904824030653434,2976847,4,7120,android.youtube,682,0.035983317
904824033679313,1408447,4,7120,android.youtube,682,0.039009196
904824035098583,2804932,4,7120,android.youtube,682,0.040428466
904824037920849,435221,7,7120,android.youtube,682,0.043250732
904824038401562,296509,7,7120,android.youtube,682,0.043731445
904824038775056,373536,7,7120,android.youtube,682,0.044104939
904824039185904,394491,7,7120,android.youtube,682,0.044515787
904824039580395,142700,7,7122,Signal Catcher,684,0.044910278
904824039715364,72062,6,7120,android.youtube,682,0.045045247
904824039810742,325398,4,7120,android.youtube,682,0.045140625
904824040167146,1698690,7,7120,android.youtube,682,0.045497029
904824041865836,18433,7,7123,perfetto_hprof_,685,0.047195719
904824041884269,10335,7,7120,android.youtube,682,0.047214152
904824041894604,90169,7,7123,perfetto_hprof_,685,0.047224487
904824041984773,7085449,7,7120,android.youtube,682,0.047314656
904824049047924,168620,6,7124,Jit thread pool,686,0.054377807
904824049084993,10946,7,7120,android.youtube,682,0.054414876
904824049103385,11230,7,7120,android.youtube,682,0.054433268
904824049122875,33204,7,7120,android.youtube,682,0.054452758
904824049163891,3112915,7,7120,android.youtube,682,0.054493774
904824052192578,13427,6,7124,Jit thread pool,686,0.057522461
904824052261791,88420,6,7125,HeapTaskDaemon,687,0.057591674
904824052286979,33772,7,7120,android.youtube,682,0.057616862
904824052307283,43945,4,7126,ReferenceQueueD,688,0.057637166
904824052339957,47892,7,7120,android.youtube,682,0.05766984
904824052364208,31698,6,7125,HeapTaskDaemon,687,0.057694091
904824052376009,94401,4,7127,FinalizerDaemon,689,0.057705892
904824052397086,13509,5,7126,ReferenceQueueD,688,0.057726969
904824052431876,36458,5,7126,ReferenceQueueD,688,0.057761759
904824052461092,85937,6,7125,HeapTaskDaemon,687,0.057790975
904824052489290,101725,4,7126,ReferenceQueueD,688,0.057819173
904824052507478,21851,7,7120,android.youtube,682,0.057837361
904824052513216,4842,5,7127,FinalizerDaemon,689,0.057843099
904824052528474,3785,5,7127,FinalizerDaemon,689,0.057858357
904824052552319,116170,5,7127,FinalizerDaemon,689,0.057882202
904824052575512,1014120,7,7120,android.youtube,682,0.057905395
904824052594840,22339,6,7128,FinalizerWatchd,690,0.057924723
904824052613679,100790,4,7126,ReferenceQueueD,688,0.057943562
904824052630566,143392,6,7128,FinalizerWatchd,690,0.057960449
904824052683829,78736,5,7127,FinalizerDaemon,689,0.058013712
904824053689037,355062,7,7120,android.youtube,682,0.05901892
904824053702425,202351,6,7129,binder:682_1,691,0.059032308
904824053899283,170004,4,7130,binder:682_2,692,0.059229166
904824054354728,128784,7,7120,android.youtube,682,0.059684611
904824054504630,320557,7,7120,android.youtube,682,0.059834513
904824054880200,181030,6,7120,android.youtube,682,0.060210083
904824055157421,136882,6,7120,android.youtube,682,0.060487304
904824056035066,13631,5,7120,android.youtube,682,0.061364949
904824056671215,741496,4,7130,binder:682_2,692,0.062001098
904824057392203,105103,7,7129,binder:682_1,691,0.062722086
904824057497306,86832,7,7131,binder:682_3,695,0.062827189
904824058750032,1263875,7,7120,android.youtube,682,0.064079915
904824058970816,57496,2,7131,binder:682_3,695,0.064300699
904824059051790,156046,6,7131,binder:682_3,695,0.064381673
904824060029451,183024,7,7120,android.youtube,682,0.065359334
904824060212475,8626,7,7130,binder:682_2,692,0.065542358
904824060282665,23275,7,7120,android.youtube,682,0.065612548
904824060351798,76864,7,7120,android.youtube,682,0.065681681
904824060730704,308635,7,7120,android.youtube,682,0.066060587
904824061107901,606283,7,7120,android.youtube,682,0.066437784
904824061722648,5452,7,7120,android.youtube,682,0.067052531
904824062735424,248820,7,7120,android.youtube,682,0.068065307
904824063182568,604695,7,7120,android.youtube,682,0.068512451
904824063962312,68197,7,7120,android.youtube,682,0.069292195
904824064185864,3984904,7,7120,android.youtube,682,0.069515747
904824068176383,6085205,7,7120,android.youtube,682,0.073506266
904824074280916,6307,7,7120,android.youtube,682,0.079610799
904824074434562,13753,7,7120,android.youtube,682,0.079764445
904824074455232,2075,7,7120,android.youtube,682,0.079785115
904824074527905,11149,7,7120,android.youtube,682,0.079857788
904824074544669,3052,7,7120,android.youtube,682,0.079874552
904824074615917,8464,7,7120,android.youtube,682,0.0799458
904824074630200,1790,7,7120,android.youtube,682,0.079960083
904824074699658,8300,7,7120,android.youtube,682,0.080029541
904824074713696,1749,7,7120,android.youtube,682,0.080043579
904824074810131,8382,7,7120,android.youtube,682,0.080140014
904824074823844,1831,7,7120,android.youtube,682,0.080153727
904824074911450,7568,7,7120,android.youtube,682,0.080241333
904824074924430,1749,7,7120,android.youtube,682,0.080254313
904824074994986,8708,7,7120,android.youtube,682,0.080324869
904824075009431,1791,7,7120,android.youtube,682,0.080339314
904824075078889,7772,7,7120,android.youtube,682,0.080408772
904824075092439,1913,7,7120,android.youtube,682,0.080422322
904824075162630,58593,7,7120,android.youtube,682,0.080492513
904824075226757,1831,7,7120,android.youtube,682,0.08055664
904824075298616,18270,7,7120,android.youtube,682,0.080628499
904824075322298,1749,7,7120,android.youtube,682,0.080652181
904824075392407,8463,7,7120,android.youtube,682,0.08072229
904824075407014,1750,7,7120,android.youtube,682,0.080736897
904824075477083,9521,7,7120,android.youtube,682,0.080806966
904824075492545,1790,7,7120,android.youtube,682,0.080822428
904824075562491,10091,7,7120,android.youtube,682,0.080892374
904824075577669,1871,7,7120,android.youtube,682,0.080907552
904824075645499,9318,7,7120,android.youtube,682,0.080975382
904824075660514,1790,7,7120,android.youtube,682,0.080990397
904824075730867,7772,7,7120,android.youtube,682,0.08106075
904824075744417,1749,7,7120,android.youtube,682,0.0810743
904824075812980,11352,7,7120,android.youtube,682,0.081142863
904824075828767,1709,7,7120,android.youtube,682,0.08115865
904824075901236,10946,7,7120,android.youtube,682,0.081231119
