time_100ms,cpu,cpu_util,time_relative_s
9048236,0,0.00727417,-0.394670117
9048236,1,0.00388713,-0.394670117
9048236,2,0.14944742,-0.394670117
9048236,3,0.01192505,-0.394670117
9048236,4,0.55733886,-0.394670117
9048236,5,0.01607097,-0.394670117
9048236,6,0.00445516,-0.394670117
9048236,7,0.00506755,-0.394670117
9048237,0,0.05255373,-0.294670117
9048237,1,0.15939782,-0.294670117
9048237,2,0.19624227,-0.294670117
9048237,3,0.10564902,-0.294670117
9048237,4,0.04552084,-0.294670117
9048237,5,0.01012574,-0.294670117
9048237,6,1.29302613,-0.294670117
9048237,7,0.00264161,-0.294670117
9048238,0,0.13378991,-0.194670117
9048238,1,0.07063599,-0.194670117
9048238,2,0.14050658,-0.194670117
9048238,3,0.06155193,-0.194670117
9048238,6,0.00035319,-0.194670117
9048238,7,0.76637939,-0.194670117
9048239,0,0.18792275,-0.094670117
9048239,1,0.20502482,-0.094670117
9048239,2,0.12874064,-0.094670117
9048239,3,0.29651206,-0.094670117
9048239,4,0.45159056,-0.094670117
9048239,5,0.12094771,-0.094670117
9048239,6,0.14144897,-0.094670117
9048239,7,0.17400637,-0.094670117
9048240,0,0.34403642,0.005329883
9048240,1,0.35101644,0.005329883
9048240,2,0.29893549,0.005329883
9048240,3,0.39944258,0.005329883
9048240,4,0.43533897,0.005329883
9048240,5,0.45743533,0.005329883
9048240,6,0.3623783,0.005329883
9048240,7,0.79906818,0.005329883
9048241,0,0.81037273,0.105329883
9048241,1,0.90118368,0.105329883
9048241,2,0.84889366,0.105329883
9048241,3,0.77801674,0.105329883
9048241,4,0.90596432,0.105329883
9048241,5,0.84922686,0.105329883
9048241,6,0.84371821,0.105329883
9048241,7,0.83519685,0.105329883
9048242,0,0.56202595,0.205329883
9048242,1,0.53907231,0.205329883
9048242,2,0.53972044,0.205329883
9048242,3,0.45572108,0.205329883
9048242,4,0.86565017,0.205329883
9048242,5,0.86227745,0.205329883
9048242,6,0.60775023,0.205329883
9048242,7,0.83107787,0.205329883
9048243,0,0.94577879,0.305329883
9048243,1,0.82514361,0.305329883
9048243,2,0.89237787,0.305329883
9048243,3,0.84667318,0.305329883
9048243,4,0.90122359,0.305329883
9048243,5,0.89629556,0.305329883
9048243,6,0.8598258,0.305329883
9048243,7,0.58741904,0.305329883
9048244,0,0.53743448,0.405329883
9048244,1,0.59458696,0.405329883
9048244,2,0.54421467,0.405329883
9048244,3,0.78532476,0.405329883
9048244,4,0.78244266,0.405329883
9048244,5,0.81617391,0.405329883
9048244,6,0.94019248,0.405329883
9048244,7,0.40991379,0.405329883
9048245,0,0.33333826,0.505329883
9048245,1,0.26731651,0.505329883
9048245,2,0.27471225,0.505329883
9048245,3,0.31451127,0.505329883
9048245,4,1.04095135,0.505329883
9048245,5,0.65196615,0.505329883
9048245,6,0.54224611,0.505329883
9048245,7,0.15752726,0.505329883
9048246,0,0.14697221,0.605329883
9048246,1,0.31232669,0.605329883
9048246,2,0.17111291,0.605329883
9048246,3,0.24179729,0.605329883
9048246,4,0.22584595,0.605329883
9048246,5,0.26439658,0.605329883
9048246,6,0.06221151,0.605329883
9048246,7,0.04364461,0.605329883
