time_100ms,cpu,cpu_util,time_relative_s
9051102,0,0.00098552,-0.606123626
9051102,2,0.00172363,-0.606123626
9051102,3,0.00527954,-0.606123626
9051103,0,0.05191897,-0.506123626
9051103,1,0.08045773,-0.506123626
9051103,2,0.07629559,-0.506123626
9051103,3,0.02216919,-0.506123626
9051104,0,0.03984378,-0.406123626
9051104,1,0.00793254,-0.406123626
9051104,2,0.01481813,-0.406123626
9051104,3,0.02482908,-0.406123626
9051105,0,0.12515299,-0.306123626
9051105,1,0.07036255,-0.306123626
9051105,2,0.0995984,-0.306123626
9051105,3,0.137972,-0.306123626
9051105,4,0.00053549,-0.306123626
9051105,6,0.00054239,-0.306123626
9051106,0,0.04395589,-0.206123626
9051106,1,0.04765992,-0.206123626
9051106,2,0.07631349,-0.206123626
9051106,3,0.03006755,-0.206123626
9051106,4,0.00760785,-0.206123626
9051106,5,0.12954547,-0.206123626
9051106,6,0.70268635,-0.206123626
9051106,7,0.00436767,-0.206123626
9051107,0,0.21000692,-0.106123626
9051107,1,0.15460126,-0.106123626
9051107,2,0.08789587,-0.106123626
9051107,3,0.10085164,-0.106123626
9051107,4,0.01895019,-0.106123626
9051107,5,0.02717776,-0.106123626
9051107,6,0.01832273,-0.106123626
9051107,7,0.90627278,-0.106123626
9051108,0,0.36398638,-0.006123626
9051108,1,0.5110966,-0.006123626
9051108,2,0.44631792,-0.006123626
9051108,3,0.57529902,-0.006123626
9051108,4,0.51746944,-0.006123626
9051108,5,0.44755537,-0.006123626
9051108,6,0.41695796,-0.006123626
9051108,7,0.61257087,-0.006123626
9051109,0,0.43210251,0.093876374
9051109,1,0.46072262,0.093876374
9051109,2,0.41295573,0.093876374
9051109,3,0.38155569,0.093876374
9051109,4,0.51462241,0.093876374
9051109,5,0.56120323,0.093876374
9051109,6,0.53758956,0.093876374
9051109,7,0.97196249,0.093876374
9051110,0,0.8930514,0.193876374
9051110,1,0.83943767,0.193876374
9051110,2,0.90918135,0.193876374
9051110,3,0.86777906,0.193876374
9051110,4,0.95466112,0.193876374
9051110,5,0.9536979,0.193876374
9051110,6,0.96143755,0.193876374
9051110,7,0.90416865,0.193876374
9051111,0,0.96818519,0.293876374
9051111,1,1.003951,0.293876374
9051111,2,0.96336222,0.293876374
9051111,3,0.97911945,0.293876374
9051111,4,1.01043091,0.293876374
9051111,5,0.99848471,0.293876374
9051111,6,0.98009603,0.293876374
9051111,7,0.95902589,0.293876374
9051112,0,1.10009644,0.393876374
9051112,1,1.04368165,0.393876374
9051112,2,1.03876139,0.393876374
9051112,3,0.99546266,0.393876374
9051112,4,0.96338339,0.393876374
9051112,5,0.94246908,0.393876374
9051112,6,0.91921594,0.393876374
9051112,7,0.92474849,0.393876374
9051113,0,0.47838828,0.493876374
9051113,1,0.61058505,0.493876374
9051113,2,0.49335285,0.493876374
9051113,3,0.65822629,0.493876374
9051113,4,0.75270996,0.493876374
9051113,5,0.85548669,0.493876374
9051113,6,0.74868649,0.493876374
9051113,7,0.93225956,0.493876374
9051114,0,0.2058948,0.593876374
9051114,1,0.24379924,0.593876374
9051114,2,0.23948772,0.593876374
9051114,3,0.21280403,0.593876374
9051114,4,0.29964765,0.593876374
9051114,5,0.31037229,0.593876374
9051114,6,0.23923223,0.593876374
9051114,7,0.22930499,0.593876374
9051115,0,0.0769421,0.693876374
9051115,1,0.23513997,0.693876374
9051115,2,0.10736082,0.693876374
9051115,3,0.19187339,0.693876374
9051115,4,0.07462813,0.693876374
9051115,5,0.05745404,0.693876374
9051115,6,0.05101528,0.693876374
9051115,7,0.08902874,0.693876374
9051116,0,0.28367967,0.793876374
9051116,1,0.29818318,0.793876374
9051116,2,0.18963858,0.793876374
9051116,3,0.26631718,0.793876374
9051116,4,0.32288092,0.793876374
9051116,5,0.30111892,0.793876374
9051116,6,0.42318361,0.793876374
9051116,7,0.5172762,0.793876374
9051117,0,0.15898399,0.893876374
9051117,1,0.33105959,0.893876374
9051117,2,0.19910314,0.893876374
9051117,3,0.24996176,0.893876374
9051117,4,0.07880611,0.893876374
9051117,5,0.10477211,0.893876374
9051117,6,0.1261515,0.893876374
9051117,7,0.02868774,0.893876374
9051118,0,0.07744509,0.993876374
9051118,1,0.19638388,0.993876374
9051118,2,0.12547326,0.993876374
9051118,3,0.16522904,0.993876374
9051118,4,0.01964844,0.993876374
9051118,5,0.06562053,0.993876374
9051118,6,0.06598753,0.993876374
9051118,7,0.00081583,0.993876374
