timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
905151304163278,1807495,4,7180,com.xingin.xhs,18506,0.027771525
905151306066517,29012,5,7180,com.xingin.xhs,18506,0.029674764
905151306147002,2929,5,7180,com.xingin.xhs,18506,0.029755249
905151306167265,8016,6,7180,com.xingin.xhs,18506,0.029775512
905151306190784,3093,6,7180,com.xingin.xhs,18506,0.029799031
905151306625761,9603,6,7180,com.xingin.xhs,18506,0.030234008
905151306783639,1391113,6,7180,com.xingin.xhs,18506,0.030391886
905151308202706,3613973,4,7180,com.xingin.xhs,18506,0.031810953
905151311850778,2033935,4,7180,com.xingin.xhs,18506,0.035459025
905151313952828,2212850,6,7180,com.xingin.xhs,18506,0.037561075
905151316185372,4397705,4,7180,com.xingin.xhs,18506,0.039793619
905151320720610,100464,4,7180,com.xingin.xhs,18506,0.044328857
905151320840320,185140,7,7181,Signal Catcher,18507,0.044448567
905151321025460,210450,7,7180,com.xingin.xhs,18506,0.044633707
905151321299142,1199097,7,7180,com.xingin.xhs,18506,0.044907389
905151322666980,5316285,7,7180,com.xingin.xhs,18506,0.046275227
905151328044707,331665,7,7180,com.xingin.xhs,18506,0.051652954
905151328742135,197917,7,7180,com.xingin.xhs,18506,0.052350382
905151329215076,215658,7,7180,com.xingin.xhs,18506,0.052823323
905151329532133,216268,7,7180,com.xingin.xhs,18506,0.05314038
905151329768421,165609,7,7180,com.xingin.xhs,18506,0.053376668
905151329988961,234497,7,7180,com.xingin.xhs,18506,0.053597208
905151330627267,98022,7,7180,com.xingin.xhs,18506,0.054235514
905151330763457,14892,7,7180,com.xingin.xhs,18506,0.054371704
905151330797311,15055,7,7180,com.xingin.xhs,18506,0.054405558
905151330832386,140299,7,7180,com.xingin.xhs,18506,0.054440633
905151330987741,44026,7,7180,com.xingin.xhs,18506,0.054595988
905151331044259,1635010,7,7180,com.xingin.xhs,18506,0.054652506
905151332849679,1309001,7,7180,com.xingin.xhs,18506,0.056457926
905151334092802,94198,4,7183,HeapTaskDaemon,18509,0.057701049
905151334135812,50252,6,7184,ReferenceQueueD,18510,0.057744059
905151334158680,21037,7,7182,Jit thread pool,18508,0.057766927
905151334178252,123372,5,7180,com.xingin.xhs,18506,0.057786499
905151334201933,74545,6,7184,ReferenceQueueD,18510,0.05781018
905151334221139,26123,4,7183,HeapTaskDaemon,18509,0.057829386
905151334232736,37435,7,7185,FinalizerDaemon,18513,0.057840983
905151334256784,26611,0,7182,Jit thread pool,18508,0.057865031
905151334307239,455038,6,7182,Jit thread pool,18508,0.057915486
905151334317005,69377,4,7183,HeapTaskDaemon,18509,0.057925252
905151334355538,6389,5,7184,ReferenceQueueD,18510,0.057963785
905151334719023,93303,7,7185,FinalizerDaemon,18513,0.05832727
905151334738839,2790324,5,7180,com.xingin.xhs,18506,0.058347086
905151334755237,26490,4,7184,ReferenceQueueD,18510,0.058363484
905151334789376,66529,4,7184,ReferenceQueueD,18510,0.058397623
905151334828886,95134,6,7186,FinalizerWatchd,18515,0.058437133
905151334831328,21484,7,7185,FinalizerDaemon,18513,0.058439575
905151336370757,199300,4,7188,binder:18506_1,18517,0.059979004
905151336564848,110433,6,7189,binder:18506_2,18518,0.060173095
905151337579782,152343,5,7180,com.xingin.xhs,18506,0.061188029
905151337827096,130697,5,7180,com.xingin.xhs,18506,0.061435343
905151339251779,906616,6,7189,binder:18506_2,18518,0.062860026
905151339302967,16642,0,7180,com.xingin.xhs,18506,0.062911214
905151340094878,1523112,7,7180,com.xingin.xhs,18506,0.063703125
905151340321684,17294,2,7188,binder:18506_1,18517,0.063929931
905151341617990,73608,7,7191,binder:18506_3,18520,0.065226237
905151341691598,22013,7,7180,com.xingin.xhs,18506,0.065299845
905151341713611,16927,7,7191,binder:18506_3,18520,0.065321858
905151341762358,77433,7,7180,com.xingin.xhs,18506,0.065370605
905151342022042,309204,7,7180,com.xingin.xhs,18506,0.065630289
905151342375639,7266887,7,7180,com.xingin.xhs,18506,0.065983886
905151349672189,13823283,7,7180,com.xingin.xhs,18506,0.073280436
905151363514271,16442138,7,7180,com.xingin.xhs,18506,0.087122518
905151379976592,3046549,7,7180,com.xingin.xhs,18506,0.103584839
905151380579049,152629,6,7198,Profile Saver,18542,0.104187296
905151383161894,659912,7,7180,com.xingin.xhs,18506,0.106770141
905151383908924,111125,7,7180,com.xingin.xhs,18506,0.107517171
905151384253691,64901,7,7180,com.xingin.xhs,18506,0.107861938
905151384473296,193725,7,7180,com.xingin.xhs,18506,0.108081543
905151384801787,66732,3,7180,com.xingin.xhs,18506,0.108410034
905151384881458,10051,7,7180,com.xingin.xhs,18506,0.108489705
905151384956287,136963,7,7180,com.xingin.xhs,18506,0.108564534
905151385350127,79386,7,7180,com.xingin.xhs,18506,0.108958374
905151385544178,60913,7,7180,com.xingin.xhs,18506,0.109152425
905151385730335,530802,7,7180,com.xingin.xhs,18506,0.109338582
905151386302479,222208,7,7180,com.xingin.xhs,18506,0.109910726
905151386594105,1561442,7,7180,com.xingin.xhs,18506,0.110202352
905151386978341,199667,6,7199,SharedPreferenc,18543,0.110586588
905151387192453,118245,6,7199,SharedPreferenc,18543,0.1108007
905151387319609,189779,6,7199,SharedPreferenc,18543,0.110927856
905151387534900,5209,6,7199,SharedPreferenc,18543,0.111143147
905151388162627,784342,7,7180,com.xingin.xhs,18506,0.111770874
905151388916574,57291,6,7199,SharedPreferenc,18543,0.112524821
905151388966541,56519,7,7180,com.xingin.xhs,18506,0.112574788
905151388983753,191935,6,7199,SharedPreferenc,18543,0.112592
905151389165475,770182,7,7180,com.xingin.xhs,18506,0.112773722
905151390511178,1684001,7,7180,com.xingin.xhs,18506,0.114119425
905151392195179,191406,7,7202,Thread-2,18546,0.115803426
905151392369495,214966,4,7199,SharedPreferenc,18543,0.115977742
905151392568266,32064,7,7180,com.xingin.xhs,18506,0.116176513
905151392606637,134806,2,7199,SharedPreferenc,18543,0.116214884
905151392766264,153036,3,7199,SharedPreferenc,18543,0.116374511
905151392896229,944580,7,7180,com.xingin.xhs,18506,0.116504476
905151393618803,2735149,6,7199,SharedPreferenc,18543,0.11722705
905151393840809,61035,7,7203,internal_handle,18547,0.117449056
905151393901844,44555,7,7180,com.xingin.xhs,18506,0.117510091
905151393946399,17945,7,7203,internal_handle,18547,0.117554646
905151393955636,15340,5,7204,common_handlert,18548,0.117563883
905151393983956,38982,7,7204,common_handlert,18548,0.117592203
905151394022938,1430338,7,7180,com.xingin.xhs,18506,0.117631185
905151394688831,59164,2,7204,common_handlert,18548,0.118297078
905151396367501,136109,6,7199,SharedPreferenc,18543,0.119975748
905151396503610,1311686,6,7180,com.xingin.xhs,18506,0.120111857
905151397833403,353475,7,7180,com.xingin.xhs,18506,0.12144165
905151398398467,171508,7,7180,com.xingin.xhs,18506,0.122006714
905151399388579,101725,7,7180,com.xingin.xhs,18506,0.122996826
905151399586455,15381,7,7180,com.xingin.xhs,18506,0.123194702
905151399938912,160035,7,7180,com.xingin.xhs,18506,0.123547159
905151400199451,94605,7,7180,com.xingin.xhs,18506,0.123807698
905151400370960,48014,7,7180,com.xingin.xhs,18506,0.123979207
905151400460478,18840,7,7180,com.xingin.xhs,18506,0.124068725
905151400515613,22543,7,7180,com.xingin.xhs,18506,0.12412386
905151400576811,24984,7,7180,com.xingin.xhs,18506,0.124185058
905151400632516,4050090,7,7180,com.xingin.xhs,18506,0.124240763
905151403862171,170695,1,7206,com.xingin.xhs,18550,0.127470418
905151404775501,364380,7,7180,com.xingin.xhs,18506,0.128383748
905151405050485,156860,4,7208,sentry_trace_dp,18552,0.128658732
905151405139881,72143,7,7207,sentry_crash_cb,18551,0.128748128
905151405172799,16113,5,7180,com.xingin.xhs,18506,0.128781046
905151405199492,16439,5,7180,com.xingin.xhs,18506,0.128807739
905151405230213,1079630,7,7180,com.xingin.xhs,18506,0.12883846
905151405295968,564046,6,7209,SentryThreadPoo,18553,0.128904215
905151405876087,1610514,6,7209,SentryThreadPoo,18553,0.129484334
905151406322539,1241373,7,7180,com.xingin.xhs,18506,0.129930786
905151406862049,37109,5,7203,internal_handle,18547,0.130470296
905151406996896,216471,3,7210,otReporter.init,18554,0.130605143
905151407341663,175578,3,7210,otReporter.init,18554,0.13094991
905151407515166,932373,6,7209,SentryThreadPoo,18553,0.131123413
905151407558745,304687,3,7210,otReporter.init,18554,0.131166992
905151407615263,91187,7,7180,com.xingin.xhs,18506,0.13122351
