time_100ms,cpu,cpu_util,time_relative_s
9051505,1,0.01610799,-0.776391753
9051505,3,0.00016683,-0.776391753
9051506,0,0.08193484,-0.676391753
9051506,1,0.03421836,-0.676391753
9051506,2,0.02680908,-0.676391753
9051506,3,0.05178265,-0.676391753
9051507,0,0.00494874,-0.576391753
9051507,1,0.02614908,-0.576391753
9051507,2,0.07670898,-0.576391753
9051507,3,0.0811125,-0.576391753
9051508,0,0.01225505,-0.476391753
9051508,1,0.02981484,-0.476391753
9051508,2,0.04498289,-0.476391753
9051508,3,0.01683471,-0.476391753
9051508,4,0.00043335,-0.476391753
9051509,0,0.05222496,-0.376391753
9051509,1,0.08232258,-0.376391753
9051509,2,0.0968982,-0.376391753
9051509,3,0.08820719,-0.376391753
9051510,0,0.06855751,-0.276391753
9051510,1,0.11234702,-0.276391753
9051510,2,0.05564943,-0.276391753
9051510,3,0.13852901,-0.276391753
9051510,4,0.22602457,-0.276391753
9051510,5,0.05884155,-0.276391753
9051510,6,0.00103638,-0.276391753
9051510,7,0.00223388,-0.276391753
9051511,0,0.01216752,-0.176391753
9051511,1,0.01413657,-0.176391753
9051511,2,0.07258952,-0.176391753
9051511,3,0.14133709,-0.176391753
9051511,4,0.00134318,-0.176391753
9051511,5,0.63392455,-0.176391753
9051511,7,0.67825969,-0.176391753
9051512,0,0.21055712,-0.076391753
9051512,1,0.3414718,-0.076391753
9051512,2,0.20522863,-0.076391753
9051512,3,0.24151607,-0.076391753
9051512,4,0.25929,-0.076391753
9051512,5,0.21491127,-0.076391753
9051512,6,0.27917441,-0.076391753
9051512,7,0.4213167,-0.076391753
9051513,0,0.60959922,0.023608247
9051513,1,0.55566244,0.023608247
9051513,2,0.40259771,0.023608247
9051513,3,0.36892492,0.023608247
9051513,4,0.56393477,0.023608247
9051513,5,0.71580617,0.023608247
9051513,6,0.49420329,0.023608247
9051513,7,0.74512168,0.023608247
9051514,0,0.815035,0.123608247
9051514,1,0.75618284,0.123608247
9051514,2,0.77897912,0.123608247
9051514,3,0.84276123,0.123608247
9051514,4,0.85134444,0.123608247
9051514,5,0.86129882,0.123608247
9051514,6,0.98356284,0.123608247
9051514,7,0.94010661,0.123608247
9051515,0,0.97047444,0.223608247
9051515,1,1.00891034,0.223608247
9051515,2,1.02098346,0.223608247
9051515,3,0.98121016,0.223608247
9051515,4,0.99906576,0.223608247
9051515,5,0.99565634,0.223608247
9051515,6,0.92905355,0.223608247
9051515,7,0.9766162,0.223608247
9051516,0,1.02992796,0.323608247
9051516,1,0.9635616,0.323608247
9051516,2,0.92013995,0.323608247
9051516,3,0.94736612,0.323608247
9051516,4,1.00086181,0.323608247
9051516,5,0.99990683,0.323608247
9051516,6,0.97990684,0.323608247
9051516,7,0.99955404,0.323608247
9051517,0,0.98117594,0.423608247
9051517,1,0.99689657,0.423608247
9051517,2,0.98838662,0.423608247
9051517,3,0.9775924,0.423608247
9051517,4,0.99663492,0.423608247
9051517,5,1.00011434,0.423608247
9051517,6,0.99880086,0.423608247
9051517,7,0.99805989,0.423608247
9051518,0,0.97207032,0.523608247
9051518,1,1.00638427,0.523608247
9051518,2,1.11387818,0.523608247
9051518,3,0.96816692,0.523608247
9051518,4,1.00137818,0.523608247
9051518,5,1.01018187,0.523608247
9051518,6,1.00026774,0.523608247
9051518,7,0.98206503,0.523608247
9051519,0,0.99774087,0.623608247
9051519,1,1.06531739,0.623608247
9051519,2,0.93272705,0.623608247
9051519,3,0.93798707,0.623608247
9051519,4,0.99779743,0.623608247
9051519,5,1.01448079,0.623608247
9051519,6,1.04099772,0.623608247
9051519,7,0.8927556,0.623608247
9051520,0,0.90780149,0.723608247
9051520,1,0.91172973,0.723608247
9051520,2,0.82689245,0.723608247
9051520,3,0.91260662,0.723608247
9051520,4,0.97479407,0.723608247
9051520,5,0.9648474,0.723608247
9051520,6,0.95308229,0.723608247
9051520,7,0.87268599,0.723608247
9051521,0,0.92709309,0.823608247
9051521,1,0.64877362,0.823608247
9051521,2,0.60831218,0.823608247
9051521,3,0.5063595,0.823608247
9051521,4,0.97791951,0.823608247
9051521,5,0.84030885,0.823608247
9051521,6,0.98083658,0.823608247
9051521,7,0.99441774,0.823608247
9051522,0,0.73435299,0.923608247
9051522,1,0.88424035,0.923608247
9051522,2,0.87304811,0.923608247
9051522,3,0.7511934,0.923608247
9051522,4,0.91718301,0.923608247
9051522,5,0.90046059,0.923608247
9051522,6,0.88846552,0.923608247
9051522,7,0.90629436,0.923608247
9051523,0,0.54351647,1.023608247
9051523,1,0.61278157,1.023608247
9051523,2,0.80722166,1.023608247
9051523,3,0.54135948,1.023608247
9051523,4,0.96931481,1.023608247
9051523,5,0.58164634,1.023608247
9051523,6,0.6861092,1.023608247
9051523,7,1.11017049,1.023608247
9051524,0,0.52964238,1.123608247
9051524,1,0.69205853,1.123608247
9051524,2,0.42468713,1.123608247
9051524,3,0.46885704,1.123608247
9051524,4,0.75012568,1.123608247
9051524,5,0.98144164,1.123608247
9051524,6,0.6636255,1.123608247
9051524,7,0.74438118,1.123608247
9051525,0,0.66400232,1.223608247
9051525,1,0.56818886,1.223608247
9051525,2,0.32677693,1.223608247
9051525,3,0.59702396,1.223608247
9051525,4,0.83018512,1.223608247
9051525,5,0.47276569,1.223608247
9051525,6,0.81184733,1.223608247
9051525,7,1.07205607,1.223608247
9051526,0,0.36917888,1.323608247
9051526,1,0.38020506,1.323608247
9051526,2,0.247087,1.323608247
9051526,3,0.29538451,1.323608247
9051526,4,0.15368487,1.323608247
9051526,5,0.15877276,1.323608247
9051526,6,0.72766113,1.323608247
9051526,7,0.42834351,1.323608247
