timestamp_ns,frequency,cpu,time_relative_s
905070252945750,1065000.0,4,-0.206375976
905070252948842,1065000.0,5,-0.206372884
905070252951853,1065000.0,6,-0.206369873
905070256862945,1221000.0,4,-0.202458781
905070256865427,1221000.0,5,-0.202456299
905070256869537,1221000.0,6,-0.202452189
905070264826080,1328000.0,4,-0.194495646
905070264828277,1328000.0,5,-0.194493449
905070264830515,1328000.0,6,-0.194491211
905070272913319,1418000.0,4,-0.186408407
905070272915761,1418000.0,5,-0.186405965
905070272917958,1418000.0,6,-0.186403768
905070277025136,1549000.0,4,-0.18229659
905070277027821,1549000.0,5,-0.182293905
905070277029937,1549000.0,6,-0.182291789
905070284811554,1795000.0,4,-0.174510172
905070284814239,1795000.0,5,-0.174507487
905070284816396,1795000.0,6,-0.17450533
905070297278350,1945000.0,4,-0.162043376
905070297280263,1945000.0,5,-0.162041463
905070297282582,1945000.0,6,-0.162039144
905070304655507,2130000.0,4,-0.154666219
905070304658477,2130000.0,5,-0.154663249
905070304660675,2130000.0,6,-0.154661051
905070316792755,2245000.0,4,-0.142528971
905070316794626,2245000.0,5,-0.1425271
905070316796376,2245000.0,6,-0.14252535
905070324707957,2367000.0,4,-0.134613769
905070324711171,2367000.0,5,-0.134610555
905070324713246,2367000.0,6,-0.13460848
905070332396840,2450000.0,4,-0.126924886
905070332398834,2450000.0,5,-0.126922892
905070332400421,2450000.0,6,-0.126921305
905070336643951,2600000.0,4,-0.122677775
905070336645660,2600000.0,5,-0.122676066
905070336647166,2600000.0,6,-0.12267456
905070341048614,357000.0,4,-0.118273112
905070341050404,357000.0,5,-0.118271322
905070341052073,357000.0,6,-0.118269653
905070342250966,2294000.0,7,-0.11707076
905070352202952,2363000.0,7,-0.107118774
905070356202138,2499000.0,7,-0.103119588
905070372281524,2687000.0,7,-0.087040202
905070392192576,2802000.0,7,-0.06712915
905070408171376,2294000.0,7,-0.05115035
905070420273020,2363000.0,7,-0.039048706
905070426685292,2499000.0,7,-0.032636434
905070427551869,2294000.0,7,-0.031769857
905070435641795,2600000.0,4,-0.023679931
905070435644032,2600000.0,5,-0.023677694
905070435646189,2600000.0,6,-0.023675537
905070445151275,1098000.0,0,-0.014170451
905070445152944,1098000.0,1,-0.014168782
905070445154490,1098000.0,2,-0.014167236
905070445155995,1098000.0,3,-0.014165731
905070452390696,700000.0,7,-0.00693103
905070453866933,2450000.0,4,-0.005454793
905070453868683,2450000.0,5,-0.005453043
905070453870269,2450000.0,6,-0.005451457
905070455101796,820000.0,0,-0.00421993
905070455103058,820000.0,1,-0.004218668
905070455104238,820000.0,2,-0.004217488
905070455105336,820000.0,3,-0.00421639
905070458393992,2600000.0,4,-0.000927734
905070458395945,2600000.0,5,-0.000925781
905070458397532,2600000.0,6,-0.000924194
905070458898264,820000.0,0,-0.000423462
905070458898264,820000.0,1,-0.000423462
905070458898264,820000.0,2,-0.000423462
905070458898264,820000.0,3,-0.000423462
905070458898264,2600000.0,4,-0.000423462
905070458898264,2600000.0,5,-0.000423462
905070458898264,2600000.0,6,-0.000423462
905070458898264,700000.0,7,-0.000423462
905070468047231,2499000.0,7,0.008725505
905070475158030,1950000.0,0,0.015836304
905070475159698,1950000.0,1,0.015837972
905070475161244,1950000.0,2,0.015839518
905070475162750,1950000.0,3,0.015841024
905070487212717,1065000.0,4,0.027890991
905070487213613,1065000.0,5,0.027891887
905070487214304,1065000.0,6,0.027892578
905070487705597,2600000.0,4,0.028383871
905070487706573,2600000.0,5,0.028384847
905070487707509,2600000.0,6,0.028385783
905070501569854,1795000.0,4,0.042248128
905070501570750,1795000.0,5,0.042249024
905070501571685,1795000.0,6,0.042249959
905070502903513,2245000.0,4,0.043581787
905070502904408,2245000.0,5,0.043582682
905070502905304,2245000.0,6,0.043583578
905070505291331,1328000.0,0,0.045969605
905070505292022,1328000.0,1,0.045970296
905070505292673,1328000.0,2,0.045970947
905070505293365,1328000.0,3,0.045971639
905070508187367,2687000.0,7,0.048865641
905070510457550,2600000.0,4,0.051135824
905070510458933,2600000.0,5,0.051137207
905070510460439,2600000.0,6,0.051138713
905070510461375,2802000.0,7,0.051139649
905070515382273,1098000.0,0,0.056060547
905070515383290,1098000.0,1,0.056061564
905070515384226,1098000.0,2,0.0560625
905070515385121,1098000.0,3,0.056063395
905070516196970,2914000.0,7,0.056875244
905070522811798,1418000.0,4,0.063490072
905070522813019,1418000.0,5,0.063491293
905070522814239,1418000.0,6,0.063492513
905070526211008,3105000.0,7,0.066889282
905070528267324,1950000.0,0,0.068945598
905070528268504,1950000.0,1,0.068946778
905070528269602,1950000.0,2,0.068947876
905070528270701,1950000.0,3,0.068948975
905070533333770,2245000.0,4,0.074012044
905070533334869,2245000.0,5,0.074013143
905070533335805,2245000.0,6,0.074014079
905070533850575,2600000.0,4,0.074528849
905070533851511,2600000.0,5,0.074529785
905070533852407,2600000.0,6,0.074530681
905070548445424,1221000.0,4,0.089123698
905070548446401,1221000.0,5,0.089124675
905070548456207,1221000.0,6,0.089134481
905070550179799,2245000.0,4,0.090858073
905070550180938,2245000.0,5,0.090859212
905070550181874,2245000.0,6,0.090860148
905070550542348,2600000.0,4,0.091220622
905070550543284,2600000.0,5,0.091221558
905070550544301,2600000.0,6,0.091222575
905070559989654,1065000.0,4,0.100667928
905070559990712,1065000.0,5,0.100668986
905070559991648,1065000.0,6,0.100669922
905070566968536,2245000.0,4,0.10764681
905070566969472,2245000.0,5,0.107647746
905070566970326,2245000.0,6,0.1076486
905070567429433,2600000.0,4,0.108107707
905070567430369,2600000.0,5,0.108108643
905070567431223,2600000.0,6,0.108109497
905070569504547,1849000.0,0,0.110182821
905070569505320,1849000.0,1,0.110183594
905070569505971,1849000.0,2,0.110184245
