time_100ms,cpu,cpu_util,time_relative_s
9050697,0,0.05461995,-0.759321726
9050697,1,0.09724733,-0.759321726
9050697,2,0.04589522,-0.759321726
9050697,3,0.20740967,-0.759321726
9050697,6,0.00091187,-0.759321726
9050698,0,0.07360919,-0.659321726
9050698,1,0.11580079,-0.659321726
9050698,2,0.14958089,-0.659321726
9050698,3,0.17532798,-0.659321726
9050698,4,0.01067912,-0.659321726
9050698,6,0.01458577,-0.659321726
9050699,0,0.10609616,-0.559321726
9050699,1,0.04363159,-0.559321726
9050699,2,0.0235071,-0.559321726
9050699,3,0.04148641,-0.559321726
9050700,0,0.06431602,-0.459321726
9050700,1,0.05614503,-0.459321726
9050700,2,0.18892414,-0.459321726
9050700,3,0.09418903,-0.459321726
9050700,4,0.0399056,-0.459321726
9050700,5,0.19184896,-0.459321726
9050700,6,0.42863199,-0.459321726
9050700,7,0.0061617,-0.459321726
9050701,0,0.13821412,-0.359321726
9050701,1,0.05711303,-0.359321726
9050701,2,0.28112141,-0.359321726
9050701,3,0.08692913,-0.359321726
9050701,4,0.72395345,-0.359321726
9050701,5,0.01772541,-0.359321726
9050701,6,0.00288778,-0.359321726
9050702,0,0.06367228,-0.259321726
9050702,1,0.06009194,-0.259321726
9050702,2,0.04439533,-0.259321726
9050702,3,0.07247678,-0.259321726
9050702,5,1.18350993,-0.259321726
9050702,7,0.00259644,-0.259321726
9050703,0,0.1142623,-0.159321726
9050703,1,0.05386151,-0.159321726
9050703,2,0.06732749,-0.159321726
9050703,3,0.17603718,-0.159321726
9050703,5,0.00067464,-0.159321726
9050703,6,0.0004834,-0.159321726
9050703,7,0.64220459,-0.159321726
9050704,0,0.4205233,-0.059321726
9050704,1,0.53921507,-0.059321726
9050704,2,0.46253659,-0.059321726
9050704,3,0.34835362,-0.059321726
9050704,4,0.43514484,-0.059321726
9050704,5,0.39469845,-0.059321726
9050704,6,0.62867838,-0.059321726
9050704,7,0.35324909,-0.059321726
9050705,0,0.32240682,0.040678274
9050705,1,0.2867379,0.040678274
9050705,2,0.36621705,0.040678274
9050705,3,0.47792521,0.040678274
9050705,4,0.17377805,0.040678274
9050705,5,0.24918175,0.040678274
9050705,6,0.18023474,0.040678274
9050705,7,0.80894091,0.040678274
9050706,0,0.18784992,0.140678274
9050706,1,0.14183105,0.140678274
9050706,2,0.28631714,0.140678274
9050706,3,0.14586751,0.140678274
9050706,4,0.09293821,0.140678274
9050706,5,0.11736005,0.140678274
9050706,6,0.10296837,0.140678274
9050706,7,0.55761353,0.140678274
9050707,0,0.32973752,0.240678274
9050707,1,0.34731456,0.240678274
9050707,2,0.45728151,0.240678274
9050707,3,0.47703089,0.240678274
9050707,4,0.57661458,0.240678274
9050707,5,0.65109825,0.240678274
9050707,6,0.67944988,0.240678274
9050707,7,0.88652584,0.240678274
9050708,0,0.73982138,0.340678274
9050708,1,0.77743895,0.340678274
9050708,2,0.72657184,0.340678274
9050708,3,0.86795902,0.340678274
9050708,4,0.95173301,0.340678274
9050708,5,0.91305333,0.340678274
9050708,6,0.91146681,0.340678274
9050708,7,0.90756395,0.340678274
9050709,0,1.07982951,0.440678274
9050709,1,0.97465823,0.440678274
9050709,2,0.96895265,0.440678274
9050709,3,1.03228026,0.440678274
9050709,4,0.99378663,0.440678274
9050709,5,0.98813597,0.440678274
9050709,6,0.97878379,0.440678274
9050709,7,0.92971395,0.440678274
9050710,0,0.81430821,0.540678274
9050710,1,0.81639726,0.540678274
9050710,2,0.92614499,0.540678274
9050710,3,0.83333783,0.540678274
9050710,4,0.99618001,0.540678274
9050710,5,0.94736854,0.540678274
9050710,6,0.94077637,0.540678274
9050710,7,0.98990965,0.540678274
9050711,0,0.72525632,0.640678274
9050711,1,0.68101888,0.640678274
9050711,2,0.69797245,0.640678274
9050711,3,0.62074544,0.640678274
9050711,4,0.94121623,0.640678274
9050711,5,0.86991819,0.640678274
9050711,6,0.84624064,0.640678274
9050711,7,0.97236855,0.640678274
9050712,0,0.4613322,0.740678274
9050712,1,0.4248775,0.740678274
9050712,2,0.46706624,0.740678274
9050712,3,0.39119051,0.740678274
9050712,4,0.52954669,0.740678274
9050712,5,0.55853763,0.740678274
9050712,6,0.51389236,0.740678274
9050712,7,0.52110315,0.740678274
9050713,0,0.0984908,0.840678274
9050713,1,0.09770674,0.840678274
9050713,2,0.2877718,0.840678274
9050713,3,0.08493729,0.840678274
9050713,4,0.20094731,0.840678274
9050713,5,0.13214634,0.840678274
9050713,6,0.10594522,0.840678274
9050713,7,0.20107181,0.840678274
9050714,0,0.09082724,0.940678274
9050714,1,0.11752442,0.940678274
9050714,2,0.42391272,0.940678274
9050714,3,0.22108435,0.940678274
9050714,4,0.04898474,0.940678274
9050714,5,0.06443684,0.940678274
9050714,6,0.09774575,0.940678274
9050714,7,0.10095984,0.940678274
9050715,0,0.29659214,1.040678274
9050715,1,0.24891714,1.040678274
9050715,2,0.34315628,1.040678274
9050715,3,0.53027468,1.040678274
9050715,4,0.42425173,1.040678274
9050715,5,0.40646487,1.040678274
9050715,6,0.42243778,1.040678274
9050715,7,0.57369945,1.040678274
9050716,0,0.17102297,1.140678274
9050716,1,0.38849122,1.140678274
9050716,2,0.28048827,1.140678274
9050716,3,0.28962403,1.140678274
9050716,4,0.08126912,1.140678274
9050716,5,0.19751093,1.140678274
