time_100ms,cpu,cpu_util,time_relative_s
9052320,0,0.05143721,-0.279460436
9052320,1,0.14199747,-0.279460436
9052320,2,0.09979535,-0.279460436
9052320,3,0.02215007,-0.279460436
9052320,4,0.09817342,-0.279460436
9052320,5,0.13811605,-0.279460436
9052320,6,0.00194092,-0.279460436
9052320,7,0.00395223,-0.279460436
9052321,0,0.05065267,-0.179460436
9052321,1,0.00450358,-0.179460436
9052321,2,0.06358684,-0.179460436
9052321,3,0.07330974,-0.179460436
9052321,4,0.63217896,-0.179460436
9052321,6,0.00099039,-0.179460436
9052321,7,0.66278646,-0.179460436
9052322,0,0.27822268,-0.079460436
9052322,1,0.28516804,-0.079460436
9052322,2,0.16688635,-0.079460436
9052322,3,0.20834961,-0.079460436
9052322,4,0.18867148,-0.079460436
9052322,5,0.30359418,-0.079460436
9052322,6,0.19017096,-0.079460436
9052322,7,0.42349893,-0.079460436
9052323,0,0.60440185,0.020539564
9052323,1,0.63116697,0.020539564
9052323,2,0.36255576,0.020539564
9052323,3,0.33734739,0.020539564
9052323,4,0.27570109,0.020539564
9052323,5,0.18511267,0.020539564
9052323,6,0.23218988,0.020539564
9052323,7,0.75050707,0.020539564
9052324,0,0.52442184,0.120539564
9052324,1,0.51837929,0.120539564
9052324,2,0.51233722,0.120539564
9052324,3,0.82037685,0.120539564
9052324,4,0.7087935,0.120539564
9052324,5,0.83050577,0.120539564
9052324,6,0.7390685,0.120539564
9052324,7,0.78452341,0.120539564
9052325,0,0.62625534,0.220539564
9052325,1,0.57507478,0.220539564
9052325,2,0.6501013,0.220539564
9052325,3,0.73120356,0.220539564
9052325,4,0.75319288,0.220539564
9052325,5,0.77887735,0.220539564
9052325,6,0.82270996,0.220539564
9052325,7,0.88454148,0.220539564
9052326,0,0.74552342,0.320539564
9052326,1,0.72523469,0.320539564
9052326,2,0.81174883,0.320539564
9052326,3,0.86991536,0.320539564
9052326,4,0.83914712,0.320539564
9052326,5,0.9015589,0.320539564
9052326,6,0.82732743,0.320539564
9052326,7,0.72122143,0.320539564
9052327,0,0.86671349,0.420539564
9052327,1,0.93100627,0.420539564
9052327,2,0.9435376,0.420539564
9052327,3,0.93322345,0.420539564
9052327,4,0.94050133,0.420539564
9052327,5,0.98101767,0.420539564
9052327,6,1.05512044,0.420539564
9052327,7,0.80149617,0.420539564
9052328,0,0.2927702,0.520539564
9052328,1,0.34276653,0.520539564
9052328,2,0.24313519,0.520539564
9052328,3,0.30336058,0.520539564
9052328,4,0.38799805,0.520539564
9052328,5,0.33184653,0.520539564
9052328,6,0.26977988,0.520539564
9052328,7,0.16977048,0.520539564
