time_100ms,cpu,cpu_util,time_relative_s
9052719,0,0.0018986,-0.379150235
9052719,1,0.00141276,-0.379150235
9052719,2,0.00296549,-0.379150235
9052719,3,0.00160482,-0.379150235
9052720,0,0.02234579,-0.279150235
9052720,1,0.11876059,-0.279150235
9052720,2,0.09823608,-0.279150235
9052720,3,0.02424928,-0.279150235
9052720,4,0.14899577,-0.279150235
9052720,5,0.01404909,-0.279150235
9052720,6,0.30776204,-0.279150235
9052720,7,0.0055835,-0.279150235
9052721,0,0.00430991,-0.179150235
9052721,1,0.0372461,-0.179150235
9052721,2,0.02706706,-0.179150235
9052721,3,0.08482587,-0.179150235
9052721,5,0.62154378,-0.179150235
9052721,7,0.5963094,-0.179150235
9052722,0,0.15920901,-0.079150235
9052722,1,0.32545326,-0.079150235
9052722,2,0.33899339,-0.079150235
9052722,3,0.14488118,-0.079150235
9052722,4,0.17908446,-0.079150235
9052722,5,0.12958822,-0.079150235
9052722,6,0.23849653,-0.079150235
9052722,7,0.36043538,-0.079150235
9052723,0,0.60906622,0.020849765
9052723,1,0.57019779,0.020849765
9052723,2,0.41544838,0.020849765
9052723,3,0.39209308,0.020849765
9052723,4,0.18147377,0.020849765
9052723,5,0.49795858,0.020849765
9052723,6,0.21440304,0.020849765
9052723,7,0.54262938,0.020849765
9052724,0,0.49951253,0.120849765
9052724,1,0.52606119,0.120849765
9052724,2,0.70056314,0.120849765
9052724,3,0.58024413,0.120849765
9052724,4,0.65386548,0.120849765
9052724,5,0.8347217,0.120849765
9052724,6,0.71295413,0.120849765
9052724,7,0.88545206,0.120849765
9052725,0,1.05476763,0.220849765
9052725,1,0.95135049,0.220849765
9052725,2,0.96001383,0.220849765
9052725,3,0.93426265,0.220849765
9052725,4,0.9431482,0.220849765
9052725,5,0.95444293,0.220849765
9052725,6,0.97448241,0.220849765
9052725,7,0.9674683,0.220849765
9052726,0,0.82572878,0.320849765
9052726,1,0.93988279,0.320849765
9052726,2,0.92258951,0.320849765
9052726,3,0.89337318,0.320849765
9052726,4,0.99306841,0.320849765
9052726,5,0.98817505,0.320849765
9052726,6,0.99797567,0.320849765
9052726,7,0.97944091,0.320849765
9052727,0,0.99973551,0.420849765
9052727,1,0.96268594,0.420849765
9052727,2,1.02098838,0.420849765
9052727,3,0.99437826,0.420849765
9052727,4,0.91475624,0.420849765
9052727,5,0.98492188,0.420849765
9052727,6,1.07279624,0.420849765
9052727,7,0.92822425,0.420849765
9052728,0,0.81378255,0.520849765
9052728,1,0.89618083,0.520849765
9052728,2,0.80508583,0.520849765
9052728,3,0.76849082,0.520849765
9052728,4,0.8416634,0.520849765
9052728,5,0.83000449,0.520849765
9052728,6,0.74771648,0.520849765
9052728,7,0.78761112,0.520849765
