time_100ms,cpu,cpu_util,time_relative_s
9051922,0,0.01855916,-0.308555184
9051922,1,0.05877482,-0.308555184
9051922,2,0.02527343,-0.308555184
9051922,3,0.01902344,-0.308555184
9051922,7,1.25372925,-0.308555184
9051923,0,0.04048708,-0.208555184
9051923,1,0.14392539,-0.208555184
9051923,2,0.0595349,-0.208555184
9051923,3,0.12473836,-0.208555184
9051923,4,0.01958904,-0.208555184
9051923,5,0.06057455,-0.208555184
9051923,6,0.02168823,-0.208555184
9051923,7,0.00873576,-0.208555184
9051924,0,0.17514041,-0.108555184
9051924,1,0.23266561,-0.108555184
9051924,2,0.15096231,-0.108555184
9051924,3,0.21540649,-0.108555184
9051924,4,0.55359578,-0.108555184
9051924,5,0.50449627,-0.108555184
9051924,6,0.09643027,-0.108555184
9051924,7,0.00774577,-0.108555184
9051925,0,0.46335772,-0.008555184
9051925,1,0.3405127,-0.008555184
9051925,2,0.45218995,-0.008555184
9051925,3,0.36073398,-0.008555184
9051925,4,0.55608314,-0.008555184
9051925,5,0.52694823,-0.008555184
9051925,6,0.41132483,-0.008555184
9051925,7,0.507959,-0.008555184
9051926,0,0.23415815,0.091444816
9051926,1,0.19387574,0.091444816
9051926,2,0.30478596,0.091444816
9051926,3,0.25112798,0.091444816
9051926,4,0.45557863,0.091444816
9051926,5,0.5204781,0.091444816
9051926,6,0.46325761,0.091444816
9051926,7,0.70816245,0.091444816
9051927,0,0.88287478,0.191444816
9051927,1,0.76373896,0.191444816
9051927,2,0.7412598,0.191444816
9051927,3,0.82654007,0.191444816
9051927,4,0.91733527,0.191444816
9051927,5,0.83511679,0.191444816
9051927,6,0.91580405,0.191444816
9051927,7,0.68689939,0.191444816
9051928,0,0.86107668,0.291444816
9051928,1,0.9064201,0.291444816
9051928,2,0.68958368,0.291444816
9051928,3,0.68372069,0.291444816
9051928,4,0.8298779,0.291444816
9051928,5,0.81270182,0.291444816
9051928,6,0.89282633,0.291444816
9051928,7,0.78297883,0.291444816
9051929,0,0.85825356,0.391444816
9051929,1,0.89985065,0.391444816
9051929,2,0.84091352,0.391444816
9051929,3,0.83712809,0.391444816
9051929,4,0.93445348,0.391444816
9051929,5,0.98668375,0.391444816
9051929,6,0.9492721,0.391444816
9051929,7,0.74149217,0.391444816
9051930,0,0.57078938,0.491444816
9051930,1,0.56061853,0.491444816
9051930,2,0.57050578,0.491444816
9051930,3,0.5581844,0.491444816
9051930,4,0.5800952,0.491444816
9051930,5,0.57808838,0.491444816
9051930,6,0.57762044,0.491444816
9051930,7,0.48060461,0.491444816
