timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
904987367387481,2056234,5,7188,droid.ugc.aweme,9138,0.023738281
904987369508819,13591,5,7188,droid.ugc.aweme,9138,0.025859619
904987369558054,19532,5,7188,droid.ugc.aweme,9138,0.025908854
904987369635895,5533,5,7188,droid.ugc.aweme,9138,0.025986695
904987369654205,3947,5,7188,droid.ugc.aweme,9138,0.026005005
904987369674062,3581,5,7188,droid.ugc.aweme,9138,0.026024862
904987371154531,19734,5,7188,droid.ugc.aweme,9138,0.027505331
904987371348745,1116251,5,7188,droid.ugc.aweme,9138,0.027699545
904987372666738,5655354,5,7188,droid.ugc.aweme,9138,0.029017538
904987378439280,850830,5,7188,droid.ugc.aweme,9138,0.03479008
904987379325144,690918,5,7188,droid.ugc.aweme,9138,0.035675944
904987380081695,68563,5,7188,droid.ugc.aweme,9138,0.036432495
904987380157379,4998901,5,7188,droid.ugc.aweme,9138,0.036508179
904987385143137,161744,7,7189,Signal Catcher,9139,0.041493937
904987385309723,6854207,5,7188,droid.ugc.aweme,9138,0.041660523
904987385647491,77149,7,7190,perfetto_hprof_,9140,0.041998291
904987392179026,138346,7,7188,droid.ugc.aweme,9138,0.048529826
904987392338043,158569,7,7188,droid.ugc.aweme,9138,0.048688843
904987392508209,38981,7,7188,droid.ugc.aweme,9138,0.048859009
904987392558746,2878540,7,7188,droid.ugc.aweme,9138,0.048909546
904987395409780,57332,5,7191,Jit thread pool,9141,0.05176058
904987395454905,4878988,6,7188,droid.ugc.aweme,9138,0.051805705
904987395483103,109864,5,7191,Jit thread pool,9141,0.051833903
904987399988556,14445,5,7191,Jit thread pool,9141,0.056339356
904987400104604,99487,5,7192,HeapTaskDaemon,9142,0.056455404
904987400175038,32105,7,7193,ReferenceQueueD,9143,0.056525838
904987400223867,48055,7,7193,ReferenceQueueD,9143,0.056574667
904987400288279,107747,5,7194,FinalizerDaemon,9144,0.056639079
904987400347076,1763184,7,7188,droid.ugc.aweme,9138,0.056697876
904987400368276,118286,4,7195,FinalizerWatchd,9145,0.056719076
904987401390655,207845,5,7196,binder:9138_1,9146,0.057741455
904987401595815,144897,4,7197,binder:9138_2,9147,0.057946615
904987402180939,87443,7,7188,droid.ugc.aweme,9138,0.058531739
904987402358347,73527,7,7188,droid.ugc.aweme,9138,0.058709147
904987404115102,800130,4,7197,binder:9138_2,9147,0.060465902
904987404899200,84758,7,7196,binder:9138_1,9146,0.06125
904987404959259,132161,4,7198,binder:9138_3,9149,0.061310059
904987404983958,2197,7,7197,binder:9138_2,9147,0.061334758
904987405015045,1228027,7,7188,droid.ugc.aweme,9138,0.061365845
904987406302154,20590,7,7188,droid.ugc.aweme,9138,0.062652954
904987406568024,77351,7,7188,droid.ugc.aweme,9138,0.062918824
904987406875519,315470,7,7188,droid.ugc.aweme,9138,0.063226319
904987409174632,27058,6,7188,droid.ugc.aweme,9138,0.065525432
904987409220123,14969035,7,7188,droid.ugc.aweme,9138,0.065570923
904987424410065,27082723,7,7188,droid.ugc.aweme,9138,0.080760865
904987451639475,37687867,7,7188,droid.ugc.aweme,9138,0.107990275
904987489327342,82845,7,7200,Profile Saver,9151,0.145678142
904987489449208,649618,7,7188,droid.ugc.aweme,9138,0.145800008
904987490160675,107462,7,7188,droid.ugc.aweme,9138,0.146511475
904987490311432,56396,7,7188,droid.ugc.aweme,9138,0.146662232
904987490496450,190633,7,7188,droid.ugc.aweme,9138,0.14684725
904987490920725,76905,4,7188,droid.ugc.aweme,9138,0.147271525
904987491106109,13143,7,7188,droid.ugc.aweme,9138,0.147456909
904987491742665,54973,6,7188,droid.ugc.aweme,9138,0.148093465
904987491808502,131226,7,7188,droid.ugc.aweme,9138,0.148159302
904987492051341,137003,7,7188,droid.ugc.aweme,9138,0.148402141
904987492412750,1485962,4,7188,droid.ugc.aweme,9138,0.14876355
904987493943837,124960,7,7188,droid.ugc.aweme,9138,0.150294637
904987494068797,346720,7,7201,SharedPreferenc,9152,0.150419597
904987494415517,5794800,7,7188,droid.ugc.aweme,9138,0.150766317
904987500210317,13428,7,7201,SharedPreferenc,9152,0.156561117
904987500581858,260295,7,7188,droid.ugc.aweme,9138,0.156932658
904987500930043,213623,7,7188,droid.ugc.aweme,9138,0.157280843
904987501141917,233968,6,7201,SharedPreferenc,9152,0.157492717
904987501362701,276693,7,7188,droid.ugc.aweme,9138,0.157713501
904987501645579,141195,6,7201,SharedPreferenc,9152,0.157996379
904987501777293,1799601,7,7188,droid.ugc.aweme,9138,0.158128093
904987503569773,134969,6,7201,SharedPreferenc,9152,0.159920573
904987503694977,4463297,7,7188,droid.ugc.aweme,9138,0.160045777
904987507043528,250122,4,7203,keva-1,9154,0.163394328
904987507459381,63721,0,7202,tp-io-1,9153,0.163810181
904987507585276,447958,5,7202,tp-io-1,9153,0.163936076
904987507811310,647501,4,7205,tp-default-3,9156,0.16416211
904987508154165,1395141,6,7204,tp-default-2,9155,0.164504965
904987508158274,116211,7,7206,keva-2,9157,0.164509074
904987508274485,1058879,7,7188,droid.ugc.aweme,9138,0.164625285
904987508480052,5238159,4,7205,tp-default-3,9156,0.164830852
904987509333364,7894,7,7206,keva-2,9157,0.165684164
904987509341258,172607,7,7188,droid.ugc.aweme,9138,0.165692058
904987509356516,193645,5,7203,keva-1,9154,0.165707316
904987509513865,17863,7,7206,keva-2,9157,0.165864665
904987509531728,593872,7,7188,droid.ugc.aweme,9138,0.165882528
904987510125600,152791,7,7204,tp-default-2,9155,0.1664764
904987510127309,165324,6,7206,keva-2,9157,0.166478109
904987510278391,37354,7,7188,droid.ugc.aweme,9138,0.166629191
904987510315745,51758,7,7204,tp-default-2,9155,0.166666545
904987510367503,843302,7,7188,droid.ugc.aweme,9138,0.166718303
904987511199737,44149,1,7204,tp-default-2,9155,0.167550537
904987511207794,142944,6,7203,keva-1,9154,0.167558594
904987511258616,78939,7,7204,tp-default-2,9155,0.167609416
904987511337555,327881,7,7188,droid.ugc.aweme,9138,0.167688355
904987511359894,659993,5,7204,tp-default-2,9155,0.167710694
904987511664093,285807,6,7207,tp-default-4,9158,0.168014893
904987511665436,100341,7,7208,CommonDredgeHan,9159,0.168016236
904987511765777,91350,7,7188,droid.ugc.aweme,9138,0.168116577
904987511819285,234253,3,7202,tp-io-1,9153,0.168170085
904987511857127,18839,7,7208,CommonDredgeHan,9159,0.168207927
904987511875966,268311,7,7188,droid.ugc.aweme,9138,0.168226766
904987511970245,764974,6,7207,tp-default-4,9158,0.168321045
904987512144277,8667,7,7208,CommonDredgeHan,9159,0.168495077
904987512152944,146769,7,7209,ledThreadPool-1,9160,0.168503744
904987512169545,83781,5,7188,droid.ugc.aweme,9138,0.168520345
904987512230011,284139,3,7206,keva-2,9157,0.168580811
904987512314850,2360,7,7209,ledThreadPool-1,9160,0.16866565
904987512330800,65633,7,7209,ledThreadPool-1,9160,0.1686816
904987512386057,176921,5,7210,#tp-scheduled-1,9161,0.168736857
904987512405711,19897,7,7209,ledThreadPool-1,9160,0.168756511
904987512435943,46306,7,7209,ledThreadPool-1,9160,0.168786743
904987512482249,44149,7,7188,droid.ugc.aweme,9138,0.168833049
904987512494863,40690,2,7209,ledThreadPool-1,9160,0.168845663
904987512514150,105062,3,7211,#ActionReaper,9162,0.16886495
904987512522329,42602,0,7203,keva-1,9154,0.168873129
904987512552317,59448,7,7209,ledThreadPool-1,9160,0.168903117
904987512562978,62378,5,7212,#tp-io-10,9163,0.168913778
904987512625356,93953,5,7203,keva-1,9154,0.168976156
904987512634389,31291,7,7211,#ActionReaper,9162,0.168985189
904987512647776,59855,3,7212,#tp-io-10,9163,0.168998576
904987512660471,10987,2,7209,ledThreadPool-1,9160,0.169011271
904987512682485,18148,7,7209,ledThreadPool-1,9160,0.169033285
904987512718658,8138,7,7212,#tp-io-10,9163,0.169069458
904987512730906,186564,5,7209,ledThreadPool-1,9160,0.169081706
904987512749542,46509,7,7203,keva-1,9154,0.169100342
904987512763946,77230,3,7212,#tp-io-10,9163,0.169114746
904987512796051,86263,7,7188,droid.ugc.aweme,9138,0.169146851
904987512881256,95418,3,7206,keva-2,9157,0.169232056
904987512882314,51188,7,7213,#RxSchedulerPur,9164,0.169233114
904987512917470,66773,5,7215,#RxCachedWorker,9166,0.16926827
904987512930613,5249,2,7209,ledThreadPool-1,9160,0.169281413
904987512949127,20630,7,7209,ledThreadPool-1,9160,0.169299927
904987512971914,8454671,6,7207,tp-default-4,9158,0.169322714
904987512984243,8789,5,7214,#BadgerReportTh,9165,0.169335043
904987512988352,19450,7,7206,keva-2,9157,0.169339152
904987513000681,97657,2,7209,ledThreadPool-1,9160,0.169351481
904987513007802,21566,7,7188,droid.ugc.aweme,9138,0.169358602
904987513025991,69295,5,7215,#RxCachedWorker,9166,0.169376791
904987513029368,4272,7,7206,keva-2,9157,0.169380168
904987513033640,9522,7,7188,droid.ugc.aweme,9138,0.16938444
904987513043162,70719,7,7206,keva-2,9157,0.169393962
904987513047272,14770,3,7203,keva-1,9154,0.169398072
