time_100ms,cpu,cpu_util,time_relative_s
9049868,0,0.05005737,-0.5436492
9049868,1,0.00523234,-0.5436492
9049868,2,0.03741783,-0.5436492
9049868,3,0.01588784,-0.5436492
9049868,5,0.00970703,-0.5436492
9049869,0,0.02003092,-0.4436492
9049869,1,0.04624144,-0.4436492
9049869,2,0.07013875,-0.4436492
9049869,3,0.06010171,-0.4436492
9049870,0,0.11166216,-0.3436492
9049870,1,0.00318767,-0.3436492
9049870,2,0.08816936,-0.3436492
9049870,3,0.04441691,-0.3436492
9049871,0,0.02660848,-0.2436492
9049871,1,0.14812826,-0.2436492
9049871,2,0.28446249,-0.2436492
9049871,3,0.03965045,-0.2436492
9049871,4,0.77799969,-0.2436492
9049871,5,0.10754474,-0.2436492
9049871,6,0.00375896,-0.2436492
9049871,7,0.00308635,-0.2436492
9049872,0,0.05060794,-0.1436492
9049872,1,0.07229614,-0.1436492
9049872,2,0.02933678,-0.1436492
9049872,3,0.0301481,-0.1436492
9049872,4,0.00022176,-0.1436492
9049872,7,0.6523413,-0.1436492
9049873,0,0.32705933,-0.0436492
9049873,1,0.29826093,-0.0436492
9049873,2,0.26375334,-0.0436492
9049873,3,0.27738351,-0.0436492
9049873,4,0.28467896,-0.0436492
9049873,5,0.45733763,-0.0436492
9049873,6,0.36524981,-0.0436492
9049873,7,0.54980142,-0.0436492
9049874,0,0.10842729,0.0563508
9049874,1,0.21302892,0.0563508
9049874,2,0.28147705,0.0563508
9049874,3,0.22882856,0.0563508
9049874,4,0.12444009,0.0563508
9049874,5,0.10044353,0.0563508
9049874,6,0.19715534,0.0563508
9049874,7,0.94019735,0.0563508
9049875,0,0.64503867,0.1563508
9049875,1,0.63532026,0.1563508
9049875,2,0.67277915,0.1563508
9049875,3,0.73617184,0.1563508
9049875,4,0.8482751,0.1563508
9049875,5,0.88524533,0.1563508
9049875,6,0.89897055,0.1563508
9049875,7,0.9004407,0.1563508
9049876,0,0.74883378,0.2563508
9049876,1,0.66565832,0.2563508
9049876,2,0.7062207,0.2563508
9049876,3,0.71292685,0.2563508
9049876,4,0.84371055,0.2563508
9049876,5,0.78871908,0.2563508
9049876,6,0.84628783,0.2563508
9049876,7,0.9460661,0.2563508
9049877,0,0.93466016,0.3563508
9049877,1,0.94786213,0.3563508
9049877,2,0.97384441,0.3563508
9049877,3,0.94389931,0.3563508
9049877,4,0.97959514,0.3563508
9049877,5,0.96093944,0.3563508
9049877,6,0.96897258,0.3563508
9049877,7,0.9641434,0.3563508
9049878,0,0.55702353,0.4563508
9049878,1,0.47249629,0.4563508
9049878,2,0.51394822,0.4563508
9049878,3,0.56080081,0.4563508
9049878,4,0.86486254,0.4563508
9049878,5,0.83930737,0.4563508
9049878,6,0.82089397,0.4563508
9049878,7,0.89895962,0.4563508
9049879,0,0.80717409,0.5563508
9049879,1,0.77893189,0.5563508
9049879,2,0.81772504,0.5563508
9049879,3,0.84290003,0.5563508
9049879,4,0.95036656,0.5563508
9049879,5,0.97102864,0.5563508
9049879,6,0.94930095,0.5563508
9049879,7,0.94144936,0.5563508
9049880,0,0.47323043,0.6563508
9049880,1,0.50065066,0.6563508
9049880,2,0.54194417,0.6563508
9049880,3,0.50733889,0.6563508
9049880,4,0.83279545,0.6563508
9049880,5,0.63392326,0.6563508
9049880,6,0.73268471,0.6563508
9049880,7,0.52809452,0.6563508
9049881,0,0.32025227,0.7563508
9049881,1,0.40385544,0.7563508
9049881,2,0.27290935,0.7563508
9049881,3,0.36996829,0.7563508
9049881,4,0.25625363,0.7563508
9049881,5,0.31990641,0.7563508
9049881,6,0.2830656,0.7563508
9049881,7,0.05818681,0.7563508
9049882,0,0.44249347,0.8563508
9049882,1,0.48903069,0.8563508
9049882,2,0.58182694,0.8563508
9049882,3,0.49569178,0.8563508
9049882,4,0.57544114,0.8563508
9049882,5,0.73215411,0.8563508
9049882,6,0.60088348,0.8563508
9049882,7,0.50066525,0.8563508
9049883,0,0.16016681,0.9563508
9049883,1,0.17026609,0.9563508
9049883,2,0.31202595,0.9563508
9049883,3,0.187277,0.9563508
9049883,4,0.09126223,0.9563508
9049883,5,0.12754355,0.9563508
9049883,6,0.17915001,0.9563508
9049883,7,0.03038369,0.9563508
