timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
905028711900075,1774740,5,7195,droid.ugc.aweme,11202,0.021513306
905028713788340,189738,5,7195,droid.ugc.aweme,11202,0.023401571
905028714022674,343587,5,7195,droid.ugc.aweme,11202,0.023635905
905028714436981,12614,5,7195,droid.ugc.aweme,11202,0.024050212
905028714490081,24211,5,7195,droid.ugc.aweme,11202,0.024103312
905028715523814,12695,6,7195,droid.ugc.aweme,11202,0.025137045
905028715546478,4598,6,7195,droid.ugc.aweme,11202,0.025159709
905028715791270,14974,6,7195,droid.ugc.aweme,11202,0.025404501
905028715864186,293783,6,7195,droid.ugc.aweme,11202,0.025477417
905028716194346,6769572,5,7195,droid.ugc.aweme,11202,0.025807577
905028723214162,1120890,5,7195,droid.ugc.aweme,11202,0.032827393
905028724544077,268555,5,7195,droid.ugc.aweme,11202,0.034157308
905028724820770,1588053,5,7195,droid.ugc.aweme,11202,0.034434001
905028726424123,129923,7,7195,droid.ugc.aweme,11202,0.036037354
905028726675262,389608,7,7195,droid.ugc.aweme,11202,0.036288493
905028727231130,2286539,7,7195,droid.ugc.aweme,11202,0.036844361
905028729517669,130738,7,7196,Signal Catcher,11203,0.0391309
905028729644093,12452,6,7195,droid.ugc.aweme,11202,0.039257324
905028729669606,1838257,7,7195,droid.ugc.aweme,11202,0.039282837
905028731507863,71737,7,7197,perfetto_hprof_,11204,0.041121094
905028731579600,4013021,7,7195,droid.ugc.aweme,11202,0.041192831
905028735676849,126668,7,7195,droid.ugc.aweme,11202,0.04529008
905028736199595,480143,7,7195,droid.ugc.aweme,11202,0.045812826
905028736978892,40201,7,7195,droid.ugc.aweme,11202,0.046592123
905028737073781,128011,7,7195,droid.ugc.aweme,11202,0.046687012
905028737250702,56315,7,7195,droid.ugc.aweme,11202,0.046863933
905028737330658,128296,7,7195,droid.ugc.aweme,11202,0.046943889
905028737467336,36132,7,7195,droid.ugc.aweme,11202,0.047080567
905028737524546,50903,7,7195,droid.ugc.aweme,11202,0.047137777
905028737637664,329794,7,7195,droid.ugc.aweme,11202,0.047250895
905028737999155,203410,7,7195,droid.ugc.aweme,11202,0.047612386
905028738510996,44881,7,7195,droid.ugc.aweme,11202,0.048124227
905028738574839,164632,7,7195,droid.ugc.aweme,11202,0.04818807
905028738755177,37354,7,7195,droid.ugc.aweme,11202,0.048368408
905028738806813,468425,7,7195,droid.ugc.aweme,11202,0.048420044
905028739241384,66935,4,7198,Jit thread pool,11205,0.048854615
905028739297454,4047364,5,7195,droid.ugc.aweme,11202,0.048910685
905028739323944,150187,4,7198,Jit thread pool,11205,0.048937175
905028746442881,1435710,5,7195,droid.ugc.aweme,11202,0.056056112
905028747655080,28157,4,7198,Jit thread pool,11205,0.057268311
905028747765960,74829,7,7199,HeapTaskDaemon,11206,0.057379191
905028747834442,75683,4,7200,ReferenceQueueD,11207,0.057447673
905028747902476,110066,5,7195,droid.ugc.aweme,11202,0.057515707
905028747925710,154337,4,7200,ReferenceQueueD,11207,0.057538941
905028747968434,35238,7,7201,FinalizerDaemon,11208,0.057581665
905028748026092,92977,5,7201,FinalizerDaemon,11208,0.057639323
905028748051198,3214111,6,7195,droid.ugc.aweme,11202,0.057664429
905028748166148,48909,7,7202,FinalizerWatchd,11209,0.057779379
905028748178070,26977,4,7200,ReferenceQueueD,11207,0.057791301
905028748193898,30518,5,7201,FinalizerDaemon,11208,0.057807129
905028750070526,109131,7,7204,binder:11202_1,11211,0.059683757
905028750181366,159261,4,7205,binder:11202_2,11212,0.059794597
905028751327687,176555,6,7195,droid.ugc.aweme,11202,0.060940918
905028751597788,142334,6,7195,droid.ugc.aweme,11202,0.061211019
905028752373097,18026,1,7195,droid.ugc.aweme,11202,0.061986328
905028753282358,525432,4,7205,binder:11202_2,11212,0.062895589
905028754583628,52979,7,7195,droid.ugc.aweme,11202,0.064196859
905028755506195,470906,4,7205,binder:11202_2,11212,0.065119426
905028755792979,1412719,7,7195,droid.ugc.aweme,11202,0.06540621
905028755839203,11515,5,7204,binder:11202_1,11211,0.065452434
905028755922536,175008,6,7207,binder:11202_3,11214,0.065535767
905028755958954,5778,5,7204,binder:11202_1,11211,0.065572185
905028757273285,27750,7,7195,droid.ugc.aweme,11202,0.066886516
905028757342092,82845,7,7195,droid.ugc.aweme,11202,0.066955323
905028757576100,320516,7,7195,droid.ugc.aweme,11202,0.067189331
905028757959076,42291137,7,7195,droid.ugc.aweme,11202,0.067572307
905028800410817,13748088,7,7195,droid.ugc.aweme,11202,0.110024048
905028814192881,14865560,7,7195,droid.ugc.aweme,11202,0.123806112
905028829231130,7010701,7,7195,droid.ugc.aweme,11202,0.138844361
905028836168345,176798,2,7218,Profile Saver,11223,0.145781576
905028836589569,2875610,7,7195,droid.ugc.aweme,11202,0.1462028
905028836603770,140218,2,7218,Profile Saver,11223,0.146217001
905028839611623,717000,7,7195,droid.ugc.aweme,11202,0.149224854
905028840394297,125203,7,7195,droid.ugc.aweme,11202,0.150007528
905028840567637,59896,7,7195,droid.ugc.aweme,11202,0.150180868
905028840766611,206299,7,7195,droid.ugc.aweme,11202,0.150379842
905028841034759,11190,7,7195,droid.ugc.aweme,11202,0.15064799
905028841084727,130859,7,7195,droid.ugc.aweme,11202,0.150697958
905028841341115,112386,7,7195,droid.ugc.aweme,11202,0.150954346
905028841570160,1043416,7,7195,droid.ugc.aweme,11202,0.151183391
