time_100ms,cpu,cpu_util,time_relative_s
9050280,0,0.0009729,-0.690386769
9050280,1,0.00647053,-0.690386769
9050280,2,0.00127115,-0.690386769
9050280,3,0.00888511,-0.690386769
9050280,6,0.01384481,-0.690386769
9050281,0,0.0769218,-0.590386769
9050281,1,0.0781604,-0.590386769
9050281,2,0.05531332,-0.590386769
9050281,3,0.09456747,-0.590386769
9050282,0,0.05253215,-0.490386769
9050282,1,0.01321897,-0.490386769
9050282,2,0.01216471,-0.490386769
9050282,3,0.00686566,-0.490386769
9050283,0,0.08799807,-0.390386769
9050283,1,0.04873046,-0.390386769
9050283,2,0.02849,-0.390386769
9050283,3,0.01383057,-0.390386769
9050284,0,0.20804605,-0.290386769
9050284,1,0.08117184,-0.290386769
9050284,2,0.12472454,-0.290386769
9050284,3,0.27276938,-0.290386769
9050284,4,0.03532756,-0.290386769
9050284,5,0.01445151,-0.290386769
9050284,6,0.11308229,-0.290386769
9050284,7,0.00148274,-0.290386769
9050285,0,0.06408652,-0.190386769
9050285,1,0.08923136,-0.190386769
9050285,2,0.06782021,-0.190386769
9050285,3,0.10338007,-0.190386769
9050285,4,0.0017745,-0.190386769
9050285,5,0.75994263,-0.190386769
9050285,7,0.58508951,-0.190386769
9050286,0,0.1769987,-0.090386769
9050286,1,0.14480758,-0.090386769
9050286,2,0.22745646,-0.090386769
9050286,3,0.22359947,-0.090386769
9050286,4,0.13491779,-0.090386769
9050286,5,0.08426882,-0.090386769
9050286,6,0.07561077,-0.090386769
9050286,7,0.37039544,-0.090386769
9050287,0,0.85753011,0.009613231
9050287,1,0.57401367,0.009613231
9050287,2,0.3531445,0.009613231
9050287,3,0.45580529,0.009613231
9050287,4,0.31771724,0.009613231
9050287,5,0.51727215,0.009613231
9050287,6,0.37402671,0.009613231
9050287,7,0.79826664,0.009613231
9050288,0,0.80889731,0.109613231
9050288,1,0.59973064,0.109613231
9050288,2,0.46188275,0.109613231
9050288,3,0.57015705,0.109613231
9050288,4,0.6747803,0.109613231
9050288,5,0.43108722,0.109613231
9050288,6,0.45283239,0.109613231
9050288,7,0.8939856,0.109613231
9050289,0,0.98165528,0.209613231
9050289,1,0.9508789,0.209613231
9050289,2,0.99436037,0.209613231
9050289,3,0.97033122,0.209613231
9050289,4,0.99647746,0.209613231
9050289,5,0.96479002,0.209613231
9050289,6,0.98360554,0.209613231
9050289,7,1.01484128,0.209613231
9050290,0,0.93416135,0.309613231
9050290,1,0.88078044,0.309613231
9050290,2,0.93714317,0.309613231
9050290,3,0.95124595,0.309613231
9050290,4,0.99567382,0.309613231
9050290,5,0.98614991,0.309613231
9050290,6,0.98254963,0.309613231
9050290,7,0.91839231,0.309613231
9050291,0,0.99158567,0.409613231
9050291,1,1.01815472,0.409613231
9050291,2,0.99352172,0.409613231
9050291,3,0.98907676,0.409613231
9050291,4,0.99330769,0.409613231
9050291,5,0.99261925,0.409613231
9050291,6,0.98797282,0.409613231
9050291,7,0.97581541,0.409613231
9050292,0,0.98856238,0.509613231
9050292,1,0.91642051,0.509613231
9050292,2,1.03316936,0.509613231
9050292,3,0.98565383,0.509613231
9050292,4,1.00261637,0.509613231
9050292,5,0.98495972,0.509613231
9050292,6,1.00142618,0.509613231
9050292,7,0.99531859,0.509613231
9050293,0,1.02160686,0.609613231
9050293,1,1.02104858,0.609613231
9050293,2,0.99765382,0.609613231
9050293,3,0.96198975,0.609613231
9050293,4,0.98603229,0.609613231
9050293,5,0.96604452,0.609613231
9050293,6,0.9903125,0.609613231
9050293,7,0.93608282,0.609613231
9050294,0,1.00991862,0.709613231
9050294,1,0.97765015,0.709613231
9050294,2,1.04304728,0.709613231
9050294,3,1.04745402,0.709613231
9050294,4,0.99647095,0.709613231
9050294,5,0.96804239,0.709613231
9050294,6,0.99894205,0.709613231
9050294,7,1.00793904,0.709613231
9050295,0,0.94293863,0.809613231
9050295,1,0.98101683,0.809613231
9050295,2,0.91410605,0.809613231
9050295,3,0.95349203,0.809613231
9050295,4,0.99674194,0.809613231
9050295,5,0.99669557,0.809613231
9050295,6,0.99830363,0.809613231
9050295,7,0.96532917,0.809613231
9050296,0,1.0080196,0.909613231
9050296,1,1.04394044,0.909613231
9050296,2,1.02689452,0.909613231
9050296,3,0.95292441,0.909613231
9050296,4,1.00059408,0.909613231
9050296,5,0.99579264,0.909613231
9050296,6,0.99173422,0.909613231
9050296,7,1.02862794,0.909613231
9050297,0,1.0208472,1.009613231
9050297,1,0.90424765,1.009613231
9050297,2,0.87300174,1.009613231
9050297,3,0.9738904,1.009613231
9050297,4,0.99021526,1.009613231
9050297,5,0.94674109,1.009613231
9050297,6,0.94060954,1.009613231
9050297,7,0.92554971,1.009613231
9050298,0,0.79695315,1.109613231
9050298,1,0.83308019,1.109613231
9050298,2,0.88236697,1.109613231
9050298,3,0.8258647,1.109613231
9050298,4,0.86265913,1.109613231
9050298,5,0.87984132,1.109613231
9050298,6,1.00746786,1.109613231
9050298,7,0.9903227,1.109613231
9050299,0,0.96691039,1.209613231
9050299,1,0.59755696,1.209613231
9050299,2,0.57711872,1.209613231
9050299,3,0.72365033,1.209613231
9050299,4,0.81870444,1.209613231
9050299,5,0.77931112,1.209613231
9050299,6,0.75468505,1.209613231
9050299,7,0.76600092,1.209613231
