timestamp_ns,duration_ns,cpu,utid,thread_name,tid,time_relative_s
904945276804738,2100545,5,7167,droid.ugc.aweme,7007,0.021099813
904945278971608,11597,5,7167,droid.ugc.aweme,7007,0.023266683
904945279024993,21363,5,7167,droid.ugc.aweme,7007,0.023320068
904945279121592,11149,4,7167,droid.ugc.aweme,7007,0.023416667
904945279148813,3785,4,7167,droid.ugc.aweme,7007,0.023443888
904945279171885,4232,4,7167,droid.ugc.aweme,7007,0.02346696
904945279655812,29012,4,7167,droid.ugc.aweme,7007,0.023950887
904945279819631,363973,4,7167,droid.ugc.aweme,7007,0.024114706
904945280785858,7411865,5,7167,droid.ugc.aweme,7007,0.025080933
904945288299896,110026,5,7167,droid.ugc.aweme,7007,0.032594971
904945288582651,1363526,4,7167,droid.ugc.aweme,7007,0.032877726
904945289958180,2208700,4,7167,droid.ugc.aweme,7007,0.034253255
904945292183075,2010498,7,7167,droid.ugc.aweme,7007,0.03647815
904945294193573,141235,7,7169,Signal Catcher,7009,0.038488648
904945294329681,12939,6,7167,droid.ugc.aweme,7007,0.038624756
904945294356292,1887940,7,7167,droid.ugc.aweme,7007,0.038651367
904945296244232,17537,7,7170,perfetto_hprof_,7010,0.040539307
904945296261769,14649,7,7167,droid.ugc.aweme,7007,0.040556844
904945296276418,84513,7,7170,perfetto_hprof_,7010,0.040571493
904945296360931,572591,7,7167,droid.ugc.aweme,7007,0.040656006
904945297017059,391764,7,7167,droid.ugc.aweme,7007,0.041312134
904945297911712,192831,7,7167,droid.ugc.aweme,7007,0.042206787
904945298204844,91837,7,7167,droid.ugc.aweme,7007,0.042499919
904945298338796,93505,7,7167,droid.ugc.aweme,7007,0.042633871
904945298478037,109416,7,7167,droid.ugc.aweme,7007,0.042773112
904945298693613,313314,7,7167,droid.ugc.aweme,7007,0.042988688
904945299045094,177938,7,7167,droid.ugc.aweme,7007,0.043340169
904945299552459,1029094,7,7167,droid.ugc.aweme,7007,0.043847534
904945300692515,1368896,7,7167,droid.ugc.aweme,7007,0.04498759
904945302082448,2826050,7,7167,droid.ugc.aweme,7007,0.046377523
904945305325856,325277,7,7167,droid.ugc.aweme,7007,0.049620931
904945305637909,48299,6,7171,Jit thread pool,7011,0.049932984
904945305670949,74748,4,7167,droid.ugc.aweme,7007,0.049966024
904945305700083,167562,6,7171,Jit thread pool,7011,0.049995158
904945305758392,5424357,4,7167,droid.ugc.aweme,7007,0.050053467
904945310988698,17334,6,7171,Jit thread pool,7011,0.055283773
904945311140309,79916,7,7172,HeapTaskDaemon,7012,0.055435384
904945311199961,178955,4,7167,droid.ugc.aweme,7007,0.055495036
904945311246755,22989,7,7173,ReferenceQueueD,7013,0.05554183
904945311306895,181925,5,7173,ReferenceQueueD,7013,0.05560197
904945311336436,38248,7,7174,FinalizerDaemon,7014,0.055631511
904945311445200,89478,6,7174,FinalizerDaemon,7014,0.055740275
904945311467743,2937011,4,7167,droid.ugc.aweme,7007,0.055762818
904945311533050,37069,7,7175,FinalizerWatchd,7015,0.055828125
904945311543711,25350,5,7173,ReferenceQueueD,7013,0.055838786
904945311561045,47770,6,7174,FinalizerDaemon,7014,0.05585612
904945311591115,12248,5,7175,FinalizerWatchd,7015,0.05588619
904945313168914,99162,7,7176,binder:7007_1,7016,0.057463989
904945313271006,169922,6,7177,binder:7007_2,7017,0.057566081
904945314457326,179199,4,7167,droid.ugc.aweme,7007,0.058752401
904945314729990,146281,4,7167,droid.ugc.aweme,7007,0.059025065
904945316144419,2970,7,7167,droid.ugc.aweme,7007,0.060439494
904945316472259,477254,6,7177,binder:7007_2,7017,0.060767334
904945317465138,414714,4,7177,binder:7007_2,7017,0.061760213
904945317707407,1482788,7,7167,droid.ugc.aweme,7007,0.062002482
904945318140635,29988,4,7177,binder:7007_2,7017,0.06243571
904945318170623,137696,4,7178,binder:7007_3,7018,0.062465698
904945319900116,11637,5,7176,binder:7007_1,7016,0.064195191
904945320465098,36743,7,7167,droid.ugc.aweme,7007,0.064760173
904945320553273,104452,7,7167,droid.ugc.aweme,7007,0.064848348
904945320841156,159179,7,7167,droid.ugc.aweme,7007,0.065136231
904945321018646,23763,7,7167,droid.ugc.aweme,7007,0.065313721
904945321048431,189250,7,7167,droid.ugc.aweme,7007,0.065343506
904945321282603,13679484,7,7167,droid.ugc.aweme,7007,0.065577678
904945334985850,576619,7,7167,droid.ugc.aweme,7007,0.079280925
904945335571950,21184896,7,7167,droid.ugc.aweme,7007,0.079867025
