time_100ms,cpu,cpu_util,time_relative_s
9049447,0,0.03028402,-0.555704925
9049447,1,0.01929608,-0.555704925
9049447,2,0.08965411,-0.555704925
9049447,3,0.0181075,-0.555704925
9049447,4,0.00058756,-0.555704925
9049448,0,0.16374104,-0.455704925
9049448,1,0.03493125,-0.455704925
9049448,2,0.02606245,-0.455704925
9049448,3,0.12367717,-0.455704925
9049448,4,0.10833088,-0.455704925
9049448,5,0.00135945,-0.455704925
9049448,6,0.00133952,-0.455704925
9049448,7,0.00360677,-0.455704925
9049449,0,0.08115762,-0.355704925
9049449,1,0.09828572,-0.355704925
9049449,2,0.05481242,-0.355704925
9049449,3,0.09075688,-0.355704925
9049449,4,0.006757,-0.355704925
9049449,5,1.18827435,-0.355704925
9049449,6,0.08346599,-0.355704925
9049450,0,0.18724729,-0.255704925
9049450,1,0.1434017,-0.255704925
9049450,2,0.08302696,-0.255704925
9049450,3,0.14835898,-0.255704925
9049450,4,1.0231608,-0.255704925
9049450,5,0.0026473,-0.255704925
9049450,6,0.00145629,-0.255704925
9049451,0,0.02232788,-0.155704925
9049451,1,0.04400838,-0.155704925
9049451,2,0.05253985,-0.155704925
9049451,3,0.12173217,-0.155704925
9049451,4,0.01273926,-0.155704925
9049451,5,0.05122802,-0.155704925
9049451,6,0.00479003,-0.155704925
9049451,7,0.69108521,-0.155704925
9049452,0,0.35871863,-0.055704925
9049452,1,0.52199586,-0.055704925
9049452,2,0.32870407,-0.055704925
9049452,3,0.37784547,-0.055704925
9049452,4,0.44869391,-0.055704925
9049452,5,0.55127604,-0.055704925
9049452,6,0.36554892,-0.055704925
9049452,7,0.5246696,-0.055704925
9049453,0,0.15456306,0.044295075
9049453,1,0.13959071,0.044295075
9049453,2,0.36364377,0.044295075
9049453,3,0.2020052,0.044295075
9049453,4,0.30068683,0.044295075
9049453,5,0.14801996,0.044295075
9049453,6,0.23517008,0.044295075
9049453,7,0.93373573,0.044295075
9049454,0,0.4210917,0.144295075
9049454,1,0.58877846,0.144295075
9049454,2,0.48069987,0.144295075
9049454,3,0.58366213,0.144295075
9049454,4,0.65515828,0.144295075
9049454,5,0.74543537,0.144295075
9049454,6,0.68321295,0.144295075
9049454,7,0.7066248,0.144295075
9049455,0,0.75688436,0.244295075
9049455,1,0.66400469,0.244295075
9049455,2,0.59878207,0.244295075
9049455,3,0.67065919,0.244295075
9049455,4,0.92680133,0.244295075
9049455,5,0.9715747,0.244295075
9049455,6,0.93225098,0.244295075
9049455,7,0.9785506,0.244295075
9049456,0,0.92150103,0.344295075
9049456,1,0.94068519,0.344295075
9049456,2,0.90174435,0.344295075
9049456,3,0.88197231,0.344295075
9049456,4,0.92950932,0.344295075
9049456,5,0.94272583,0.344295075
9049456,6,0.97738849,0.344295075
9049456,7,0.95756062,0.344295075
9049457,0,0.49955044,0.444295075
9049457,1,0.48156699,0.444295075
9049457,2,0.41016108,0.444295075
9049457,3,0.41423785,0.444295075
9049457,4,0.89158361,0.444295075
9049457,5,0.79262658,0.444295075
9049457,6,0.70091639,0.444295075
9049457,7,0.9456014,0.444295075
9049458,0,0.57870808,0.544295075
9049458,1,0.30105548,0.544295075
9049458,2,0.42177412,0.544295075
9049458,3,0.31142137,0.544295075
9049458,4,0.36414554,0.544295075
9049458,5,0.47785565,0.544295075
9049458,6,0.4715206,0.544295075
9049458,7,0.42179117,0.544295075
9049459,0,0.30636395,0.644295075
9049459,1,0.31802167,0.644295075
9049459,2,0.40318405,0.644295075
9049459,3,0.30898024,0.644295075
9049459,4,0.15086955,0.644295075
9049459,5,0.30507077,0.644295075
9049459,6,0.14757282,0.644295075
9049459,7,0.06834107,0.644295075
9049460,0,0.46580356,0.744295075
9049460,1,0.24732259,0.744295075
9049460,2,0.26704511,0.744295075
9049460,3,0.36275312,0.744295075
9049460,4,0.44185468,0.744295075
9049460,5,0.24827434,0.744295075
9049460,6,0.37970092,0.744295075
9049460,7,0.11540607,0.744295075
9049461,0,0.29285405,0.844295075
9049461,1,0.38032351,0.844295075
9049461,2,0.32151045,0.844295075
9049461,3,0.36305054,0.844295075
9049461,4,0.44024461,0.844295075
9049461,5,0.37407227,0.844295075
9049461,6,0.54151934,0.844295075
9049461,7,0.05132615,0.844295075
9049462,0,0.30162676,0.944295075
9049462,1,0.43763923,0.944295075
9049462,2,0.50066691,0.944295075
9049462,3,0.35430785,0.944295075
9049462,4,0.41610351,0.944295075
9049462,5,0.51303792,0.944295075
9049462,6,0.34945601,0.944295075
9049462,7,0.09196817,0.944295075
9049463,0,0.12822838,1.044295075
9049463,1,0.13905436,1.044295075
9049463,2,0.23193398,1.044295075
9049463,3,0.16127154,1.044295075
9049463,4,0.19367188,1.044295075
9049463,5,0.2332731,1.044295075
9049463,6,0.18747029,1.044295075
9049463,7,0.19442912,1.044295075
